"ID","Rated_Person","extraversion1","agreeableness1","conscientiousness1","neuroticism1","openness1","extraversion2","agreeableness2","conscientiousness2","neuroticism2","openness2","attractiveness","sympathy","competence","assertiveness","trustworthyness","familarity","BFI_Extraversion","BFI_Neuroticism","BFI_Conscientiousness","BFI_Agreeableness","BFI_Openness","ExperimenterID","Experimenter_Sex"
"sub-AA06WI11","Experimenter",1,3,1,4,3,5,1,4,1,3,3,5,5,4,5,1,6,5,5,4,6,"HRBL","Male"
"sub-AA06WI11","Participant",2,4,1,2,3,4,2,5,4,3,4,5,3,3,4,1,6,6,6,6,6,"HRBL","Male"
"sub-AG04EN28","Participant",2,2,2,4,4,3,3,5,2,3,2,3,4,4,3,1,5,6,7,5,7,"MBSB","Female"
"sub-AG04EN28","Experimenter",4,3,2,4,3,3,2,4,1,3,4,4,4,4,4,1,7,5,6,5,6,"MBSB","Female"
"sub-AG05AS29","Participant",2,3,2,4,4,4,3,5,2,2,4,4,4,4,5,1,6,6,7,6,6,"MBSB","Female"
"sub-AG05AS29","Experimenter",2,4,2,4,3,5,2,4,3,3,4,4,5,4,4,1,7,7,6,6,6,"MBSB","Female"
"sub-AH07IF27","Participant",2,3,3,3,3,4,3,3,3,3,3,4,3,3,3,1,6,6,6,6,6,"WBDM","Female"
"sub-AH07IF27","Experimenter",3,2,3,4,2,2,4,5,2,3,5,3,4,4,3,1,5,6,8,6,5,"WBDM","Female"
"sub-AH17AR05","Experimenter",1,4,1,4,3,4,1,4,1,4,4,5,5,5,5,3,5,5,5,5,7,"WBDM","Female"
"sub-AH17AR05","Participant",3,3,3,3,3,5,3,3,2,4,3,4,4,3,3,3,8,5,6,6,7,"WBDM","Female"
"sub-AHSAER12","Participant",2,2,4,5,2,2,1,4,4,5,2,5,4,4,5,3,4,9,8,3,7,"HWJM","Male"
"sub-AHSAER12","Experimenter",4,5,1,5,3,3,1,5,1,3,5,5,5,5,5,1,7,6,6,6,6,"HWJM","Male"
"sub-AI07AS19","Participant",2,4,2,4,3,4,1,4,2,2,3,5,4,3,5,1,6,6,6,5,5,"GILX","Male"
"sub-AI07AS19","Experimenter",2,4,1,5,3,5,1,4,1,3,4,5,5,4,5,1,7,6,5,5,6,"GILX","Male"
"sub-AI09ID16","Participant",4,4,1,5,4,2,1,5,3,2,3,4,5,2,3,1,6,8,6,5,6,"HWHG","Male"
"sub-AI09ID16","Experimenter",1,4,2,5,2,4,2,4,1,4,3,4,4,4,4,1,5,6,6,6,6,"HWHG","Male"
"sub-AJ06IR11","Experimenter",1,5,1,5,3,3,3,5,1,3,5,5,5,5,5,1,4,6,6,8,6,"BNJG","Female"
"sub-AJ06IR11","Participant",4,4,2,4,3,2,2,5,4,2,4,5,4,2,5,1,6,8,7,6,5,"BNJG","Female"
"sub-AJ07AW16","Participant",3,4,2,4,2,4,2,4,2,4,4,4,4,4,4,4,7,6,6,6,6,"GISY","Female"
"sub-AJ07AW16","Experimenter",2,4,2,4,3,4,1,5,3,3,4,5,5,4,5,3,6,7,7,5,6,"GISY","Female"
"sub-AK04IO21","Participant",4,3,3,3,3,2,3,3,3,3,4,4,3,3,3,1,6,6,6,6,6,"WBNB","Male"
