"ID","Run","anxious","peppy","peeved","happy","tired","relaxed","sad","calm","exhausted","irritated"
"sub-AA06WI11","1",1,4,1,4,2,5,1,5,1,1
"sub-AA06WI11","4",1,1,2,1,2,3,1,4,2,2
"sub-AA06WI11","5",1,1,1,1,2,4,2,4,2,2
"sub-AA06WI11","6",1,1,1,2,2,4,1,2,2,2
"sub-AA06WI11","9",1,1,2,1,1,1,2,2,2,3
"sub-AG04EN28","1",1,2,1,4,3,6,1,6,2,1
"sub-AG04EN28","4",1,1,2,1,5,7,1,6,2,2
"sub-AG04EN28","5",1,2,1,2,4,7,1,6,2,1
"sub-AG04EN28","6",1,1,1,3,5,7,1,6,2,2
"sub-AG04EN28","9",1,1,1,3,5,6,1,6,3,2
"sub-AG05AS29","1",1,3,1,5,4,6,3,5,4,2
"sub-AG05AS29","4",1,2,3,4,4,5,1,5,5,2
"sub-AG05AS29","5",1,5,1,5,2,5,1,6,3,1
"sub-AG05AS29","6",1,3,1,5,3,5,3,6,4,2
"sub-AG05AS29","9",1,4,2,5,4,5,1,5,4,1
"sub-AH07IF27","1",1,6,1,6,1,7,1,5,1,1
"sub-AH07IF27","4",1,5,1,7,1,6,1,6,1,1
"sub-AH07IF27","5",1,7,1,7,1,7,1,6,1,1
"sub-AH07IF27","6",1,4,1,7,1,7,1,7,1,1
"sub-AH07IF27","9",1,6,1,7,2,7,1,6,1,1
"sub-AH17AR05","1",1,2,1,2,3,4,1,5,2,1
"sub-AH17AR05","4",1,1,1,4,2,4,3,4,2,1
"sub-AH17AR05","5",1,1,1,3,4,4,2,3,4,1
"sub-AH17AR05","6",1,1,1,3,5,4,3,5,4,1
"sub-AH17AR05","9",1,1,1,2,5,5,5,4,3,1
"sub-AHSAER12","1",4,1,1,5,4,4,1,3,1,1
"sub-AHSAER12","4",1,1,1,2,7,4,1,7,7,1
"sub-AHSAER12","5",1,1,7,4,7,6,1,6,7,1
"sub-AHSAER12","6",1,1,1,2,7,7,1,7,7,1
"sub-AHSAER12","9",1,1,1,2,7,7,1,7,7,1
"sub-AI07AS19","1",2,4,1,5,2,3,1,3,1,1
"sub-AI07AS19","4",2,4,1,5,4,1,1,4,3,1
"sub-AI07AS19","5",2,4,1,5,2,4,1,4,2,1
"sub-AI07AS19","6",2,4,1,5,3,3,1,3,4,1
"sub-AI07AS19","9",2,4,1,5,2,3,1,4,4,1
"sub-AI09ID16","1",1,1,1,2,2,7,2,7,1,1
"sub-AI09ID16","4",1,1,1,1,3,7,2,7,2,1
"sub-AI09ID16","5",1,1,1,1,3,7,2,7,2,1
"sub-AI09ID16","6",1,1,1,2,3,7,2,7,2,1
"sub-AI09ID16","9",1,1,1,2,7,7,2,7,2,1
"sub-AJ06IR11","1",1,1,1,5,2,5,2,6,1,1
"sub-AJ06IR11","4",1,4,1,3,4,3,3,5,4,3
"sub-AJ06IR11","5",1,3,1,4,4,3,4,5,3,3
"sub-AJ06IR11","6",1,2,1,4,5,6,4,6,5,2
"sub-AJ06IR11","9",1,2,1,5,3,5,2,6,2,2
"sub-AJ07AW16","1",3,4,1,5,4,5,1,6,2,1
"sub-AJ07AW16","4",3,3,1,3,4,2,1,5,5,4
"sub-AJ07AW16","5",3,3,1,3,4,2,1,4,5,4
"sub-AJ07AW16","6",3,3,1,3,6,2,3,4,6,5
"sub-AJ07AW16","9",3,3,3,3,4,3,3,4,4,4
"sub-AK04IO21","1",1,4,1,5,4,6,1,7,3,1
"sub-AK04IO21","4",1,2,1,5,6,7,1,7,5,1
"sub-AK04IO21","5",1,2,1,5,6,7,1,7,6,1
"sub-AK04IO21","6",1,1,1,6,7,7,1,7,6,1
"sub-AK04IO21","9",1,1,1,6,7,7,1,7,7,1
"sub-AK06AS07","1",1,4,1,6,2,5,2,7,1,1
"sub-AK06AS07","4",1,4,1,5,4,6,1,5,3,2
"sub-AK06AS07","5",1,4,1,5,5,7,1,5,4,1
"sub-AK06AS07","6",1,4,1,4,4,5,1,5,4,1
"sub-AK06AS07","9",1,5,1,5,2,7,1,7,2,1
"sub-AK06RG17","1",1,4,1,6,2,5,1,6,2,1
"sub-AK06RG17","4",1,5,2,6,2,4,1,4,2,1
"sub-AK06RG17","5",1,3,1,4,2,4,1,5,1,1
"sub-AK06RG17","6",1,4,1,4,4,3,2,5,2,1
"sub-AK06RG17","9",1,4,1,5,2,5,1,4,1,1
"sub-AL07NK06","1",1,5,1,6,2,5,1,6,2,1
"sub-AL07NK06","4",1,2,1,4,4,4,1,5,3,1
"sub-AL07NK06","5",1,4,1,5,5,5,1,5,3,1
"sub-AL07NK06","6",1,4,1,4,4,4,1,5,4,1
"sub-AL07NK06","9",1,4,1,5,3,5,1,4,2,1
"sub-AL08AS02","1",3,4,1,5,3,5,2,6,2,1
"sub-AL08AS02","4",1,3,2,5,4,6,2,6,4,1
"sub-AL08AS02","5",1,4,1,5,4,6,2,4,3,1
"sub-AL08AS02","6",1,4,1,5,4,5,1,6,4,1
"sub-AL08AS02","9",1,3,1,5,4,5,1,5,3,1
"sub-AM04EN20","1",1,4,1,5,3,6,1,6,1,1
"sub-AM04EN20","4",1,4,3,4,1,5,1,5,1,2
"sub-AM04EN20","5",1,4,1,4,1,5,1,5,2,1
"sub-AM04EN20","6",1,4,1,5,1,5,1,6,1,1
"sub-AM04EN20","9",1,5,1,5,1,5,1,5,2,1
"sub-AN03EU29","1",1,4,1,5,4,5,1,5,2,1
"sub-AN03EU29","4",1,2,2,4,6,4,2,5,5,2
"sub-AN03EU29","5",1,4,1,4,5,5,2,5,4,1
"sub-AN03EU29","6",1,2,1,4,6,5,1,6,6,1
"sub-AN03EU29","9",1,3,1,4,7,5,2,5,7,1
"sub-AN04AD03","1",1,3,1,6,2,6,3,6,2,5
"sub-AN04AD03","4",1,4,2,6,5,2,2,6,4,5
"sub-AN04AD03","5",1,4,1,5,5,5,2,6,4,4
"sub-AN04AD03","6",1,4,1,5,4,2,2,6,5,4
"sub-AN04AD03","9",1,5,1,6,4,2,1,5,3,5
"sub-AN04ES31","1",1,4,1,5,2,5,1,5,2,1
"sub-AN04ES31","4",1,3,2,4,5,5,1,5,2,2
"sub-AN04ES31","5",1,4,1,5,3,5,1,5,4,1
"sub-AN04ES31","6",1,4,1,4,4,5,5,5,3,1
"sub-AN04ES31","9",1,4,2,5,4,4,3,5,3,1
"sub-AN05ER02","1",1,4,1,4,4,5,2,5,6,1
"sub-AN05ER02","4",1,4,1,5,5,5,1,4,6,1
"sub-AN05ER02","5",1,5,1,5,3,5,1,4,6,1
"sub-AN05ER02","6",1,4,1,4,4,5,1,4,6,1
"sub-AN05ER02","9",1,5,1,5,2,4,1,4,7,1
"sub-AN08AT08","1",1,3,1,4,2,5,2,5,2,1
"sub-AN08AT08","4",2,2,1,2,3,3,1,3,4,1
"sub-AN08AT08","5",2,3,1,3,2,4,1,5,2,1
"sub-AN08AT08","6",1,2,1,2,3,4,1,5,4,1
"sub-AN08AT08","9",1,3,2,3,2,3,2,3,3,1
"sub-AR06AS06","1",1,4,1,4,1,5,1,6,2,1
"sub-AR06AS06","4",1,3,4,2,1,2,2,4,3,3
"sub-AR06AS06","5",1,5,1,4,1,5,1,5,2,1
"sub-AR06AS06","6",1,3,1,3,4,4,1,5,4,1
"sub-AR06AS06","9",1,3,1,3,3,5,2,5,3,1
"sub-AR07AN21","1",1,3,1,4,3,5,2,4,4,1
"sub-AR07AN21","4",2,2,4,3,4,2,4,3,4,4
"sub-AR07AN21","5",2,2,2,3,4,4,3,4,4,4
"sub-AR07AN21","6",3,3,2,4,4,4,3,4,4,2
"sub-AR07AN21","9",2,2,4,3,4,3,3,3,4,4
"sub-AR07IM16","1",1,1,2,5,3,5,1,7,1,2
"sub-AR07IM16","4",1,1,1,5,4,7,1,7,1,1
"sub-AR07IM16","5",1,1,1,6,5,7,1,7,1,1
"sub-AR07IM16","6",1,1,1,6,3,7,1,7,1,1
"sub-AR07IM16","9",1,1,1,6,2,7,1,7,1,1
"sub-AR07SA26","1",1,1,1,3,2,2,2,6,2,2
"sub-AR07SA26","4",1,2,4,1,5,5,2,5,4,1
"sub-AR07SA26","5",1,2,3,4,4,6,2,6,5,2
"sub-AR07SA26","6",1,2,3,4,6,5,2,6,5,2
"sub-AR07SA26","9",1,2,2,3,5,5,2,5,5,2
"sub-AR10IO04","1",1,1,1,4,4,5,1,5,2,1
"sub-AR10IO04","4",1,1,1,3,7,6,1,4,3,1
"sub-AR10IO04","5",1,1,1,3,5,6,1,6,3,1
"sub-AR10IO04","6",1,1,1,5,7,6,1,6,2,1
"sub-AR10IO04","9",1,1,1,5,4,6,1,5,1,1
"sub-AS06AR20","1",1,3,1,5,2,1,1,5,1,1
"sub-AS06AR20","4",1,2,1,5,3,4,1,4,3,2
"sub-AS06AR20","5",1,2,1,5,2,5,1,5,2,1
"sub-AS06AR20","6",1,2,1,5,2,4,1,5,2,1
"sub-AS06AR20","9",1,2,1,5,1,4,1,5,1,1
"sub-AS06FR30","1",1,1,1,3,4,4,4,5,4,1
"sub-AS06FR30","4",1,4,1,4,4,3,2,3,4,1
"sub-AS06FR30","5",1,4,1,4,3,4,3,5,4,1
"sub-AS06FR30","6",1,4,1,4,4,5,2,4,3,1
"sub-AS06FR30","9",1,4,3,3,4,4,3,5,5,3
"sub-AT05LI18","1",2,4,1,4,3,3,1,4,2,1
"sub-AT05LI18","4",1,5,1,5,2,3,1,4,2,1
"sub-AT05LI18","5",1,4,1,4,1,3,1,4,1,1
"sub-AT05LI18","6",1,4,1,4,2,4,1,4,2,1
"sub-AT05LI18","9",1,3,1,4,2,3,1,3,2,1
"sub-AT06ED25","1",1,1,1,4,4,6,1,6,2,1
"sub-AT06ED25","4",1,4,2,5,3,4,1,5,2,2
"sub-AT06ED25","5",1,4,1,3,2,5,1,5,2,1
"sub-AT06ED25","6",1,2,1,2,2,6,1,6,2,1
"sub-AT06ED25","9",1,3,1,2,2,4,1,5,2,1
"sub-AU05IN13","1",1,2,1,6,1,7,1,6,1,1
"sub-AU05IN13","4",1,2,3,6,1,6,2,7,1,2
"sub-AU05IN13","5",1,2,1,7,1,7,1,7,1,1
"sub-AU05IN13","6",1,1,1,7,2,7,1,7,2,1
"sub-AU05IN13","9",1,2,1,7,2,7,1,7,1,1
"sub-AU06EL20","1",1,4,4,4,4,4,5,5,5,5
"sub-AU06EL20","4",1,2,5,3,5,4,5,5,5,6
"sub-AU06EL20","5",1,4,4,4,5,5,4,6,5,5
"sub-AU06EL20","6",1,5,3,5,4,5,3,3,4,5
"sub-AU06EL20","9",1,2,3,5,5,4,4,5,6,7
"sub-AU07ND25","1",1,4,1,5,1,6,1,6,1,1
"sub-AU07ND25","4",1,4,1,5,2,6,1,6,2,1
"sub-AU07ND25","5",1,4,1,5,2,5,1,6,1,1
"sub-AU07ND25","6",1,4,1,5,2,5,1,6,2,1
"sub-AU07ND25","9",1,4,1,5,2,5,1,6,2,1
"sub-AU09GE22","1",1,2,1,3,2,6,2,6,2,1
"sub-AU09GE22","4",1,2,5,3,4,7,4,6,4,4
"sub-AU09GE22","5",2,1,2,2,2,5,3,5,3,1
"sub-AU09GE22","6",1,1,1,3,4,7,1,6,4,1
"sub-AU09GE22","9",1,2,4,2,2,6,3,6,2,1
"sub-AY05AN24","1",3,4,2,5,3,5,2,4,1,1
"sub-AY05AN24","4",1,3,1,5,3,6,1,5,2,1
"sub-AY05AN24","5",1,3,1,5,3,6,2,5,2,1
"sub-AY05AN24","6",1,2,1,5,3,4,1,5,2,1
"sub-AY05AN24","9",1,2,1,5,3,5,1,5,4,1
"sub-AZ05AT02","1",1,3,1,5,1,6,1,6,1,1
"sub-AZ05AT02","4",1,4,3,4,1,6,1,5,1,1
"sub-AZ05AT02","5",1,4,1,4,1,6,1,6,1,1
"sub-AZ05AT02","6",1,4,1,4,1,6,1,7,1,1
"sub-AZ05AT02","9",1,5,1,5,1,5,1,6,1,1
"sub-BE04NZ10","1",1,5,1,6,2,5,1,6,1,1
"sub-BE04NZ10","4",1,4,1,5,3,5,1,5,3,1
"sub-BE04NZ10","5",1,4,1,5,2,5,1,5,1,1
"sub-BE04NZ10","6",1,5,1,6,2,5,1,5,1,1
"sub-BE04NZ10","9",1,4,1,6,2,6,1,5,2,2
"sub-BE05ED23","1",1,4,1,4,4,5,2,5,1,1
"sub-BE05ED23","4",1,4,3,3,1,4,1,6,4,4
"sub-BE05ED23","5",1,3,1,4,2,5,2,6,4,4
"sub-BE05ED23","6",1,3,1,3,6,5,4,4,5,3
"sub-BE05ED23","9",1,5,3,5,5,4,2,5,5,3
"sub-BE06IO12","1",1,4,1,4,2,7,1,7,1,1
"sub-BE06IO12","4",1,2,4,3,4,5,1,5,4,2
"sub-BE06IO12","5",1,2,3,3,5,5,1,6,5,3
"sub-BE06IO12","6",1,2,3,2,5,4,1,5,5,1
"sub-BE06IO12","9",1,3,2,3,5,5,1,5,5,3
"sub-BIRULD31","1",1,1,1,3,3,3,1,5,1,1
"sub-BIRULD31","4",1,4,1,5,3,4,1,5,3,1
"sub-BIRULD31","5",1,1,1,4,2,5,1,6,1,1
"sub-BIRULD31","6",1,1,1,4,2,5,1,5,1,1
"sub-BIRULD31","9",1,1,1,3,3,4,1,3,3,1
"sub-BL05RT22","1",1,4,1,5,2,6,1,5,2,1
"sub-BL05RT22","4",1,3,1,5,4,6,1,6,4,1
"sub-BL05RT22","5",1,4,1,5,3,6,1,6,3,1
