"ID","Condition","Dimension","Response","RT"
"sub-AA06WI11","NeutralCouple","Valence",5,30.1697837999964
"sub-AA06WI11","NeutralCouple","Arousal",8,20.6420601999998
"sub-AA06WI11","NeutralManWoman","Valence",5,11.8195178999886
"sub-AA06WI11","NeutralManWoman","Arousal",8,2.96884639999189
"sub-AA06WI11","EroticCouple","Valence",5,15.320722000004
"sub-AA06WI11","EroticCouple","Arousal",3,6.25636020000093
"sub-AA06WI11","EroticWoman","Valence",5,10.2318671999965
"sub-AA06WI11","EroticWoman","Arousal",3,2.14119779999601
"sub-AA06WI11","Tree","Valence",5,16.4057660000108
"sub-AA06WI11","Tree","Arousal",8,3.10697120000259
"sub-AA06WI11","EroticMan","Valence",5,6.37429629999679
"sub-AA06WI11","EroticMan","Arousal",3,2.54605799999263
"sub-AA06WI11","PositiveManWoman","Valence",8,10.4116322999907
"sub-AA06WI11","PositiveManWoman","Arousal",8,2.07701539999107
"sub-AG04EN28","EroticWoman","Valence",8,11.1060987000001
"sub-AG04EN28","EroticWoman","Arousal",6,16.4123920999991
"sub-AG04EN28","Tree","Valence",7,17.878692100001
"sub-AG04EN28","Tree","Arousal",9,3.1744974000012
"sub-AG04EN28","NeutralManWoman","Valence",5,3.29000910000104
"sub-AG04EN28","NeutralManWoman","Arousal",9,3.29025569999976
"sub-AG04EN28","NeutralCouple","Valence",5,5.72759769999902
"sub-AG04EN28","NeutralCouple","Arousal",9,2.67918129999998
"sub-AG04EN28","EroticCouple","Valence",6,7.73996120000083
"sub-AG04EN28","EroticCouple","Arousal",7,7.2327781999993
"sub-AG04EN28","PositiveManWoman","Valence",7,3.28918989999875
"sub-AG04EN28","PositiveManWoman","Arousal",9,3.11511090000022
"sub-AG04EN28","EroticMan","Valence",6,7.02411810000012
"sub-AG04EN28","EroticMan","Arousal",8,3.93015530000048
"sub-AG05AS29","EroticWoman","Valence",8,25.6957762000002
"sub-AG05AS29","EroticWoman","Arousal",8,3.16694280000047
"sub-AG05AS29","NeutralManWoman","Valence",6,14.2217113999995
"sub-AG05AS29","NeutralManWoman","Arousal",3,10.8136255999998
"sub-AG05AS29","EroticCouple","Valence",8,25.2405643999991
"sub-AG05AS29","EroticCouple","Arousal",7,6.1914455999995
"sub-AG05AS29","PositiveManWoman","Valence",7,18.9083826000006
"sub-AG05AS29","PositiveManWoman","Arousal",7,39.1210818
"sub-AG05AS29","Tree","Valence",6,7.40684459999829
"sub-AG05AS29","Tree","Arousal",9,17.5462881999993
"sub-AG05AS29","NeutralCouple","Valence",7,11.3017774
"sub-AG05AS29","NeutralCouple","Arousal",7,10.1232359999995
"sub-AG05AS29","EroticMan","Valence",3,16.8578073000008
"sub-AG05AS29","EroticMan","Arousal",7,15.7045731999988
"sub-AH07IF27","NeutralCouple","Valence",3,12.4051188195281
"sub-AH07IF27","NeutralCouple","Arousal",3,0.047035987743584
"sub-AH07IF27","EroticMan","Valence",1,4.4488552695766
"sub-AH07IF27","EroticMan","Arousal",9,4.61694383055692
"sub-AH07IF27","Tree","Valence",7,6.45751032071712
"sub-AH07IF27","Tree","Arousal",9,2.27920576560064
"sub-AH07IF27","NeutralManWoman","Valence",5,4.67911551036377
"sub-AH07IF27","NeutralManWoman","Arousal",9,6.9176162816475
"sub-AH07IF27","EroticWoman","Valence",9,14.8533299922765
"sub-AH07IF27","EroticWoman","Arousal",3,4.70849134319906
