Trial,Congruency,ACC,RT,Subject,Lab,Experimenter,N2_FZ,P3_PZ,FMT_FZ
0,1,1,0.33012,sub-AA06WI11,Hamburg_Riesel,HRBL,-17.1278,47.9693,3.5355
1,0.66,1,0.2686,sub-AA06WI11,Hamburg_Riesel,HRBL,-36.2014,57.3949,1.8798
2,0.33,1,0.4276,sub-AA06WI11,Hamburg_Riesel,HRBL,37.3088,20.5562,6.2427
3,0.33,1,0.43512,sub-AA06WI11,Hamburg_Riesel,HRBL,29.8504,8.3067,-5.5266
4,0.66,1,0.28634,sub-AA06WI11,Hamburg_Riesel,HRBL,-21.9158,-12.9429,2.942
5,0.33,1,0.33668,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.4349,2.4333,8.4365
6,1,1,0.28099,sub-AA06WI11,Hamburg_Riesel,HRBL,-0.62767,25.8217,0.99183
7,0.33,1,0.33425,sub-AA06WI11,Hamburg_Riesel,HRBL,35.7019,28.938,-6.2592
8,0.66,1,0.28211,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.073,14.1513,2.8666
9,0.33,1,0.25517,sub-AA06WI11,Hamburg_Riesel,HRBL,20.2388,1.8427,2.8582
10,1,1,0.24733,sub-AA06WI11,Hamburg_Riesel,HRBL,-14.8859,-8.181,-1.9579
12,0.66,1,0.42595,sub-AA06WI11,Hamburg_Riesel,HRBL,-18.5435,13.7248,-4.5127
13,1,1,0.34919,sub-AA06WI11,Hamburg_Riesel,HRBL,33.8602,17.0424,-2.9047
14,1,1,0.28608,sub-AA06WI11,Hamburg_Riesel,HRBL,4.976,30.4185,0.3177
15,0.66,1,0.26326,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.4264,11.5368,5.7601
17,1,1,0.35511,sub-AA06WI11,Hamburg_Riesel,HRBL,-30.6644,5.74,4.8377
20,0.33,1,0.28107,sub-AA06WI11,Hamburg_Riesel,HRBL,-36.4817,-23.8492,-3.6605
21,1,1,0.25576,sub-AA06WI11,Hamburg_Riesel,HRBL,20.3558,-14.3802,1.2284
23,0.66,1,0.31331,sub-AA06WI11,Hamburg_Riesel,HRBL,-24.1786,0.16616,-9.6796
24,1,1,0.24264,sub-AA06WI11,Hamburg_Riesel,HRBL,9.4159,-15.3953,1.2031
25,1,1,0.27024,sub-AA06WI11,Hamburg_Riesel,HRBL,2.5293,14.4832,2.4917
26,0.33,1,0.21842,sub-AA06WI11,Hamburg_Riesel,HRBL,-12.9149,16.2751,-0.81192
27,1,1,0.26147,sub-AA06WI11,Hamburg_Riesel,HRBL,14.5591,20.2518,-1.0718
28,1,1,0.21538,sub-AA06WI11,Hamburg_Riesel,HRBL,7.786,28.0362,-1.174
29,1,1,0.2376,sub-AA06WI11,Hamburg_Riesel,HRBL,-6.4902,10.4724,3.8227
30,1,1,0.28779,sub-AA06WI11,Hamburg_Riesel,HRBL,-4.9078,-13.7791,8.9533
31,1,1,0.26691,sub-AA06WI11,Hamburg_Riesel,HRBL,6.8853,58.2707,3.9717
32,1,1,0.29778,sub-AA06WI11,Hamburg_Riesel,HRBL,29.9935,-39.9596,4.3268
33,0.33,1,0.23405,sub-AA06WI11,Hamburg_Riesel,HRBL,-6.8173,2.3757,-3.2457
35,0.66,1,0.23706,sub-AA06WI11,Hamburg_Riesel,HRBL,17.2238,35.5273,4.2118
36,1,1,0.17251,sub-AA06WI11,Hamburg_Riesel,HRBL,-5.8862,11.06,-2.6652
37,1,1,0.2578,sub-AA06WI11,Hamburg_Riesel,HRBL,46.3141,36.0066,2.6515
38,1,1,0.22786,sub-AA06WI11,Hamburg_Riesel,HRBL,31.5836,-14.6389,4.0864
39,0.33,1,0.25518,sub-AA06WI11,Hamburg_Riesel,HRBL,9.9412,53.0734,5.7037
41,0,1,0.25377,sub-AA06WI11,Hamburg_Riesel,HRBL,37.0078,25.6657,2.71
43,1,1,0.29301,sub-AA06WI11,Hamburg_Riesel,HRBL,-34.8406,-15.8167,-9.3465
44,1,1,0.27878,sub-AA06WI11,Hamburg_Riesel,HRBL,-14.2138,27.2777,8.2103
45,1,1,0.25322,sub-AA06WI11,Hamburg_Riesel,HRBL,-19.8168,-18.1142,-2.6168
46,1,1,0.27608,sub-AA06WI11,Hamburg_Riesel,HRBL,17.0334,10.4894,-2.451
47,1,1,0.16583,sub-AA06WI11,Hamburg_Riesel,HRBL,31.3838,16.14,-6.61
50,1,1,0.31164,sub-AA06WI11,Hamburg_Riesel,HRBL,1.2082,-17.5094,7.0064
51,1,1,0.16584,sub-AA06WI11,Hamburg_Riesel,HRBL,2.4802,-12.4844,2.0037
52,0.66,1,0.24694,sub-AA06WI11,Hamburg_Riesel,HRBL,-20.07,4.686,-4.4445
53,1,1,0.297,sub-AA06WI11,Hamburg_Riesel,HRBL,5.8339,3.6416,-4.3413
54,0.33,1,0.26114,sub-AA06WI11,Hamburg_Riesel,HRBL,10.5326,13.282,-3.5354
56,0.33,1,0.34883,sub-AA06WI11,Hamburg_Riesel,HRBL,22.6908,-5.3351,-3.6982
57,0.66,1,0.2865,sub-AA06WI11,Hamburg_Riesel,HRBL,-16.3463,9.1457,-2.1866
58,1,1,0.30491,sub-AA06WI11,Hamburg_Riesel,HRBL,6.3161,34.6553,-8.1706
59,0.66,1,0.30062,sub-AA06WI11,Hamburg_Riesel,HRBL,-38.2403,45.1467,5.8068
60,1,1,0.21867,sub-AA06WI11,Hamburg_Riesel,HRBL,8.635,4.7597,-1.5832
61,0.33,1,0.26047,sub-AA06WI11,Hamburg_Riesel,HRBL,-25.8193,-23.7282,-4.9976
63,0,1,0.34906,sub-AA06WI11,Hamburg_Riesel,HRBL,-38.8176,7.6464,2.4544
64,1,1,0.23946,sub-AA06WI11,Hamburg_Riesel,HRBL,15.5597,-27.1418,1.7623
67,1,1,0.33738,sub-AA06WI11,Hamburg_Riesel,HRBL,-27.1725,5.1793,0.65967
68,0.66,1,0.23616,sub-AA06WI11,Hamburg_Riesel,HRBL,6.5962,24.0744,-2.2308
70,0.66,1,0.42725,sub-AA06WI11,Hamburg_Riesel,HRBL,21.3417,8.4356,4.0966
71,0.66,1,0.36579,sub-AA06WI11,Hamburg_Riesel,HRBL,-8.373,33.9983,4.9198
75,1,1,0.38161,sub-AA06WI11,Hamburg_Riesel,HRBL,-35.1033,28.0492,12.1022
77,1,1,0.30007,sub-AA06WI11,Hamburg_Riesel,HRBL,-4.3652,19.8688,-2.5337
78,0.66,1,0.2647,sub-AA06WI11,Hamburg_Riesel,HRBL,-9.2063,-2.1343,9.7554
79,0.33,1,0.22518,sub-AA06WI11,Hamburg_Riesel,HRBL,9.2291,32.8622,-2.5154
80,1,1,0.18091,sub-AA06WI11,Hamburg_Riesel,HRBL,-1.48,39.321,7.5272
81,0.66,1,0.13334,sub-AA06WI11,Hamburg_Riesel,HRBL,-44.5303,16.6353,5.4123
82,1,1,0.24606,sub-AA06WI11,Hamburg_Riesel,HRBL,1.9314,17.4879,5.1651
83,0,1,0.17584,sub-AA06WI11,Hamburg_Riesel,HRBL,9.5872,32.8563,-0.51301
85,1,1,0.40023,sub-AA06WI11,Hamburg_Riesel,HRBL,-6.2994,25.787,2.6963
86,1,1,0.2933,sub-AA06WI11,Hamburg_Riesel,HRBL,-25.5038,-7.6458,-2.965
87,1,1,0.28008,sub-AA06WI11,Hamburg_Riesel,HRBL,14.9818,25.696,-4.2629
89,1,1,0.32358,sub-AA06WI11,Hamburg_Riesel,HRBL,8.0042,-2.1358,3.041
90,0.66,1,0.26566,sub-AA06WI11,Hamburg_Riesel,HRBL,-30.1062,20.6494,5.7429
94,1,1,0.30994,sub-AA06WI11,Hamburg_Riesel,HRBL,-8.0744,10.5521,1.618
96,0,1,0.55009,sub-AA06WI11,Hamburg_Riesel,HRBL,-18.8383,48.2216,14.2056
97,0.66,1,0.38385,sub-AA06WI11,Hamburg_Riesel,HRBL,-48.3317,27.1475,-3.3389
99,1,1,0.39541,sub-AA06WI11,Hamburg_Riesel,HRBL,-49.1718,48.8004,-3.9301
100,0.66,1,0.30015,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.8606,-13.6566,-8.6866
101,0.33,1,0.23707,sub-AA06WI11,Hamburg_Riesel,HRBL,-25.1462,10.1974,-1.5526
102,1,1,0.27915,sub-AA06WI11,Hamburg_Riesel,HRBL,-5.7611,1.2897,11.2625
104,0.33,1,0.30131,sub-AA06WI11,Hamburg_Riesel,HRBL,44.4177,27.5077,5.0058
105,0.66,1,0.30784,sub-AA06WI11,Hamburg_Riesel,HRBL,-0.38346,58.0253,2.0293
107,1,1,0.29982,sub-AA06WI11,Hamburg_Riesel,HRBL,-2.5767,-43.7798,-2.0857
108,1,1,0.34781,sub-AA06WI11,Hamburg_Riesel,HRBL,2.8218,16.4518,1.8298
109,0.33,1,0.37003,sub-AA06WI11,Hamburg_Riesel,HRBL,-2.479,18.1003,-12.5421
110,0.66,1,0.34281,sub-AA06WI11,Hamburg_Riesel,HRBL,-3.839,5.7683,3.1894
111,1,1,0.32636,sub-AA06WI11,Hamburg_Riesel,HRBL,-13.9835,-37.9388,0.045347
112,1,1,0.23753,sub-AA06WI11,Hamburg_Riesel,HRBL,-8.074,37.7384,6.2515
113,1,1,0.30382,sub-AA06WI11,Hamburg_Riesel,HRBL,22.1672,22.0129,5.8131
114,1,1,0.36721,sub-AA06WI11,Hamburg_Riesel,HRBL,9.7785,-13.7136,2.995
116,1,1,0.30849,sub-AA06WI11,Hamburg_Riesel,HRBL,27.0647,19.9113,6.0624
117,1,1,0.26945,sub-AA06WI11,Hamburg_Riesel,HRBL,28.0492,-17.4904,3.8841
118,1,1,0.27396,sub-AA06WI11,Hamburg_Riesel,HRBL,-2.6408,48.2159,3.6656
119,1,1,0.31497,sub-AA06WI11,Hamburg_Riesel,HRBL,25.7104,-57.567,-13.995
120,0.66,1,0.31834,sub-AA06WI11,Hamburg_Riesel,HRBL,18.6403,0.079832,0.34187
121,1,1,0.21681,sub-AA06WI11,Hamburg_Riesel,HRBL,13.8433,-2.1589,5.0655
122,0,1,0.34453,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.1783,8.698,7.4053
123,1,1,0.36111,sub-AA06WI11,Hamburg_Riesel,HRBL,28.1326,13.581,0.42994
124,0,1,0.37365,sub-AA06WI11,Hamburg_Riesel,HRBL,-14.9407,-25.6362,5.5249
126,0.33,1,0.49108,sub-AA06WI11,Hamburg_Riesel,HRBL,52.1281,-43.3704,-5.0397
128,1,1,0.36516,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.9962,-25.6801,0.49172
129,0.33,1,0.24928,sub-AA06WI11,Hamburg_Riesel,HRBL,-21.2559,35.2154,-2.6115
131,0,1,0.44105,sub-AA06WI11,Hamburg_Riesel,HRBL,-11.0193,-30.8591,-0.35174
132,0.33,1,0.37971,sub-AA06WI11,Hamburg_Riesel,HRBL,78.5646,42.04,-3.8635
134,1,1,0.33465,sub-AA06WI11,Hamburg_Riesel,HRBL,47.8555,-5.8767,4.1187
135,0.66,1,0.29089,sub-AA06WI11,Hamburg_Riesel,HRBL,-34.5469,-13.4457,4.4785
136,1,1,0.34514,sub-AA06WI11,Hamburg_Riesel,HRBL,24.8966,33.0333,12.2189
137,1,1,0.34408,sub-AA06WI11,Hamburg_Riesel,HRBL,-7.9099,18.2651,-3.767
138,1,1,0.26069,sub-AA06WI11,Hamburg_Riesel,HRBL,-8.9429,21.3791,-0.38833
140,1,1,0.35115,sub-AA06WI11,Hamburg_Riesel,HRBL,-24.9767,-10.5466,-1.7114
141,0.66,1,0.28988,sub-AA06WI11,Hamburg_Riesel,HRBL,15.3533,40.7282,-2.7994
142,1,1,0.29081,sub-AA06WI11,Hamburg_Riesel,HRBL,5.6212,33.5142,9.4247
143,0.33,1,0.25132,sub-AA06WI11,Hamburg_Riesel,HRBL,7.1398,22.0878,2.3417
144,1,1,0.25143,sub-AA06WI11,Hamburg_Riesel,HRBL,-51.4524,-12.9699,2.7618
145,1,1,0.25559,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.1723,-23.7185,0.32766
146,0.66,1,0.25659,sub-AA06WI11,Hamburg_Riesel,HRBL,-28.2939,-5.3636,-4.3827
147,1,1,0.37405,sub-AA06WI11,Hamburg_Riesel,HRBL,45.2926,-27.0393,5.521
148,0.66,1,0.38618,sub-AA06WI11,Hamburg_Riesel,HRBL,-6.7283,-36.194,2.0193
149,1,1,0.25014,sub-AA06WI11,Hamburg_Riesel,HRBL,1.3257,18.1248,9.2352
153,0.66,1,0.24868,sub-AA06WI11,Hamburg_Riesel,HRBL,13.5345,12.7723,-4.4912
155,0.33,1,0.21057,sub-AA06WI11,Hamburg_Riesel,HRBL,-22.1771,16.4811,-0.78219
156,1,1,0.2867,sub-AA06WI11,Hamburg_Riesel,HRBL,16.7647,-51.3466,-9.8627
158,0.33,1,0.33006,sub-AA06WI11,Hamburg_Riesel,HRBL,35.8747,52.2464,-4.1008
160,1,1,0.41364,sub-AA06WI11,Hamburg_Riesel,HRBL,-56.6273,-30.9763,-2.0728
161,1,1,0.25911,sub-AA06WI11,Hamburg_Riesel,HRBL,7.1953,-4.9116,-9.6316
162,1,1,0.21877,sub-AA06WI11,Hamburg_Riesel,HRBL,-18.4077,41.0317,-5.784
163,0.66,1,0.28025,sub-AA06WI11,Hamburg_Riesel,HRBL,16.0299,-13.2121,1.4797
165,1,1,0.32681,sub-AA06WI11,Hamburg_Riesel,HRBL,11.3478,9.8689,3.5206
166,0.33,1,0.26691,sub-AA06WI11,Hamburg_Riesel,HRBL,-5.1961,20.7908,10.584
167,1,1,0.26138,sub-AA06WI11,Hamburg_Riesel,HRBL,10.781,46.0967,-2.3812
168,1,1,0.22469,sub-AA06WI11,Hamburg_Riesel,HRBL,2.7563,-24.0664,-2.7296
170,1,1,0.35818,sub-AA06WI11,Hamburg_Riesel,HRBL,9.4709,9.9859,-1.747
171,1,1,0.36104,sub-AA06WI11,Hamburg_Riesel,HRBL,-28.34,-1.7568,-7.233
172,1,1,0.33221,sub-AA06WI11,Hamburg_Riesel,HRBL,1.4645,-27.108,-1.0142
174,0.33,1,0.40541,sub-AA06WI11,Hamburg_Riesel,HRBL,-29.9652,-6.3161,0.47379
175,0,1,0.25092,sub-AA06WI11,Hamburg_Riesel,HRBL,-2.1549,-4.9375,6.0725
177,0.33,1,0.2412,sub-AA06WI11,Hamburg_Riesel,HRBL,-7.3962,37.4361,2.3313
178,1,1,0.25137,sub-AA06WI11,Hamburg_Riesel,HRBL,-11.142,-17.3191,-2.0105
179,1,1,0.2968,sub-AA06WI11,Hamburg_Riesel,HRBL,13.8433,21.264,6.5738
181,0.66,1,0.3588,sub-AA06WI11,Hamburg_Riesel,HRBL,-19.2149,-6.8546,-6.7792
182,1,1,0.18394,sub-AA06WI11,Hamburg_Riesel,HRBL,4.0826,-16.5222,9.735
183,0,1,0.12397,sub-AA06WI11,Hamburg_Riesel,HRBL,-30.3676,41.7418,-2.968
185,0.66,1,0.27615,sub-AA06WI11,Hamburg_Riesel,HRBL,-52.5833,-19.6708,-5.395
186,0.66,1,0.18098,sub-AA06WI11,Hamburg_Riesel,HRBL,-5.0046,-7.3322,-4.2938
189,1,1,0.29764,sub-AA06WI11,Hamburg_Riesel,HRBL,56.8028,7.5267,-4.8542
190,1,1,0.37855,sub-AA06WI11,Hamburg_Riesel,HRBL,43.8462,28.051,-1.1183
192,0.66,1,0.61017,sub-AA06WI11,Hamburg_Riesel,HRBL,40.9121,45.3484,4.625
193,1,1,0.25281,sub-AA06WI11,Hamburg_Riesel,HRBL,-19.2363,51.1771,1.0021
194,1,1,0.23948,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.9279,2.359,-2.945
195,1,1,0.2405,sub-AA06WI11,Hamburg_Riesel,HRBL,-33.697,24.0327,-0.34899
196,1,1,0.2771,sub-AA06WI11,Hamburg_Riesel,HRBL,-33.2238,26.1758,1.8236
197,1,1,0.2624,sub-AA06WI11,Hamburg_Riesel,HRBL,38.6242,1.0822,-3.2902
199,1,1,0.26477,sub-AA06WI11,Hamburg_Riesel,HRBL,29.7564,-40.4613,1.7379
200,1,1,0.26668,sub-AA06WI11,Hamburg_Riesel,HRBL,-21.1821,35.495,-5.0613
201,1,1,0.26361,sub-AA06WI11,Hamburg_Riesel,HRBL,10.4795,-13.0542,4.0226
202,1,1,0.24929,sub-AA06WI11,Hamburg_Riesel,HRBL,-5.2261,5.9203,2.5374
203,1,1,0.26453,sub-AA06WI11,Hamburg_Riesel,HRBL,-5.9657,15.3238,3.4916
204,1,1,0.23756,sub-AA06WI11,Hamburg_Riesel,HRBL,46.1695,60.8375,4.7089
205,1,1,0.27786,sub-AA06WI11,Hamburg_Riesel,HRBL,30.5214,10.5356,2.3347
207,0.66,1,0.39043,sub-AA06WI11,Hamburg_Riesel,HRBL,-31.1953,-19.8942,-0.083577
