Trial,Congruency,ACC,RT,Subject,Lab,Experimenter,N2_FCZ,N2_CZ,P3_PZ,P3_ FZ,P3_ CZ,FMT_FCZ,FMT_CZ
0,1,1,0.33012,sub-AA06WI11,Hamburg_Riesel,HRBL,-5.6382,47.6588,71.9422,-3.8204,-45.6322,6.4945,-0.021366
1,0.66,1,0.2686,sub-AA06WI11,Hamburg_Riesel,HRBL,29.7849,37.3223,-80.892,25.0328,19.8944,3.9082,-0.56133
2,0.33,1,0.4276,sub-AA06WI11,Hamburg_Riesel,HRBL,-21.5125,-9.8654,16.0212,72.184,-57.0787,2.3443,1.6616
3,0.33,1,0.43512,sub-AA06WI11,Hamburg_Riesel,HRBL,7.0679,-3.2894,37.4673,-71.9032,71.9955,-3.6968,-1.6485
4,0.66,1,0.28634,sub-AA06WI11,Hamburg_Riesel,HRBL,17.9345,-22.4563,-37.4103,31.3836,-4.7979,8.5979,1.9379
5,0.33,1,0.33668,sub-AA06WI11,Hamburg_Riesel,HRBL,17.6223,16.2612,13.9773,118.7523,-57.5404,4.2172,-2.5461
6,1,1,0.28099,sub-AA06WI11,Hamburg_Riesel,HRBL,30.6382,-26.4865,-26.0601,-60.6335,40.1197,3.3919,3.3267
7,0.33,1,0.33425,sub-AA06WI11,Hamburg_Riesel,HRBL,-56.4688,-16.8598,-27.0752,53.5607,30.8179,-6.9129,-4.5697
8,0.66,1,0.28211,sub-AA06WI11,Hamburg_Riesel,HRBL,-34.0013,26.7147,23.3729,-8.6681,-29.0593,4.7197,5.2927
9,0.33,1,0.25517,sub-AA06WI11,Hamburg_Riesel,HRBL,-11.5753,-6.0441,3.4408,-38.9871,29.1018,-4.926,7.0421
10,1,1,0.24733,sub-AA06WI11,Hamburg_Riesel,HRBL,-13.4484,-46.931,116.9167,-7.335,50.2496,3.8305,-1.085
12,0.66,1,0.42595,sub-AA06WI11,Hamburg_Riesel,HRBL,20.9302,-80.89,-81.2413,22.4234,8.4562,-3.9429,-0.71976
13,1,1,0.34919,sub-AA06WI11,Hamburg_Riesel,HRBL,27.8943,51.767,65.4689,-40.7967,34.237,3.8911,-3.4411
14,1,1,0.28608,sub-AA06WI11,Hamburg_Riesel,HRBL,20.5835,23.0663,-14.1644,40.5048,33.9961,-2.8824,2.389
15,0.66,1,0.26326,sub-AA06WI11,Hamburg_Riesel,HRBL,18.4138,21.8637,-7.303,27.6081,7.9936,-0.55746,-0.15877
17,1,1,0.35511,sub-AA06WI11,Hamburg_Riesel,HRBL,33.2181,25.5168,-4.7621,-26.066,33.2115,3.2607,-0.64098
20,0.33,1,0.28107,sub-AA06WI11,Hamburg_Riesel,HRBL,18.4789,9.0247,-44.1975,-49.5125,-39.394,0.30127,-3.4687
21,1,1,0.25576,sub-AA06WI11,Hamburg_Riesel,HRBL,-43.1769,23.2665,46.1097,3.9574,13.0405,-4.6655,-3.4746
23,0.66,1,0.31331,sub-AA06WI11,Hamburg_Riesel,HRBL,16.3738,-24.4407,58.7766,18.3589,43.1638,7.2705,1.7851
24,1,1,0.24264,sub-AA06WI11,Hamburg_Riesel,HRBL,4.1301,-49.6057,-47.3394,-2.9776,68.2554,-3.9928,0.38977
25,1,1,0.27024,sub-AA06WI11,Hamburg_Riesel,HRBL,-3.5655,-12.9006,24.0279,-8.0035,-74.3622,3.1603,6.5409
26,0.33,1,0.21842,sub-AA06WI11,Hamburg_Riesel,HRBL,-13.4964,32.1483,73.7865,0.54084,44.503,-3.2968,9.6961
27,1,1,0.26147,sub-AA06WI11,Hamburg_Riesel,HRBL,-6.2548,53.5245,-17.8521,22.1355,52.2406,2.4386,-1.9064
