"ID","BISBAS_BAS","RSTPQ_BAS","BISBAS_Drive","BISBAS_Reward_Responsiveness","BISBAS_Fun_seeking","Z_Score_MPQ","Z_Score_BFI","Z_Score_notWeighted","Z_Score_ItemNr","Z_Score_Reliability","AGG_Anger","WHO5_Depression","BFI_Open-Mindedness","BFI_Conscientiousness","BFI_Agreeableness","BFI_Negative_Emotionality","Gender","Age","PCA_FirstFactor","FactorAnalysis_F2","FactorAnalysis_F1","FactorAnalysis_F5","FactorAnalysis_F4","FactorAnalysis_F3","FactorAnalysis_F6"
"sub-AA06WI11",3.38461538461538,96,3,4,3,-0.392857677985551,-0.686364596179551,0.0132319420758883,0.103778311217357,0.00601442040155,18,17,2.66666666666667,2.66666666666667,3.75,3.41666666666667,1,19,"0.499953772310827","-0.11458784266449","-0.0652761308566264","0.026139679115756","-0.90949773568696","1.22286574575863","1.03793843756648"
"sub-AG04EN28",2.92307692307692,88,3.5,3,2.25,0.125906344514205,-0.84874437224006,-0.34794811806011,-0.218481258590222,-0.295251443915229,11,17,3.66666666666667,3.58333333333333,3.58333333333333,2.41666666666667,2,24,"-1.59585122597692","1.28999958964091","-0.311099361940495","-1.37026217341473","-0.396754953338988","-0.736887514163679","-0.0560754655371037"
"sub-AG05AS29",3.15384615384615,103,3.25,3.4,2.75,0.681631918297047,1.18643151263387,0.566848047703003,0.697575171941776,0.618576300491529,12,22,3,3.33333333333333,4,1.66666666666667,2,20,"3.17953334382954","0.911118361220531","1.41246653098042","-0.388237057141004","1.20549386934559","0.0310038029513725","0.389626214802294"
"sub-AH07IF27",3.46153846153846,112,3.5,3.8,3,0.733758091848279,0.832799103130246,0.868150545229745,1.11421815326508,0.890503600176983,18,18,4.5,2.91666666666667,2.25,3.75,2,23,"4.73558950118708","1.11987724520311","-0.0844352864703047","1.52653577077936","1.63432776388815","0.868491160608942","0.626067472298774"
"sub-AH17AR05",3.07692307692308,100,3,3,3.25,0.08239205017301,0.183279998888211,0.103220833089539,0.281463738627655,0.113011125495786,13,23,3.66666666666667,4,3.75,2.08333333333333,2,23,"1.52596164609785","-0.428363417917449","0.691049249043729","0.923411927344846","0.592668589563875","0.325169821239125","-0.77305411569679"
"sub-AHSAER12",3.53846153846154,97,3.5,3.4,3.75,-0.209363468027223,-0.466239105353823,0.28222705052213,0.309906133900517,0.240399078696327,13,18,4,2.91666666666667,3.41666666666667,2.41666666666667,2,28,"1.22243416263302","-0.0756849166412086","-0.00616448038387417","1.29510746586691","-0.719968468897869","0.20698729774113","0.837894836326866"
"sub-AI07AS19",2.69230769230769,77,2.75,3.4,1.75,-0.345898631960341,-0.996687719609264,-0.839714017151618,-0.836213984929503,-0.80446207988917,11,21,3.66666666666667,4.33333333333333,3.91666666666667,3.58333333333333,1,23,"-4.27266333397619","0.374570427249717","-0.208665809497251","-3.43616636170125","-1.0876230686002","-0.568366210136884","0.645974146856126"
"sub-AK04IO21",2.92307692307692,73,3.5,2.6,2.75,-0.875561118967567,-0.877617229622669,-0.771029134450502,-1.02026826700926,-0.78295956570793,14,14,3.25,4.5,3.58333333333333,3.41666666666667,1,21,"-3.75759208057573","1.26885840939466","-2.30312155279063","-0.582102753100458","-0.84769352617359","-1.07310714398467","-1.63059701865758"
"sub-AK05AN22",3.53846153846154,95,3.75,3.6,3.25,0.569850041989293,0.522475979700533,0.686549862155643,0.64142104423841,0.683199400049201,11,26,3.83333333333333,3.66666666666667,4.33333333333333,2.41666666666667,1,28,"2.77724970529789","0.836117243164697","0.829649840450597","0.599987623116468","0.690727466017221","0.511854917326921","0.149482546351824"
"sub-AK06AS07",3.23076923076923,104,3.25,3.2,3.25,1.19343062104694,0.861671960512855,0.744505893408124,0.934345752287061,0.779505543813145,11,22,4,3.5,4.66666666666667,1.91666666666667,1,27,"3.30346008139888","0.915848544671896","1.23719682737731","0.872389675344269","0.602055839224063","0.513365936015853","-0.727166877926136"
"sub-AK06RG17",2.53846153846154,71,2,2.6,3,-1.33302287925063,-2.02871209073753,-1.50558942009803,-1.52807718234306,-1.54352159261709,15,11,3,3,3.75,3.08333333333333,2,24,"-6.91911265576841","-1.56171301779925","-1.74113866903593","-1.78855877016596","-1.53187765881944","-1.42631262067062","-0.136394232979985"
"sub-AL07NK06",2.53846153846154,74,2,2.8,2.75,0.0401875549820668,1.02405173657336,-0.46371970653493,-0.685229098185671,-0.464517122897695,9,17,4.33333333333333,4,4.16666666666667,2.75,2,29,"-2.23074753710083","-1.0925283206628","-0.214758805762113","-0.567718467987448","0.883717078226102","-1.07460942874459","-0.793315764608395"
"sub-AL08AS02",2.76923076923077,78,2.75,3.4,2,-1.07774051925989,-0.480675534045128,-0.873693039828899,-0.984779202905011,-0.864490048340623,10,14,3.08333333333333,4.08333333333333,4,2.83333333333333,1,25,"-3.41598319556114","-0.477217988618647","-0.288551198536472","-1.63409005944172","-1.52719205015429","-0.24591633199492","0.471640319110554"
"sub-AM04EN20",2.30769230769231,60,2.25,2.4,2.25,-0.810325711993267,-0.996687719609264,-1.45538060893896,-1.66062941859894,-1.44304893134005,7,18,3.33333333333333,3.41666666666667,4.41666666666667,1.75,2,23,"-6.87031699843972","-1.44157508339205","-0.28166048406807","-1.92740315961066","-1.14067089059445","-1.91970112290819","-1.21102367638258"
"sub-AN03EU29",2.84615384615385,88,2.5,3,3,-0.616421430601059,0.360096203640024,-0.390098562957564,-0.408495269783045,-0.403997564500564,13,12,3.41666666666667,2.33333333333333,4.25,3.5,1,22,"-0.828481441282725","-1.98430813221188","-0.433610194907976","0.276327995292851","0.768915472511259","1.03836530533172","-1.66952788269639"
