"ID","BISBAS_BAS","RSTPQ_BAS","BISBAS_Drive","BISBAS_Reward_Responsiveness","BISBAS_Fun_seeking","Z_Score_MPQ","Z_Score_BFI","Z_Score_notWeighted","Z_Score_ItemNr","Z_Score_Reliability","AGG_Anger","WHO5_Depression","BFI_Open-Mindedness","BFI_Conscientiousness","BFI_Agreeableness","BFI_Negative_Emotionality","Gender","Age","PCA_FirstFactor","FactorAnalysis_F2","FactorAnalysis_F1","FactorAnalysis_F5","FactorAnalysis_F4","FactorAnalysis_F3","FactorAnalysis_F6"
"sub-AA06WI11",3.38461538461538,96,3,4,3,-0.402096836959376,-0.698619976580679,0.00838233400181937,0.0960035937854662,-0.000593488985990238,18,17,2.66666666666667,2.66666666666667,3.75,3.41666666666667,1,19,"0.472227151502438","-0.117163583928523","-0.065779473136667","0.0302640275112975","-0.883415168950336","1.21954934386274","1.04423516141494"
"sub-AG04EN28",2.92307692307692,88,3.5,3,2.25,0.116098683846423,-0.86221416287183,-0.352547429996905,-0.226889209047368,-0.303253321453804,11,17,3.66666666666667,3.58333333333333,3.58333333333333,2.41666666666667,2,24,"-1.62699948427354","1.27674830115138","-0.297825197793432","-1.38424105862775","-0.446816791835218","-0.784483811473354","0.0817631632146459"
"sub-AG05AS29",3.15384615384615,103,3.25,3.4,2.75,0.675013495992188,1.18485038519671,0.564995027310968,0.692190765468806,0.614427472903145,12,22,3,3.33333333333333,4,1.66666666666667,2,20,"3.15027675652473","0.917621444317198","1.42846022106211","-0.381809026774815","1.19778856987976","0.0356784510975798","0.404831928321481"
"sub-AH07IF27",3.46153846153846,112,3.5,3.8,3,0.719212191559023,0.829683908422832,0.863716682793476,1.10622071091867,0.884707000209796,18,18,4.5,2.91666666666667,2.25,3.75,2,23,"4.65100809500871","1.13320674459188","-0.145192403719421","1.48725830874245","1.67382912496664","0.938373795969899","0.457304378525713"
"sub-AH17AR05",3.07692307692308,100,3,3,3.25,0.0723691739585039,0.175307163258227,0.0966946557966428,0.273096762609611,0.10789151614503,13,23,3.66666666666667,4,3.75,2.08333333333333,2,23,"1.51059124148921","-0.385357422797683","0.695646655984444","0.921925667112786","0.553975634803968","0.308105186337634","-0.750963767991671"
"sub-AHSAER12",3.53846153846154,97,3.5,3.4,3.75,-0.218184824573979,-0.479069581906378,0.274067617784689,0.300907701550205,0.234325111666668,13,18,4,2.91666666666667,3.41666666666667,2.41666666666667,2,28,"1.19589261004138","-0.0854555397786358","0.00639735858579303","1.21787779308673","-0.760355300759691","0.211895843818075","0.873589051974768"
"sub-AI07AS19",2.69230769230769,77,2.75,3.4,1.75,-0.358179652799891,-1.01181929706719,-0.843505856509583,-0.845668370111484,-0.81373095007915,11,21,3.66666666666667,4.33333333333333,3.91666666666667,3.58333333333333,1,23,"-4.31605294814894","0.355596793754683","-0.209071237740967","-3.40852261214296","-1.1374730272344","-0.635294811423402","0.705607636555206"
"sub-AK04IO21",2.92307692307692,73,3.5,2.6,2.75,-0.894995117162238,-0.890192267063404,-0.78102452271272,-1.03462107237887,-0.79326197767065,14,14,3.25,4.5,3.58333333333333,3.41666666666667,1,21,"-3.81352600061773","1.27528531439663","-2.29861015760555","-0.684348760020477","-0.927268715565659","-1.15879474858531","-1.39139645675856"
"sub-AK05AN22",3.53846153846154,95,3.75,3.6,3.25,0.561286571991313,0.516484587936317,0.681748692328005,0.633647908008101,0.677827840169673,11,26,3.83333333333333,3.66666666666667,4.33333333333333,2.41666666666667,1,28,"2.73565966296084","0.849000730508906","0.832518782450167","0.566360844810212","0.682712480572496","0.463286273401413","0.301653189453743"
"sub-AK06AS07",3.23076923076923,104,3.25,3.2,3.25,1.18593640467263,0.857662012614407,0.739987458666158,0.927713990553018,0.775566836626229,11,22,4,3.5,4.66666666666667,1.91666666666667,1,27,"3.26458655790604","0.947901814035405","1.22897408923747","0.859437265174167","0.5818211153402","0.514811767244283","-0.589102949856605"
