"ID","Personality_BISBAS_BAS","Personality_RSTPQ_BAS","Personality_BISBAS_BIS","Personality_RSTPQ_BIS","Personality_PSWQ_Concerns","Personality_BFI_Anxiety","Covariate_Gender","Covariate_Age","Covariate_AGG_Anger","Covariate_BDI_Depression","Covariate_BFI_Extraversion","Covariate_BFI_OpenMindedness","Covariate_BFI_Conscientiousness","Covariate_BFI_Agreeableness","Covariate_BFI_NegativeEmotionality","Personality_Z_sum_MPQ","Personality_Z_sum_BFI","Personality_Z_AV_notweighted_BAS","Personality_Z_AV_ItemNr_BAS","Personality_Z_AV_Reliability_BAS","Personality_Z_AV_notweighted_BIS","Personality_Z_AV_ItemNr_BIS","Personality_Z_AV_Reliability_BIS","Personality_PCA_BAS","Personality_PCA_BIS","Personality_FactorAnalysis_BAS","Personality_FactorAnalysis_BIS"
"sub-AA06WI11",3.38461538461538,96,3.57142857142857,66,65,3.75,1,19,18,NA,2.91666666666667,2.66666666666667,2.66666666666667,3.75,3.41666666666667,-1.20498744722397,-1.38112024678717,-0.200636041077239,0.0248626479102364,-0.423611340838332,1.03144627636714,0.992138699304967,1.03897424559975,"-4.74360904337645","19.2961198338617","-0.11763263120437","1.14424110803294"
"sub-AG04EN28",2.92307692307692,88,2.71428571428571,49,38,2.5,2,24,11,NA,3.25,3.66666666666667,3.58333333333333,3.58333333333333,2.41666666666667,0.348776257861118,-1.71330521307589,-0.30745589354398,-0.192368629042857,-0.0824418227461152,-0.543438637316363,-0.570150417910532,-0.542475767018108,"2.49949096955694","-11.7455016631973","-0.522487840770211","-0.6042518439436"
"sub-AG05AS29",3.15384615384615,103,2.71428571428571,41,31,1.5,2,20,12,NA,4.5,3,3.33333333333333,4,1.66666666666667,2.00198025480849,2.4022344422322,0.792745581287251,0.77468044754262,0.760834060836914,-1.13776258912254,-1.11412591425639,-1.13833702879949,"-13.154314023418","-22.385799551015","1.04211117569095","-1.23307938397304"
"sub-AH07IF27",3.46153846153846,112,2,71,39,3,2,23,18,NA,4.41666666666667,4.5,2.91666666666667,2.25,3.75,2.14337343690399,1.69475782304029,0.94457381554293,1.15169404457278,0.770223423658077,-0.254968779365849,0.0909397120870565,-0.291661731675093,"-21.7053519821804","4.71862265285261","1.38176751455826","-0.300455379393978"
"sub-AH17AR05",3.07692307692308,100,2.28571428571429,52,40,2.5,2,23,13,11,3.66666666666667,3.66666666666667,4,3.75,2.08333333333333,0.197982110383906,0.36601795788538,0.176735324899969,0.324358522553163,0.131704041571279,-0.627057068814274,-0.518224852233556,-0.636142571292611,"-9.47509092282078","-8.21407521387709","0.451570032927046","-0.653626466168262"
"sub-AHSAER12",3.53846153846154,97,2.85714285714286,62,43,3,2,28,13,NA,3,4,2.91666666666667,3.41666666666667,2.41666666666667,-0.663028087075486,-0.962721907269532,0.00981529988823461,0.220634437623279,-0.215969764028575,0.00865168446648898,0.0792365830007372,-0.00146745023361762,"-6.08724142964113","1.07336247281613","0.286565297064151","-0.0305874955413582"
"sub-AI07AS19",2.69230769230769,77,4,76,67,4.25,1,23,11,NA,2.75,3.66666666666667,4.33333333333333,3.91666666666667,3.58333333333333,-1.05795368589944,-2.02393683605739,-0.779641339611924,-0.833143569700988,-0.530583530834679,1.5890014772749,1.53214163789888,1.5933450154647,"13.9628160732852","27.8839223308581","-1.18863350122555","1.68564821698482"
"sub-AI09ID16",3.15384615384615,87,2.42857142857143,65,38,2.75,1,21,10,23,2.41666666666667,4.08333333333333,4.16666666666667,4.08333333333333,2.08333333333333,-1.82658195503817,-2.77452014186376,-0.690716884035747,-0.505687360642319,-0.773355357434814,-0.286218687935144,-0.0642352073188016,-0.311070102380494,"4.8248146247565","-0.275681178009082","-0.944000012920692","-0.348897841848629"
"sub-AJ06IR11",3.46153846153846,85,3,48,47,3,1,21,8,NA,3.5,3.08333333333333,4.08333333333333,3.91666666666667,2.5,2.9883388763195,0.344464614578153,0.53996580827202,0.39944729313679,0.820892350376315,-0.116334372721789,-0.269030985678474,-0.101685420069909,"4.12855478349802","-6.17403754586085","0.279647328697778","-0.118706573753069"
"sub-AJ07AW16",3.30769230769231,88,3.57142857142857,52,53,4,1,23,15,NA,2.91666666666667,3.83333333333333,4.25,4.16666666666667,3.33333333333333,-0.240314162985863,-0.984275250576758,-0.135100545402674,-0.10750718241119,-0.186354350868746,0.621176439858223,0.246280815132155,0.651129904103134,"2.76147601629865","0.917682093762441","-0.236026043057134","0.622958873114862"
"sub-AK04IO21",2.92307692307692,73,3.28571428571429,71,68,3.5,1,21,14,NA,2.58333333333333,3.25,4.5,3.58333333333333,3.41666666666667,-2.64046109179906,-1.75641189969035,-0.925324746491923,-1.09593019465604,-0.964504974576064,0.985021301394483,1.14491430516618,0.978383088908471,"18.9200027602317","24.9522448236522","-1.51058481192549","1.14132110178663"
"sub-AK06AS07",3.23076923076923,104,2.85714285714286,46,44,2,1,27,11,NA,4,4,3.5,4.66666666666667,1.91666666666667,3.53029823646798,1.73786450965474,0.958951318016799,1.02184295663818,1.11738599503707,-0.582214281988605,-0.543574043570679,-0.579553504507008,"-14.7035740390263","-9.73327763925196","1.1938044284342","-0.579139281473519"
"sub-AK06RG17",2.53846153846154,71,3.42857142857143,78,60,3.75,2,24,15,15,2.58333333333333,3,3,3.75,3.08333333333333,-4.02220772089776,-4.10326000701867,-1.63496870216032,-1.57186005879262,-1.48535480717635,1.10024471609528,1.24767077976646,1.08591903526686,"21.121953474553","24.4139516648573","-2.12775845380239","1.16781998579889"
"sub-AL07NK06",2.53846153846154,74,2.57142857142857,57,52,3,2,29,9,5,4,4.33333333333333,4,4.16666666666667,2.75,0.0712159020196795,2.07004947594347,-0.13135717462435,-0.614967937168382,0.145795602079759,-0.0313899518392796,0.0611010446516492,-0.0355326838368714,"16.1259712236912","3.74609346650355","-0.488782317772487","0.0255394053595572"
"sub-AL08AS02",2.76923076923077,78,3.14285714285714,66,60,3.25,1,25,10,NA,2.91666666666667,3.08333333333333,4.08333333333333,4,2.83333333333333,-3.25357945175903,-0.984275250576758,-0.901994492805375,-1.0249708667088,-0.996798497411095,0.602690192632327,0.721075320036101,0.597057424457575,"13.6853207208443","15.7882045909555","-1.09526796551429","0.699910630722992"
"sub-AM04EN20",2.30769230769231,60,2.14285714285714,32,33,2.25,2,23,7,0,2.83333333333333,3.33333333333333,3.41666666666667,4.41666666666667,1.75,-2.46514603842373,-2.02393683605739,-1.34233323106007,-1.64987557940124,-0.878757162597731,-1.26914765276674,-1.43067099962275,-1.25348563788153,"30.6358215979119","-27.4339260645977","-2.00164702197094","-1.33936254682656"
"sub-AN03EU29",2.84615384615385,88,3.14285714285714,69,62,4,1,22,13,NA,4.16666666666667,3.41666666666667,2.33333333333333,4.25,3.5,-1.90150134100234,0.719756267481334,-0.311816707454495,-0.394174074663985,-0.408078757963032,0.930871330581297,0.947354798333145,0.930375361012899,"3.03007840124146","19.3560858568524","-0.175443913103772","1.02536565401054"
"sub-AN04AD03",3.84615384615385,106,2.14285714285714,43,26,1.25,2,23,14,NA,4.25,3.91666666666667,4.16666666666667,3.66666666666667,1.33333333333333,0.246993364158749,1.71631116634752,0.755234671565012,0.859011846902661,0.283274922970233,-1.51035426572829,-1.3249105924945,-1.52602213120192,"-15.2696677435298","-24.4552711695683","1.21576755650031","-1.62298712269318"
"sub-AN04ES31",3.38461538461538,85,3,52,52,3.5,1,22,13,10,3.41666666666667,3.83333333333333,4.33333333333333,3.83333333333333,3,2.05287170165968,0.033832991596652,0.33147889731363,0.222348052230712,0.541560470996091,0.209353660080255,0.0394701153251181,0.22510370184387,"4.46734887248549","0.190102713857358","0.143072771162606","0.238011765746694"
"sub-AN05ER02",2.53846153846154,85,2.14285714285714,60,44,2.5,2,29,14,NA,3.08333333333333,3.25,2.33333333333333,3.25,2.58333333333333,-1.52403828453488,-1.33801356017271,-0.710687089501403,-0.675500846450366,-0.562696035568782,-0.461442780080749,-0.180399160782632,-0.484115207794546,"6.05774241316457","0.30055655769123","-0.874157286591202","-0.448894479736873"
"sub-AN08AT08",3,90,3,48,46,3,1,26,9,1,3.16666666666667,4.08333333333333,3.91666666666667,3.75,2.16666666666667,-0.412793647735982,0.0553863349038785,-0.108484996491855,-0.121109703483364,-0.109667746375378,-0.135351743987759,-0.293373220898916,-0.120924414085302,"0.521802022577178","-6.87003175640044","-0.0623721622064128","-0.14690962007643"
"sub-AR06AS06",3.61538461538462,89,3.42857142857143,63,56,4.25,2,26,19,NA,3.75,2.25,4.33333333333333,3.5,3.75,0.839844171158413,1.05194123377006,0.444298835128479,0.319207547660277,0.348942021769995,0.901659068658963,0.687355860311967,0.916232442581112,"1.0013829878084","10.8951912468722","0.48884654919356","0.925507944225573"
"sub-AR07AN21",2.84615384615385,81,3.71428571428571,59,54,3.75,1,21,14,1,3.33333333333333,4.5,4.83333333333333,3.75,2.83333333333333,1.33513487937213,1.05194123377006,0.11183236168285,-0.183051324829078,0.36627466386095,0.751295511868903,0.518113987809582,0.769291017070827,"8.99352419509309","6.62631557708717","-0.227055960133393","0.760256374399221"
"sub-AR07IM16",3.53846153846154,92,3.85714285714286,72,69,4.75,2,24,22,7,4,3.5,3,4.66666666666667,3.66666666666667,-0.76434857201412,1.34101951344434,0.262887912886555,0.135491298679273,-0.105075049752686,1.64982023039531,1.46092675983211,1.66521505353848,"-0.84717574774133","26.4221430712332","0.270978802162707","1.75897998567323"
"sub-AR07SA26",3.76923076923077,72,3.85714285714286,60,63,3.25,2,27,15,18,2.66666666666667,3.25,3.25,4.08333333333333,2.91666666666667,-3.03584909938675,-1.71330521307589,-0.65276167223325,-0.834553746241475,-0.999048360972483,0.843912473382915,0.754503573805311,0.857998633935683,"19.8323492229006","13.5936701869349","-1.03721438543688","0.942652384084191"
"sub-AR10IO04",3.53846153846154,94,2.14285714285714,43,37,3.25,1,20,16,0,3.25,3.5,3.83333333333333,3.16666666666667,2.66666666666667,-1.08198162501242,-1.67019852646144,-0.188038663540485,0.0588796784246613,-0.356851619712529,-0.676120445467222,-0.857132329442313,-0.664290078915646,"-3.21949283669622","-16.7312498426861","0.0292830881957247","-0.7406384145836"
"sub-AS06AR20",3.38461538461538,109,2.71428571428571,47,41,2.75,2,22,12,0,4,3.83333333333333,3.5,4.58333333333333,1.91666666666667,1.03918716364673,1.75941785296197,0.72866189993219,0.890178680794519,0.494959911209339,-0.445426427670698,-0.540515255793063,-0.4375300813611,"-18.7078577814842","-11.082582382352","1.26994732622952","-0.484465459276843"
"sub-AS06FR30",3.61538461538462,105,3.28571428571429,78,70,4.5,1,26,25,NA,4.5,4.5,3.83333333333333,3.08333333333333,4.33333333333333,-0.466983071976116,2.44534112884665,0.653654994451397,0.636174072609601,0.0774979674838254,1.46567327377372,1.53298199891119,1.46103228753599,"-13.6265708115041","31.395784670201","1.09594209849858","1.61096483313806"
"sub-AT05LI18",2.92307692307692,78,2.71428571428571,43,34,2,2,21,9,0,2.83333333333333,2.75,3.83333333333333,4.08333333333333,1.58333333333333,-1.87041503834772,-1.98083014944294,-0.785818968136818,-0.799980208127661,-0.680299633593195,-0.887279545046607,-0.922702536690956,-0.884060081070284,"12.8992859327741","-18.8472216895177","-0.964819410307304","-0.969104291242403"
"sub-AT06ED25",3.61538461538462,108,3.14285714285714,43,45,4,1,19,18,NA,4.5,4.16666666666667,4.66666666666667,4.33333333333333,3.08333333333333,2.93932762254466,2.07004947594347,1.12359308423565,1.21487131810222,0.999825024128599,0.124362818535577,-0.355575489378941,0.160868042751964,"-18.3286822583816","-11.1122774251639","1.48130372333922","0.0735308629221657"
"sub-AU05IN13",2.76923076923077,73,3.57142857142857,66,64,3.75,1,23,15,17,3.83333333333333,3.5,4,4.08333333333333,3.83333333333333,0.812980663420214,1.34101951344434,-0.0504313164606103,-0.509371064450855,0.2400253410134,1.01242890510117,0.967796464084525,1.01973525158436,"17.1075950632919","18.6001256233221","-0.622567897290704","1.11603806170958"
"sub-AU06EL20",2.92307692307692,91,3.57142857142857,60,42,3.5,1,23,11,10,4.08333333333333,3.5,4.08333333333333,4.16666666666667,3,-0.0937428104250706,1.40567954336602,0.111831717174294,-0.0151666824622692,0.0873915810404984,0.404405656625381,0.202085820789556,0.413111935019729,"-0.584046433015333","-1.02097956634255","0.17246372431258","0.315045180409347"
"sub-AU07ND25",3.07692307692308,88,1.42857142857143,31,28,2,2,23,10,2,3.41666666666667,2.58333333333333,3.91666666666667,3.83333333333333,2.08333333333333,1.03730697057039,-0.695196970902483,-0.00270473454148135,0.0492144065082012,0.265154935342346,-1.75663087977079,-1.77716181877672,-1.7532873766933,"1.73721501128124","-31.6573996280209","-0.100272525824169","-1.83720483208196"
"sub-AU09GE22",2.76923076923077,76,4,75,58,4,1,26,14,8,2.08333333333333,3.58333333333333,3.16666666666667,3.91666666666667,3.58333333333333,-3.99864219054851,-3.41733673113399,-1.38063581812845,-1.30108706153197,-1.40611420612003,1.32112967074215,1.25386318496284,1.32191408648465,"16.2750462429685","20.8946768210626","-1.71802676497399","1.34213782319429"
"sub-AY05AN24",3.07692307692308,79,2.57142857142857,43,36,3.25,2,21,14,1,3.33333333333333,3.41666666666667,3.91666666666667,3.08333333333333,3.08333333333333,0.646141757899121,0.36601795788538,-0.0177894551843364,-0.272325313563024,0.149366486389112,-0.51772927341208,-0.782125780402932,-0.500333001395063,"11.0667903271266","-17.4163211157541","-0.352699238667936","-0.608555014851968"
"sub-AZ05AT02",3.61538461538462,114,3.85714285714286,76,73,4.5,1,20,15,13,4.16666666666667,4.58333333333333,4.66666666666667,4.5,3.83333333333333,1.25879770909535,2.44534112884665,1.01100121469255,1.16285686050994,0.57777125819626,1.72209986580561,1.67008049725501,1.72897651214302,"-23.2469235269578","32.0647572413068","1.6282050735529","1.8729520793924"
