"ID","Personality_PSWQ_Concerns","Personality_SANB5_SocialPhobia","Personality_RSTPQ_BIS","Personality_BISBAS_BIS","Personality_BFI_Anxiety","Covariate_Gender","Covariate_Age","Covariate_MPS_TotalPerfectionism","Covariate_BFI_Sociability","Covariate_BDI_Depression","Covariate_BFI_OpenMindedness","Covariate_BFI_Conscientiousness","Covariate_BFI_Agreeableness","Covariate_BFI_Extraversion","Personality_Z_sum","Personality_Z_AV_notweighted","Personality_Z_AV_ItemNr","Personality_Z_AV_Reliability","Personality_PCA","Personality_FactorAnalysis"
"sub-AA06WI11",65,12,66,3.57142857142857,3.75,1,19,133,2.75,NA,2.66666666666667,2.66666666666667,3.75,2.91666666666667,4.37627483384014,0.875254966768028,0.92471606558375,0.874165037845434,"19.2066720883818","1.04526657812417"
"sub-AG04EN28",38,10,49,2.71428571428571,2.5,2,24,118,4,NA,3.66666666666667,3.58333333333333,3.58333333333333,3.25,-2.44263466275798,-0.488526932551597,-0.542762208417986,-0.489371599399429,"-11.7633025041527","-0.572346012362811"
"sub-AG05AS29",31,9,41,2.71428571428571,1.5,2,20,107,4.75,NA,3,3.33333333333333,4,4.5,-5.07961539091474,-1.01592307818295,-1.06089310699895,-1.00077895902094,"-22.4320950274138","-1.16731244037679"
"sub-AH07IF27",39,13,71,2,3,2,23,143,5,NA,4.5,2.91666666666667,2.25,4.41666666666667,-0.509700468159766,-0.101940093631953,0.129051979106745,-0.0857928287417557,"4.98865484573134","-0.163751710974137"
"sub-AH17AR05",40,6,52,2.28571428571429,2.5,2,23,112,3.75,11,3.66666666666667,4,3.75,3.66666666666667,-3.81584807247784,-0.763169614495569,-0.589988029050573,-0.758994139002473,"-8.88518031520484","-0.759038513367992"
"sub-AHSAER12",43,11,62,2.85714285714286,3,2,28,145,2.75,NA,4,2.91666666666667,3.41666666666667,3,0.0254115453054803,0.00508230906109606,0.0711973306769906,0.00578622243982513,"1.06599078602184","-0.00408096570192754"
"sub-AI07AS19",67,18,76,4,4.25,1,23,150,2.75,NA,3.66666666666667,4.33333333333333,3.91666666666667,2.75,8.16460516306349,1.6329210326127,1.55727414845024,1.6298767504242,"28.6207113288132","1.76042046529682"
"sub-AI09ID16",38,13,65,2.42857142857143,2.75,1,21,179,2.25,23,4.08333333333333,4.16666666666667,4.08333333333333,2.41666666666667,-0.634700102436945,-0.126940020487389,-0.0120161294440349,-0.114009286961429,"0.047939064175431","-0.209223145780345"
"sub-AJ06IR11",47,9,48,3,3,1,21,138,3.25,NA,3.08333333333333,4.08333333333333,3.91666666666667,3.5,-0.993902525311738,-0.198780505062347,-0.292624990109938,-0.210873507816074,"-6.42182943366661","-0.193535982558019"
"sub-AJ07AW16",53,10,52,3.57142857142857,4,1,23,119,2.5,NA,3.83333333333333,4.25,4.16666666666667,2.91666666666667,2.21582564594036,0.443165129188072,0.199448003439002,0.404057634559002,"0.737124231080053","0.507903051020841"
"sub-AK04IO21",68,9,71,3.28571428571429,3.5,1,21,83,2,NA,3.25,4.5,3.58333333333333,2.58333333333333,3.41152017115335,0.68230403423067,0.992779819748841,0.69725079836009,"24.3386100647451","0.940116534724504"
"sub-AK06AS07",44,8,46,2.85714285714286,2,1,27,78,3.75,NA,4,3.5,4.66666666666667,4,-3.11710708331106,-0.623421416662212,-0.565817308278493,-0.607593926974155,"-10.0911258724836","-0.636751058250747"
"sub-AK06RG17",60,18,78,3.42857142857143,3.75,2,24,124,3.75,15,3,3,3.75,2.58333333333333,6.20957811834501,1.241915623669,1.29866427742077,1.25522179758475,"25.2015877569045","1.30960896095757"
"sub-AL07NK06",52,13,57,2.57142857142857,3,2,29,111,3.5,5,4.33333333333333,4,4.16666666666667,4,0.384614841946514,0.0769229683893027,0.101925917801829,0.088513096128103,"3.99790918997714","0.0700036549152389"
"sub-AL08AS02",60,14,66,3.14285714285714,3.25,1,25,101,2.5,NA,3.08333333333333,4.08333333333333,4,2.91666666666667,3.18062034076499,0.636124068152999,0.725510251872427,0.652602301931655,"16.0519484491256","0.720426669155994"
"sub-AM04EN20",33,9,32,2.14285714285714,2.25,2,23,66,3,0,3.33333333333333,3.41666666666667,4.41666666666667,2.83333333333333,-5.60515564549155,-1.12103112909831,-1.34866136642292,-1.1310549472422,"-27.4326700256329","-1.30554646929957"
"sub-AN03EU29",62,7,69,3.14285714285714,4,1,22,69,5,NA,3.41666666666667,2.33333333333333,4.25,4.16666666666667,2.6755504460365,0.5351100892073,0.765964827912978,0.523846224968374,"18.5067873109262","0.775595630969548"
"sub-AN04AD03",26,10,43,2.14285714285714,1.25,2,23,111,4.5,NA,3.91666666666667,4.16666666666667,3.66666666666667,4.25,-6.3102971764057,-1.26205943528114,-1.22890782167614,-1.23533223630956,"-24.3163231203159","-1.47602448470138"
"sub-AN04ES31",52,13,52,3,3.5,1,22,137,3.25,10,3.83333333333333,4.33333333333333,3.83333333333333,3.41666666666667,1.34758928962465,0.26951785792493,0.0822614365958921,0.255267625228188,"0.478563136235846","0.255822683361438"
"sub-AN05ER02",44,5,60,2.14285714285714,2.5,2,29,66,3.25,NA,3.25,2.33333333333333,3.25,3.08333333333333,-3.4130758384758,-0.682615167695159,-0.30648148417992,-0.665742468312144,"-0.62000314345664","-0.603453031922936"
"sub-AN08AT08",46,8,48,3,3,1,26,114,2.5,1,4.08333333333333,3.91666666666667,3.75,3.16666666666667,-1.32965693130767,-0.265931386261535,-0.338362014940527,-0.280351794505247,"-7.26163345376799","-0.249793334738974"
"sub-AR06AS06",56,16,63,3.42857142857143,4.25,2,26,158,3.5,NA,2.25,4.33333333333333,3.5,3.75,4.89586568673564,0.979173137347129,0.742071637747224,0.954478337871678,"11.5243304126161","0.996886603738845"
"sub-AR07AN21",54,13,59,3.71428571428571,3.75,1,21,130,2.25,1,4.5,4.83333333333333,3.75,3.33333333333333,3.51535669677924,0.703071339355849,0.517392229763587,0.682172812443398,"6.84429586252544","0.75088203462821"
"sub-AR07IM16",69,14,72,3.85714285714286,4.75,2,24,130,4,7,3.5,3,4.66666666666667,4,7.36914049181693,1.47382809836339,1.39810246986879,1.44952361272035,"26.5570431188419","1.67093241984001"
"sub-AR07SA26",63,15,60,3.85714285714286,3.25,2,27,131,2.25,18,3.25,3.25,4.08333333333333,2.66666666666667,4.4051943846994,0.88103887693988,0.779507293565532,0.888844840189622,"14.0266821462867","0.964151438992317"
"sub-AR10IO04",37,6,43,2.14285714285714,3.25,1,20,118,4,0,3.5,3.83333333333333,3.16666666666667,3.25,-4.01210157908963,-0.802420315817926,-0.898085735603988,-0.833680346547915,"-17.3081953621899","-0.856728548232482"
"sub-AS06AR20",41,8,47,2.71428571428571,2.75,2,22,109,3.75,0,3.83333333333333,3.5,4.58333333333333,4,-2.56995566603943,-0.513991133207886,-0.563036592117025,-0.523906425385702,"-11.4200097876485","-0.546546888393592"
"sub-AS06FR30",70,12,78,3.28571428571429,4.5,1,26,133,4.75,NA,4.5,3.83333333333333,3.08333333333333,4.5,6.11318282346646,1.22263656469329,1.4163917924985,1.21719943482146,"31.1709853477368","1.47121976410516"
"sub-AT05LI18",34,10,43,2.71428571428571,2,2,21,106,3,0,2.75,3.83333333333333,4.08333333333333,2.83333333333333,-3.81799829367896,-0.763599658735791,-0.863264134582008,-0.758379152781674,"-18.783281863138","-0.901792031584089"
"sub-AT06ED25",45,6,43,3.14285714285714,4,1,19,107,5,NA,4.16666666666667,4.66666666666667,4.33333333333333,4.5,-0.810168523078436,-0.162033704615687,-0.442124971910014,-0.21929610689771,"-11.7642997485707","-0.129388899254704"
"sub-AU05IN13",64,15,66,3.57142857142857,3.75,1,23,82,3.5,17,3.5,4,4.08333333333333,3.83333333333333,5.07926011157242,1.01585202231448,0.97340992109209,1.01712679755576,"18.9794486245201","1.12398807322529"
"sub-AU06EL20",42,11,60,3.57142857142857,3.5,1,23,119,4.25,10,3.5,4.08333333333333,4.16666666666667,4.08333333333333,1.60842743394105,0.32168548678821,0.182878455939553,0.29530535993899,"-1.00453857158731","0.317665147707315"
"sub-AU07ND25",28,5,31,1.42857142857143,2,2,23,126,3.75,2,2.58333333333333,3.91666666666667,3.83333333333333,3.41666666666667,-8.59382823723595,-1.71876564744719,-1.75808390053818,-1.72448078064447,"-32.2144812721945","-1.89038606609674"
"sub-AU09GE22",58,20,75,4,4,1,26,113,1.75,8,3.58333333333333,3.16666666666667,3.91666666666667,2.08333333333333,7.61248777879662,1.52249755575932,1.35150917685968,1.51868981313451,"22.0292259865142","1.54317723774848"
"sub-AY05AN24",36,11,43,2.57142857142857,3.25,2,21,99,2.75,1,3.41666666666667,3.91666666666667,3.08333333333333,3.33333333333333,-2.08011228620879,-0.416022457241759,-0.711859363326345,-0.447067407515525,"-17.2182741914904","-0.557410433629848"
"sub-AZ05AT02",73,18,76,3.85714285714286,4.5,1,20,153,3.75,13,4.58333333333333,4.66666666666667,4.5,4.16666666666667,8.69699871718634,1.73939974343727,1.68267311150127,1.73653112935825,"32.7454790741118","1.90779004297923"
"sub-BE04NZ10",46,13,65,3.28571428571429,3,2,24,122,1.5,2,3.08333333333333,2.83333333333333,3.41666666666667,2.08333333333333,1.70564549281071,0.341129098562142,0.368381288498329,0.346054339769957,"5.57135140325343","0.340421836297403"
"sub-BE05ED23",56,19,70,3.71428571428571,4,1,29,135,2.25,NA,4.08333333333333,3.83333333333333,4.5,3,6.35587197693879,1.27117439538776,1.0679922515259,1.26203562604088,"16.9484612818338","1.26838867893927"
"sub-BE06IO12",31,6,40,2.85714285714286,2,2,23,106,3.25,3,4,3.75,4.16666666666667,3.33333333333333,-5.07142318533568,-1.01428463706714,-1.08724076377302,-1.02162575181513,"-23.5804602832344","-1.10964132941047"
"sub-BIRULD31",42,5,45,3,2.25,2,29,86,2.75,NA,4.16666666666667,4.08333333333333,3.83333333333333,3.16666666666667,-3.57357521602748,-0.714715043205497,-0.659152401320113,-0.715432383719303,"-12.6212414682508","-0.687434695478579"
"sub-BL05RT22",58,11,62,3.42857142857143,3.75,1,26,126,4.25,NA,4.08333333333333,3.41666666666667,4.08333333333333,4,3.0501968234794,0.61003936469588,0.591746150992123,0.597317231592804,"11.4056442104899","0.727739969938434"
"sub-BY08RD24",43,9,46,2.57142857142857,3,1,20,107,3.75,7,3.41666666666667,4,2.91666666666667,4.41666666666667,-2.1564956236284,-0.43129912472568,-0.533634970236181,-0.445452506122368,"-10.5981455406378","-0.474272580804588"
"sub-CH04ER19",66,14,70,3.71428571428571,4.25,1,23,109,2,NA,4.25,4.25,3.66666666666667,2.75,6.13066359108504,1.22613271821701,1.19397552533664,1.21442343270686,"23.0577569748124","1.38812099091434"
