Fragebogenkürzel;Frage;Item;Subskala1;Subskala2;Subskala3;Umkodieren? (x);Wie viele Antwortmöglichkeiten? (2-7);Wie Score Berechenen
BFI21[BFI01];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich gehe aus mir heraus, bin gesellig.];BFI_Extraversion;BFI_Sociability;;;5;Mittelwert
BFI21[BFI02];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin einfühlsam, warmherzig.];BFI_Agreeableness;BFI_Compassion;;;5;Mittelwert
BFI21[BFI03];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin eher unordentlich.];BFI_Conscientiousness;BFI_Organization;;x;5;Mittelwert
BFI21[BFI04];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bleibe auch in stressigen Situationen gelassen.];BFI_NegativeEmotionality;BFI_Anxiety;;x;5;Mittelwert
BFI21[BFI05];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin nicht sonderlich kunstinteressiert.];BFI_OpenMindedness;BFI_AestheticSensitivity;;x;5;Mittelwert
BFI21[BFI06];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin durchsetzungsfähig, energisch.];BFI_Extraversion;BFI_Assertiveness;;;5;Mittelwert
BFI21[BFI07];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich begegne anderen mit Respekt.];BFI_Agreeableness;BFI_Respectfulness;;;5;Mittelwert
BFI21[BFI08];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin bequem, neige zu Faulheit.];BFI_Conscientiousness;BFI_Productiveness;;x;5;Mittelwert
BFI21[BFI09];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bleibe auch bei Rückschlägen zuversichtlich.];BFI_NegativeEmotionality;BFI_Depression;;x;5;Mittelwert
BFI21[BFI10];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin vielseitig interessiert.];BFI_OpenMindedness;BFI_IntellectualCuriosity;;;5;Mittelwert
BFI21[BFI11];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich schäume selten vor Begeisterung über.];BFI_Extraversion;BFI_EnergyLevel;;x;5;Mittelwert
BFI21[BFI12];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich neige dazu, andere zu kritisieren.];BFI_Agreeableness;BFI_Trust;;x;5;Mittelwert
BFI22[BFI13];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin stetig, beständig.];BFI_Conscientiousness;BFI_Responsibility;;;5;Mittelwert
BFI22[BFI14];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich kann launisch sein, habe schwankende Stimmungen.];BFI_NegativeEmotionality;BFI_EmotionalVolatility;;;5;Mittelwert
BFI22[BFI15];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin erfinderisch, mir fallen raffinierte Lösungen ein.];BFI_OpenMindedness;BFI_CreativeImagination;;;5;Mittelwert
BFI22[BFI16];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin eher ruhig.];BFI_Extraversion;BFI_Sociability;;x;5;Mittelwert
BFI22[BFI17];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich habe mit anderen wenig Mitgefühl.];BFI_Agreeableness;BFI_Compassion;;x;5;Mittelwert
BFI22[BFI18];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin systematisch, halte meine Sachen in Ordnung.];BFI_Conscientiousness;BFI_Organization;;;5;Mittelwert
BFI22[BFI19];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich reagiere leicht angespannt.];BFI_NegativeEmotionality;BFI_Anxiety;;;5;Mittelwert
BFI22[BFI20];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich kann mich für Kunst, Musik und Literatur begeistern.];BFI_OpenMindedness;BFI_AestheticSensitivity;;;5;Mittelwert
BFI22[BFI21];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich neige dazu, die Führung zu übernehmen.];BFI_Extraversion;BFI_Assertiveness;;;5;Mittelwert
BFI22[BFI22];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich habe oft Streit mit anderen.];BFI_Agreeableness;BFI_Respectfulness;;x;5;Mittelwert
BFI22[BFI23];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich neige dazu, Aufgaben vor mir herzuschieben.];BFI_Conscientiousness;BFI_Productiveness;;x;5;Mittelwert
BFI22[BFI24];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin selbstsicher, mit mir zufrieden.];BFI_NegativeEmotionality;BFI_Depression;;x;5;Mittelwert
BFI23[BFI25];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich meide philosophische Diskussionen.];BFI_OpenMindedness;BFI_IntellectualCuriosity;;x;5;Mittelwert
BFI23[BFI26];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin weniger aktiv und unternehmungslustig als andere.];BFI_Extraversion;BFI_EnergyLevel;;x;5;Mittelwert
BFI23[BFI27];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin nachsichtig, vergebe anderen leicht.];BFI_Agreeableness;BFI_Trust;;;5;Mittelwert
BFI23[BFI28];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin manchmal ziemlich nachlässig.];BFI_Conscientiousness;BFI_Responsibility;;x;5;Mittelwert
BFI23[BFI29];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin ausgeglichen, nicht leicht aus der Ruhe zu bringen.];BFI_NegativeEmotionality;BFI_EmotionalVolatility;;x;5;Mittelwert
BFI23[BFI30];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin nicht besonders einfallsreich.];BFI_OpenMindedness;BFI_CreativeImagination;;x;5;Mittelwert
BFI23[BFI31];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin eher schüchtern.];BFI_Extraversion;BFI_Sociability;;x;5;Mittelwert
BFI23[BFI32];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin hilfsbereit und selbstlos.];BFI_Agreeableness;BFI_Compassion;;;5;Mittelwert
BFI23[BFI33];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich mag es sauber und aufgeräumt.];BFI_Conscientiousness;BFI_Organization;;;5;Mittelwert
BFI23[BFI34];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich mache mir oft Sorgen.];BFI_NegativeEmotionality;BFI_Anxiety;;;5;Mittelwert
BFI23[BFI35];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich weiß Kunst und Schönheit zu schätzen.];BFI_OpenMindedness;BFI_AestheticSensitivity;;;5;Mittelwert
BFI23[BFI36];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Mir fällt es schwer, andere zu beeinflussen.];BFI_Extraversion;BFI_Assertiveness;;x;5;Mittelwert
BFI23[AC01];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich habe noch nie einen Computer benutzt.];AttentionCheck;;;;5;Summe
BFI24[BFI37];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin manchmal unhöflich und schroff.];BFI_Agreeableness;BFI_Respectfulness;;x;5;Mittelwert
BFI24[BFI38];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin effizient, erledige Dinge schnell.];BFI_Conscientiousness;BFI_Productiveness;;;5;Mittelwert
BFI24[BFI39];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich fühle mich oft bedrückt, freudlos.];BFI_NegativeEmotionality;BFI_Depression;;;5;Mittelwert
BFI24[BFI40];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Es macht mir Spaß, gründlich über komplexe Dinge nachzudenken und sie zu verstehen.];BFI_OpenMindedness;BFI_IntellectualCuriosity;;;5;Mittelwert
BFI24[BFI41];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin voller Energie und Tatendrang.];BFI_Extraversion;BFI_EnergyLevel;;;5;Mittelwert
BFI24[BFI42];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin anderen gegenüber misstrauisch.];BFI_Agreeableness;BFI_Trust;;x;5;Mittelwert
BFI24[BFI43];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin verlässlich, auf mich kann man zählen.];BFI_Conscientiousness;BFI_Responsibility;;;5;Mittelwert
BFI24[BFI44];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich habe meine Gefühle unter Kontrolle, werde selten wütend.];BFI_NegativeEmotionality;BFI_EmotionalVolatility;;x;5;Mittelwert
BFI24[BFI45];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin nicht sonderlich fantasievoll.];BFI_OpenMindedness;BFI_CreativeImagination;;x;5;Mittelwert
