"Onset","Duration","Participant","date_time","Order_Experimenter","Response_Mapping","Running","Trial","Event","ExperimenterPresence","Congruency","Target","Response","Accuracy","RT","RT_Condition","Post_Trial","Cutoff","TaskPerf"
115.022052600005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",0,"PracFlankers",NA,0.66,"H","None",0,NA,NA,NA,NA,76.7361111111111
115.106875099998,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",0,"PracTarget",NA,0.66,"H","None",0,NA,NA,NA,NA,76.7361111111111
116.107667200005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",0,"TooSlowFeedback",NA,0.66,"H","None",0,NA,NA,NA,NA,76.7361111111111
118.083916200005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",1,"PracFlankers",NA,1,"S","4",1,0.433403299990459,NA,NA,NA,76.7361111111111
118.159366799999,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",1,"PracTarget",NA,1,"S","4",1,0.433403299990459,NA,NA,NA,76.7361111111111
118.592770099989,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",1,"PracResponse",NA,1,"S","4",1,0.433403299990459,NA,NA,NA,76.7361111111111
119.384336100004,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",2,"PracFlankers",NA,0,"S","None",0,NA,NA,NA,NA,76.7361111111111
119.477356700008,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",2,"PracTarget",NA,0,"S","None",0,NA,NA,NA,NA,76.7361111111111
120.478002200005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",2,"TooSlowFeedback",NA,0,"S","None",0,NA,NA,NA,NA,76.7361111111111
122.370937600004,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",3,"PracFlankers",NA,0.66,"S","4",1,0.349573400002555,NA,NA,NA,76.7361111111111
122.462978299998,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",3,"PracTarget",NA,0.66,"S","4",1,0.349573400002555,NA,NA,NA,76.7361111111111
122.812551700001,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",3,"PracResponse",NA,0.66,"S","4",1,0.349573400002555,NA,NA,NA,76.7361111111111
123.782754500004,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",4,"PracFlankers",NA,1,"S","4",1,0.329718499997398,NA,NA,NA,76.7361111111111
123.8808746,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",4,"PracTarget",NA,1,"S","4",1,0.329718499997398,NA,NA,NA,76.7361111111111
124.210593099997,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",4,"PracResponse",NA,1,"S","4",1,0.329718499997398,NA,NA,NA,76.7361111111111
125.115453599996,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",5,"PracFlankers",NA,1,"S","4",1,0.285574000008637,NA,NA,NA,76.7361111111111
125.198653600004,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",5,"PracTarget",NA,1,"S","4",1,0.285574000008637,NA,NA,NA,76.7361111111111
125.484227600013,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",5,"PracResponse",NA,1,"S","4",1,0.285574000008637,NA,NA,NA,76.7361111111111
126.485183500001,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",6,"PracFlankers",NA,0,"H","4",0,0.26900129999558,NA,NA,NA,76.7361111111111
126.583193099999,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",6,"PracTarget",NA,0,"H","4",0,0.26900129999558,NA,NA,NA,76.7361111111111
126.852194399995,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",6,"PracResponse",NA,0,"H","4",0,0.26900129999558,NA,NA,NA,76.7361111111111
127.741882000002,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",7,"PracFlankers",NA,0.33,"S","4",1,0.320816299994476,NA,NA,NA,76.7361111111111
127.817435999998,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",7,"PracTarget",NA,0.33,"S","4",1,0.320816299994476,NA,NA,NA,76.7361111111111
128.138252299992,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",7,"PracResponse",NA,0.33,"S","4",1,0.320816299994476,NA,NA,NA,76.7361111111111
129.025418899997,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",8,"PracFlankers",NA,0.66,"S","4",1,0.310661199997412,NA,NA,NA,76.7361111111111
129.118483700004,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",8,"PracTarget",NA,0.66,"S","4",1,0.310661199997412,NA,NA,NA,76.7361111111111
129.429144900001,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",8,"PracResponse",NA,0.66,"S","4",1,0.310661199997412,NA,NA,NA,76.7361111111111
130.426169600003,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",9,"PracFlankers",NA,0.33,"H","4",0,0.266749599992181,NA,NA,NA,76.7361111111111
130.519645799999,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",9,"PracTarget",NA,0.33,"H","4",0,0.266749599992181,NA,NA,NA,76.7361111111111
130.786395399991,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",9,"PracResponse",NA,0.33,"H","4",0,0.266749599992181,NA,NA,NA,76.7361111111111
131.694297199996,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",10,"PracFlankers",NA,1,"S","4",1,0.325846300009289,NA,NA,NA,76.7361111111111
131.787387799995,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",10,"PracTarget",NA,1,"S","4",1,0.325846300009289,NA,NA,NA,76.7361111111111
132.113234100005,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",10,"PracResponse",NA,1,"S","4",1,0.325846300009289,NA,NA,NA,76.7361111111111
132.930137300005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",11,"PracFlankers",NA,1,"H","2",1,0.377373900002567,NA,NA,NA,76.7361111111111
133.021808500009,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",11,"PracTarget",NA,1,"H","2",1,0.377373900002567,NA,NA,NA,76.7361111111111
133.399182400011,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",11,"PracResponse",NA,1,"H","2",1,0.377373900002567,NA,NA,NA,76.7361111111111
134.423087600007,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",12,"PracFlankers",NA,1,"H","2",1,0.286820599998464,NA,NA,NA,76.7361111111111
134.506332300007,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",12,"PracTarget",NA,1,"H","2",1,0.286820599998464,NA,NA,NA,76.7361111111111
134.793152900005,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",12,"PracResponse",NA,1,"H","2",1,0.286820599998464,NA,NA,NA,76.7361111111111
135.774355400004,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",13,"PracFlankers",NA,1,"H","2",1,0.298733899995568,NA,NA,NA,76.7361111111111
135.857468300004,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",13,"PracTarget",NA,1,"H","2",1,0.298733899995568,NA,NA,NA,76.7361111111111
136.1562022,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",13,"PracResponse",NA,1,"H","2",1,0.298733899995568,NA,NA,NA,76.7361111111111
137.142193699998,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",14,"PracFlankers",NA,1,"H","2",1,0.28991710000264,NA,NA,NA,76.7361111111111
137.225286500005,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",14,"PracTarget",NA,1,"H","2",1,0.28991710000264,NA,NA,NA,76.7361111111111
137.515203600007,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","Practice",14,"PracResponse",NA,1,"H","2",1,0.28991710000264,NA,NA,NA,76.7361111111111
150.810701199996,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",0,"Flanker","absent",1,"H","2",1,0.330120699989493,"fast",NA,0.333689481019974,76.7361111111111
150.903703100004,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",0,"Target","absent",1,"H","2",1,0.330120699989493,"fast",NA,0.333689481019974,76.7361111111111
151.233823799994,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",0,"Response","absent",1,"H","2",1,0.330120699989493,"fast",NA,0.333689481019974,76.7361111111111
152.198140599998,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",1,"Flanker","absent",0.66,"S","4",1,0.268595600005938,"fast","post_correct",0.333689481019974,76.7361111111111
152.287957200009,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",1,"Target","absent",0.66,"S","4",1,0.268595600005938,"fast","post_correct",0.333689481019974,76.7361111111111
152.556552800015,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",1,"Response","absent",0.66,"S","4",1,0.268595600005938,"fast","post_correct",0.333689481019974,76.7361111111111
153.428872200006,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",2,"Flanker","absent",0.33,"H","2",1,0.427600800001528,"slow","post_correct",0.333689481019974,76.7361111111111
153.521892200006,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",2,"Target","absent",0.33,"H","2",1,0.427600800001528,"slow","post_correct",0.333689481019974,76.7361111111111
153.949493000007,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",2,"Response","absent",0.33,"H","2",1,0.427600800001528,"slow","post_correct",0.333689481019974,76.7361111111111
153.986753699995,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",2,"TooSlowFeedback","absent",0.33,"H","2",1,0.427600800001528,"slow","post_correct",0.333689481019974,76.7361111111111
155.917535200002,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",3,"Flanker","absent",0.33,"S","4",1,0.435119100002339,"slow","post_correct",0.333689481019974,76.7361111111111
156.007547500005,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",3,"Target","absent",0.33,"S","4",1,0.435119100002339,"slow","post_correct",0.333689481019974,76.7361111111111
156.442666600007,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",3,"Response","absent",0.33,"S","4",1,0.435119100002339,"slow","post_correct",0.333689481019974,76.7361111111111
156.465786700006,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",3,"TooSlowFeedback","absent",0.33,"S","4",1,0.435119100002339,"slow","post_correct",0.333689481019974,76.7361111111111
158.428417300005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",4,"Flanker","absent",0.66,"S","4",1,0.286338199992315,"fast","post_correct",0.333689481019974,76.7361111111111
158.526301400008,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",4,"Target","absent",0.66,"S","4",1,0.286338199992315,"fast","post_correct",0.333689481019974,76.7361111111111
158.812639600001,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",4,"Response","absent",0.66,"S","4",1,0.286338199992315,"fast","post_correct",0.333689481019974,76.7361111111111
159.770774400007,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",5,"Flanker","absent",0.33,"S","4",1,0.336680499996874,"slow","post_correct",0.333689481019974,76.7361111111111
159.860882100009,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",5,"Target","absent",0.33,"S","4",1,0.336680499996874,"slow","post_correct",0.333689481019974,76.7361111111111
160.197562600006,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",5,"Response","absent",0.33,"S","4",1,0.336680499996874,"slow","post_correct",0.333689481019974,76.7361111111111
160.236722700007,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",5,"TooSlowFeedback","absent",0.33,"S","4",1,0.336680499996874,"slow","post_correct",0.333689481019974,76.7361111111111
162.087969900007,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",6,"Flanker","absent",1,"S","4",1,0.280986400000984,"fast","post_correct",0.333689481019974,76.7361111111111
162.162780600003,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",6,"Target","absent",1,"S","4",1,0.280986400000984,"fast","post_correct",0.333689481019974,76.7361111111111
162.443767000004,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",6,"Response","absent",1,"S","4",1,0.280986400000984,"fast","post_correct",0.333689481019974,76.7361111111111
163.289471399999,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",7,"Flanker","absent",0.33,"H","2",1,0.334250899992185,"slow","post_correct",0.333689481019974,76.7361111111111
163.380322800003,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",7,"Target","absent",0.33,"H","2",1,0.334250899992185,"slow","post_correct",0.333689481019974,76.7361111111111
163.714573699996,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",7,"Response","absent",0.33,"H","2",1,0.334250899992185,"slow","post_correct",0.333689481019974,76.7361111111111
163.743334700004,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",7,"TooSlowFeedback","absent",0.33,"H","2",1,0.334250899992185,"slow","post_correct",0.333689481019974,76.7361111111111
165.672293600001,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",8,"Flanker","absent",0.66,"H","2",1,0.282108400002471,"fast","post_correct",0.333689481019974,76.7361111111111
165.765748599995,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",8,"Target","absent",0.66,"H","2",1,0.282108400002471,"fast","post_correct",0.333689481019974,76.7361111111111
166.047856999998,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",8,"Response","absent",0.66,"H","2",1,0.282108400002471,"fast","post_correct",0.333689481019974,76.7361111111111
166.958589400005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",9,"Flanker","absent",0.33,"H","2",1,0.25517229999241,"fast","post_correct",0.333689481019974,76.7361111111111
167.033332000006,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",9,"Target","absent",0.33,"H","2",1,0.25517229999241,"fast","post_correct",0.333689481019974,76.7361111111111
167.288504299999,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",9,"Response","absent",0.33,"H","2",1,0.25517229999241,"fast","post_correct",0.333689481019974,76.7361111111111
168.191515900005,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",10,"Flanker","absent",1,"H","2",1,0.247333099992829,"fast","post_correct",0.333689481019974,76.7361111111111
168.284429399995,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",10,"Target","absent",1,"H","2",1,0.247333099992829,"fast","post_correct",0.333689481019974,76.7361111111111
168.531762499988,0,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",10,"Response","absent",1,"H","2",1,0.247333099992829,"fast","post_correct",0.333689481019974,76.7361111111111
169.437575100004,0.1,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",11,"Flanker","absent",0,"S","2",0,0.265235200000461,"fast","post_correct",0.333689481019974,76.7361111111111
169.535512800008,0.2,"IA6LI11","2022_Jan_05_1225","NotPresent_First","S_blue","MainTask",11,"Target","absent",0,"S","2",0,0.265235200000461,"fast","post_correct",0.333689481019974,76.7361111111111
