values,cards,winlose,winlosecolor,MoneyTrigger,ChoiceTrigger,FeedbackTrigger,TrialPractice.thisRepN,TrialPractice.thisTrialN,TrialPractice.thisN,TrialPractice.thisIndex,Trial.thisRepN,Trial.thisTrialN,Trial.thisN,Trial.thisIndex,example2.started,example2.stopped,jitter,Fixation_prac.started,Fixation_prac.stopped,Money_prac.started,Money_prac.stopped,Choice_prac.started,Choice_prac.stopped,choice_prac.keys,choice_prac.rt,FeedbackSlide_prac.started,FeedbackSlide_prac.stopped,Fixation.started,Fixation.stopped,Money.started,Money.stopped,Choice.started,Choice.stopped,choice_resp.keys,choice_resp.rt,choice_resp.started,choice_resp.stopped,Square1.started,Square1.stopped,Square2.started,Square2.stopped,MoneyWon,FeedbackSlide.started,FeedbackSlide.stopped,square5.started,square5.stopped,square4.started,square4.stopped,Break_Text.started,Break_Text.stopped,Key_Response_Break.keys,Key_Response_Break.rt,text_2.started,text_2.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
50,4,x,#ed1c24,,,,0,0,0,4,,,,,128.78844519999984,None,4.33612818441794,160.08514419999847,164.42813749999914,164.41161270000157,164.9117685999954,164.9117685999954,None,2,3.1984433000034187,170.1660717999912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,7,x,#ed1c24,,,,0,1,1,1,,,,,,,2.671798566121729,171.1566931999987,173.8357862999983,173.8357862999983,174.33632329999818,174.33632329999818,None,4,1.9996716000023298,178.33956709998893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,x,#ed1c24,,,,0,2,2,3,,,,,,,4.193648120221441,179.34791060000134,183.54387189999397,183.52726669999538,184.0277492999885,184.0277492999885,None,2,1.6813006000011228,187.7140187999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,5,x,#ed1c24,,,,0,3,3,0,,,,,,,4.048559009314516,188.72417049999058,192.78480929999205,192.75147730000026,193.25211629999103,193.25211629999103,None,2,1.9876212000090163,197.25528489999124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,o,#3ced1d,,,,0,4,4,6,,,,,,,3.9788633322999765,198.25914199999534,202.24286610000127,202.2261875999975,202.72647889998916,202.72647889998916,None,2,1.0393998000072315,205.7957255999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,5,o,#3ced1d,,,,0,5,5,5,,,,,,,3.716949339532513,206.7985781999887,210.51645019999705,210.4996264999936,211.00030659999175,211.00030659999175,None,2,1.247202099999413,214.2526843999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,8,o,#3ced1d,,,,0,6,6,9,,,,,,,3.9277615351317583,215.26717310000095,219.20683299998927,219.19016999998712,219.6907569999894,219.6907569999894,None,4,2.1313212999957614,223.8273681999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,3,o,#3ced1d,,,,0,7,7,8,,,,,,,4.363235788802247,224.8388253000012,229.21532540000044,229.1819695999875,229.68224519999058,229.68224519999058,None,2,1.1656944999995176,232.85171699999773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,o,#3ced1d,,,,0,8,8,7,,,,,,,2.7309692452870324,233.85516300000018,236.5879489999934,236.5879489999934,237.08853709998948,237.08853709998948,None,2,1.1080074000055902,240.20766159999766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,5,x,#ed1c24,,,,0,9,9,2,,,,,,,2.7407463024906793,241.21146269999736,243.96076760000142,243.9442274999892,244.44457779999357,244.44457779999357,None,4,5.9900522000098135,252.4347240999923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,o,#3ced1d,19,14,111,,,,,0,0,0,44,,,4.070628235874481,,,,,,,,,,,277.2375724000012,281.30860949998896,281.29182529999525,281.79238069998974,281.79238069998974,None,2,0.7841205999866361,281.79238069998974,None,281.29182529999525,281.79238069998974,281.79238069998974,None,1010,284.57801339999423,None,282.60079250000126,284.6130129999947,284.57801339999423,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,3,o,#3ced1d,59,53,251,,,,,0,1,1,216,,,4.050922152161951,,,,,,,,,,,285.6333286000008,289.69881149999856,289.6820360999991,290.18251139999484,290.18251139999484,None,2,0.9985432999965269,290.18251139999484,None,289.6820360999991,290.18251139999484,290.18251139999484,None,1060,293.2017957999924,None,291.2027711999981,293.21854409998923,293.2017957999924,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,5,x,#ed1c24,19,15,110,,,,,0,2,2,159,,,3.31363334503666,,,,,,,,,,,294.2443922999955,297.573336299989,297.53895109999576,298.0390861999913,298.0390861999913,None,2,2.7236897999973735,298.0390861999913,None,297.53895109999576,298.0390861999913,298.0390861999913,None,1050,302.8098273999931,None,300.8240098999959,302.82633329999226,302.8098273999931,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,5,x,#ed1c24,19,15,110,,,,,0,3,3,168,,,3.365461051932438,,,,,,,,,,,303.8473169999925,307.21338069999183,307.21338069999183,307.71389339999587,307.71389339999587,None,2,1.0907552999997279,307.71389339999587,None,307.21338069999183,307.71389339999587,307.71389339999587,None,1040,310.83304639998823,None,308.83770069999446,310.84970899998734,310.83304639998823,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,5,x,#ed1c24,19,15,110,,,,,0,4,4,162,,,3.8075634001813876,,,,,,,,,,,311.86503839999205,315.6872302999982,315.6705446999986,316.17080209999403,316.17080209999403,None,4,3.0937919999996666,316.17080209999403,None,315.6705446999986,316.17080209999403,316.17080209999403,None,1030,321.2916860999976,None,319.29213190000155,321.2916860999976,321.2916860999976,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,x,#ed1c24,19,14,110,,,,,0,5,5,56,,,3.350019672684014,,,,,,,,,,,322.32695180000155,325.6786376999953,325.6786376999953,326.17927119998785,326.17927119998785,None,2,1.0326816000015242,326.17927119998785,None,325.6786376999953,326.17927119998785,326.17927119998785,None,1020,329.23181129999284,None,327.2321865999984,329.23181129999284,329.23181129999284,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,5,o,#3ced1d,19,15,111,,,,,0,6,6,151,,,3.6245865794732204,,,,,,,,,,,330.2550751999952,333.8856824999966,333.8856824999966,334.38593579998997,334.38593579998997,None,2,0.7767006999929436,334.38593579998997,None,333.8856824999966,334.38593579998997,334.38593579998997,None,1030,337.22181529999943,None,335.22014799999306,337.22181529999943,337.22181529999943,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,4,x,#ed1c24,9,4,100,,,,,0,7,7,19,,,3.9471857891404163,,,,,,,,,,,338.24251229999936,342.19262609998987,342.19262609998987,342.6926095999952,342.6926095999952,None,2,0.8890666000079364,342.6926095999952,None,342.19262609998987,342.6926095999952,342.6926095999952,None,1030,345.66212739999173,None,343.6606904999935,345.66212739999173,345.66212739999173,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,3,o,#3ced1d,19,13,211,,,,,0,8,8,212,,,3.1528695268583196,,,,,,,,,,,346.6312951,349.7987829999911,349.7822626999987,350.2824982999882,350.2824982999882,None,2,0.6221766999951797,350.2824982999882,None,349.7822626999987,350.2824982999882,350.2824982999882,None,1040,352.95144399999117,None,350.95516349999525,352.968089099988,352.95144399999117,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
