"Onset","Duration","Participant","date_time","Running","Trial","Event","MoneyMagnitude","CardNumber","Feedback","Response","RT","Post_Trial"
160.085144199998,4.33612818441794,"IA6LI11","2022_Jan_05_1046","Practice",0,"Fixation",50,4,"loss",2,3.19844330000342,NA
164.411612700002,0.5,"IA6LI11","2022_Jan_05_1046","Practice",0,"Money",50,4,"loss",2,3.19844330000342,NA
164.911768599995,3.19844330000342,"IA6LI11","2022_Jan_05_1046","Practice",0,"Choice",50,4,"loss",2,3.19844330000342,NA
168.110211899999,0,"IA6LI11","2022_Jan_05_1046","Practice",0,"Response",50,4,"loss",2,3.19844330000342,NA
170.166071799991,1,"IA6LI11","2022_Jan_05_1046","Practice",0,"Feedback",50,4,"loss",2,3.19844330000342,NA
171.156693199999,2.67179856612173,"IA6LI11","2022_Jan_05_1046","Practice",1,"Fixation",0,7,"loss",4,1.99967160000233,"post_loss"
173.835786299998,0.5,"IA6LI11","2022_Jan_05_1046","Practice",1,"Money",0,7,"loss",4,1.99967160000233,"post_loss"
174.336323299998,1.99967160000233,"IA6LI11","2022_Jan_05_1046","Practice",1,"Choice",0,7,"loss",4,1.99967160000233,"post_loss"
176.335994900001,0,"IA6LI11","2022_Jan_05_1046","Practice",1,"Response",0,7,"loss",4,1.99967160000233,"post_loss"
178.339567099989,1,"IA6LI11","2022_Jan_05_1046","Practice",1,"Feedback",0,7,"loss",4,1.99967160000233,"post_loss"
179.347910600001,4.19364812022144,"IA6LI11","2022_Jan_05_1046","Practice",2,"Fixation",10,4,"loss",2,1.68130060000112,"post_break"
183.527266699995,0.5,"IA6LI11","2022_Jan_05_1046","Practice",2,"Money",10,4,"loss",2,1.68130060000112,"post_break"
184.027749299988,1.68130060000112,"IA6LI11","2022_Jan_05_1046","Practice",2,"Choice",10,4,"loss",2,1.68130060000112,"post_break"
185.70904989999,0,"IA6LI11","2022_Jan_05_1046","Practice",2,"Response",10,4,"loss",2,1.68130060000112,"post_break"
187.71401879999,1,"IA6LI11","2022_Jan_05_1046","Practice",2,"Feedback",10,4,"loss",2,1.68130060000112,"post_break"
188.724170499991,4.04855900931452,"IA6LI11","2022_Jan_05_1046","Practice",3,"Fixation",0,5,"loss",2,1.98762120000902,"post_break"
192.7514773,0.5,"IA6LI11","2022_Jan_05_1046","Practice",3,"Money",0,5,"loss",2,1.98762120000902,"post_break"
193.252116299991,1.98762120000902,"IA6LI11","2022_Jan_05_1046","Practice",3,"Choice",0,5,"loss",2,1.98762120000902,"post_break"
195.2397375,0,"IA6LI11","2022_Jan_05_1046","Practice",3,"Response",0,5,"loss",2,1.98762120000902,"post_break"
197.255284899991,1,"IA6LI11","2022_Jan_05_1046","Practice",3,"Feedback",0,5,"loss",2,1.98762120000902,"post_break"
198.259141999995,3.97886333229998,"IA6LI11","2022_Jan_05_1046","Practice",4,"Fixation",10,4,"reward",2,1.03939980000723,"post_break"
202.226187599998,0.5,"IA6LI11","2022_Jan_05_1046","Practice",4,"Money",10,4,"reward",2,1.03939980000723,"post_break"
202.726478899989,1.03939980000723,"IA6LI11","2022_Jan_05_1046","Practice",4,"Choice",10,4,"reward",2,1.03939980000723,"post_break"
203.765878699996,0,"IA6LI11","2022_Jan_05_1046","Practice",4,"Response",10,4,"reward",2,1.03939980000723,"post_break"
205.795725599994,1,"IA6LI11","2022_Jan_05_1046","Practice",4,"Feedback",10,4,"reward",2,1.03939980000723,"post_break"
206.798578199989,3.71694933953251,"IA6LI11","2022_Jan_05_1046","Practice",5,"Fixation",0,5,"reward",2,1.24720209999941,"post_reward"
210.499626499994,0.5,"IA6LI11","2022_Jan_05_1046","Practice",5,"Money",0,5,"reward",2,1.24720209999941,"post_reward"
211.000306599992,1.24720209999941,"IA6LI11","2022_Jan_05_1046","Practice",5,"Choice",0,5,"reward",2,1.24720209999941,"post_reward"
212.247508699991,0,"IA6LI11","2022_Jan_05_1046","Practice",5,"Response",0,5,"reward",2,1.24720209999941,"post_reward"
