values,cards,winlose,winlosecolor,MoneyTrigger,ChoiceTrigger,FeedbackTrigger,TrialPractice.thisRepN,TrialPractice.thisTrialN,TrialPractice.thisN,TrialPractice.thisIndex,Trial.thisRepN,Trial.thisTrialN,Trial.thisN,Trial.thisIndex,example2.started,example2.stopped,jitter,Fixation_prac.started,Fixation_prac.stopped,Money_prac.started,Money_prac.stopped,Choice_prac.started,Choice_prac.stopped,choice_prac.keys,choice_prac.rt,FeedbackSlide_prac.started,FeedbackSlide_prac.stopped,Fixation.started,Fixation.stopped,Money.started,Money.stopped,Choice.started,Choice.stopped,choice_resp.keys,choice_resp.rt,choice_resp.started,choice_resp.stopped,Square1.started,Square1.stopped,Square2.started,Square2.stopped,MoneyWon,FeedbackSlide.started,FeedbackSlide.stopped,square5.started,square5.stopped,square4.started,square4.stopped,Break_Text.started,Break_Text.stopped,Key_Response_Break.keys,Key_Response_Break.rt,text_2.started,text_2.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
0,7,x,#ed1c24,,,,0,0,0,1,,,,,83.3152932322264,None,4.020847995135348,99.89607550571236,103.91613451825106,103.91613451825106,104.4165760183896,104.4165760183896,None,2,3.8179715497135476,110.25525708959867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,4,x,#ed1c24,,,,0,1,1,4,,,,,,,2.6198147896660866,111.25611412785838,113.87500251598249,113.85832615002255,114.35874752230484,114.35874752230484,None,4,4.113581489373246,120.48062110478531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,3,o,#3ced1d,,,,0,2,2,8,,,,,,,2.692507570950468,121.48147814304502,124.18377198931739,124.15040933932505,124.65083829601645,124.65083829601645,None,4,2.76329787621944,129.4215636426743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,4,o,#3ced1d,,,,0,3,3,7,,,,,,,4.372177937868887,130.42241572189778,134.80947876146638,134.7761184451374,135.27654331791564,135.27654331791564,None,4,1.4813952979584428,138.76284222824142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,5,x,#ed1c24,,,,0,4,4,0,,,,,,,3.690848360962904,139.76369984991652,143.46685481835993,143.4334831254182,143.93390741478106,143.93390741478106,None,2,2.2558297125069657,148.20420759695298,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,5,o,#3ced1d,,,,0,5,5,5,,,,,,,3.2570165671782965,149.2050623015475,152.47450661229232,152.44114658767285,152.9415708770357,152.9415708770357,None,2,2.9469674760111957,157.89578875669577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,5,x,#ed1c24,,,,0,6,6,2,,,,,,,3.0295147842739993,158.89663996079435,161.9325562230806,161.89919240625568,162.39961757074343,162.39961757074343,None,2,2.8277125567183248,167.23706763397058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,4,o,#3ced1d,,,,0,7,7,6,,,,,,,2.855086228693507,168.23791942148455,171.10702418405526,171.07366474285118,171.5740919492946,171.5740919492946,None,4,2.1700958406800055,175.76098550648567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,8,o,#3ced1d,,,,0,8,8,9,,,,,,,3.0228446439984324,176.76184983744497,179.79775122262072,179.76439119800125,180.2648157790718,180.2648157790718,None,2,2.2091470894101803,184.48507286137828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,4,x,#ed1c24,,,,0,9,9,3,,,,,,,3.4926708846799723,185.48592698255743,188.98890692616988,188.95554281763725,189.45596885724808,189.45596885724808,None,4,1.3948125556980813,192.85886318454686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,4,x,#ed1c24,59,54,150,,,,,0,0,0,85,,,2.8423033026174327,,,,,,,,,,,202.61717314477391,205.46959074818733,205.43622926502758,205.9366555963461,205.9366555963461,None,4,0.9387844817156292,205.9366555963461,None,205.43622926502758,205.9366555963461,205.9366555963461,None,950,208.88918594492316,None,206.9041467758234,208.90584714206307,208.88918594492316,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
