values,cards,winlose,winlosecolor,MoneyTrigger,ChoiceTrigger,FeedbackTrigger,TrialPractice.thisRepN,TrialPractice.thisTrialN,TrialPractice.thisN,TrialPractice.thisIndex,Trial.thisRepN,Trial.thisTrialN,Trial.thisN,Trial.thisIndex,example2.started,example2.stopped,jitter,Fixation_prac.started,Fixation_prac.stopped,Money_prac.started,Money_prac.stopped,Choice_prac.started,Choice_prac.stopped,choice_prac.keys,choice_prac.rt,FeedbackSlide_prac.started,FeedbackSlide_prac.stopped,Fixation.started,Fixation.stopped,Money.started,Money.stopped,Choice.started,Choice.stopped,choice_resp.keys,choice_resp.rt,choice_resp.started,choice_resp.stopped,Square1.started,Square1.stopped,Square2.started,Square2.stopped,MoneyWon,FeedbackSlide.started,FeedbackSlide.stopped,square5.started,square5.stopped,square4.started,square4.stopped,Break_Text.started,Break_Text.stopped,Key_Response_Break.keys,Key_Response_Break.rt,text_2.started,text_2.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
10,4,o,#3ced1d,,,,0,0,0,6,,,,,124.41026517653154,None,3.261695700243741,165.41210441136354,168.6815822145254,168.64821782374565,169.14864751334244,169.14864751334244,None,4,4.8855406679485895,176.05495942890047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,5,x,#ed1c24,,,,0,1,1,2,,,,,,,2.9940864461396264,177.05582230862092,180.0583975290956,180.02503488857838,180.52548149738504,180.52548149738504,None,4,0.893604713575769,183.42795858644058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
0,5,o,#3ced1d,,,,0,2,2,5,,,,,,,2.557258913646152,184.42881796563415,186.99769052780903,186.96432992926566,187.46475816030943,187.46475816030943,None,2,1.057235646092522,190.5340642043193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
50,3,o,#3ced1d,,,,0,3,3,8,,,,,,,3.3100001593722093,191.53492766745876,194.8544384922534,194.83775877640255,195.33815958665764,195.33815958665764,None,2,0.7257433950908307,198.073872480496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,4,o,#3ced1d,,,,0,4,4,7,,,,,,,4.114465111906798,199.07473215139908,203.1949349718907,203.1615793324254,203.66200493807446,203.66200493807446,None,2,0.8088030067192449,206.4810924909034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,4,x,#ed1c24,,,,0,5,5,3,,,,,,,2.9243618569816534,207.48195974628106,210.4178108525648,210.3844444198112,210.8848665249334,210.8848665249334,None,2,0.6108421215994895,213.50379398702898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
0,5,x,#ed1c24,,,,0,6,6,0,,,,,,,3.2524185861040413,214.50465715845894,217.75744532761382,217.74076502834214,218.24120113557,218.24120113557,None,2,1.3543900683071115,221.61075373331005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
50,4,x,#ed1c24,,,,0,7,7,4,,,,,,,4.278968348182985,222.6116352825029,226.89862884387003,226.86526824532666,227.36569705979127,227.36569705979127,None,2,0.9578029063704889,230.3349131402756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
0,7,x,#ed1c24,,,,0,8,8,1,,,,,,,4.347985067457765,231.33577747854724,235.68951294844555,235.67283381601737,236.1732629221915,236.1732629221915,None,4,0.9561066096939612,239.14247958609667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
50,8,o,#3ced1d,,,,0,9,9,9,,,,,,,3.7078133960580653,240.14334392437013,243.8631997260254,243.82983883577072,244.33026648339364,244.33026648339364,None,4,0.46599647147013457,246.7990581250706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,4,x,#ed1c24,19,14,110,,,,,0,0,0,55,,,3.999928628116429,,,,,,,,,,,361.64770470494113,365.6511273444776,365.6177679127759,366.1181990609257,366.1181990609257,None,4,1.852519620450039,366.1181990609257,None,365.6177679127759,366.1181990609257,366.1181990609257,None,990,369.9882049768148,None,368.0031577663831,370.0048709822713,369.9882049768148,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,4,x,#ed1c24,19,14,110,,,,,0,1,1,54,,,3.641827483759559,,,,,,,,,,,371.0224162032355,374.6755446818843,374.64218349992007,375.1426126060942,375.1426126060942,None,2,1.017948656613953,375.1426126060942,None,374.64218349992007,375.1426126060942,375.1426126060942,None,980,378.16187600202466,None,376.17683550093716,378.1785647609013,378.16187600202466,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
50,5,o,#3ced1d,59,55,151,,,,,0,2,2,186,,,3.158415967340977,,,,,,,,,,,379.1960936460782,382.3654817774277,382.33212555454156,382.8325517436115,382.8325517436115,None,4,1.0079426940519625,382.8325517436115,None,382.33212555454156,382.8325517436115,382.8325517436115,None,1030,385.86849981447267,None,383.88346835640914,385.88517223756025,385.86849981447267,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,5,o,#3ced1d,19,15,111,,,,,0,3,3,136,,,3.1239476321912036,,,,,,,,,,,386.9026987890502,390.0387484918556,390.0053806005508,390.50580737304153,390.50580737304153,None,4,0.7955619744843716,390.50580737304153,None,390.0053806005508,390.50580737304153,390.50580737304153,None,1040,393.30817991304684,None,391.32316858301056,393.3248873413959,393.30817991304684,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,8,x,#ed1c24,19,18,210,,,,,0,4,4,237,,,4.081602053329103,,,,,,,,,,,394.3257580973004,398.41260702858926,398.3959194365543,398.8963359991776,398.8963359991776,None,4,1.4279057868370728,398.8963359991776,None,398.3959194365543,398.8963359991776,398.8963359991776,None,1030,402.3493020534079,None,400.3642802217928,402.36598351952125,402.3493020534079,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
50,4,o,#3ced1d,59,54,151,,,,,0,5,5,72,,,4.158940629465383,,,,,,,,,,,403.38353282443495,407.553780918397,407.5371286233367,408.03753351753767,408.03753351753767,None,2,1.2456167577201995,408.03753351753767,None,407.5371286233367,408.03753351753767,408.03753351753767,None,1080,411.3070040279381,None,409.32197869579613,411.3236849106306,411.3070040279381,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,5,x,#ed1c24,19,15,110,,,,,0,6,6,154,,,3.8485860654550397,,,,,,,,,,,412.34122838133226,416.194554289661,416.1778550292056,416.6782888027501,416.6782888027501,None,4,1.6767369027802488,416.6782888027501,None,416.1778550292056,416.6782888027501,416.6782888027501,None,1070,420.3814651802659,None,418.3964357641762,420.3981460629584,420.3814651802659,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,5,x,#ed1c24,19,15,110,,,,,0,7,7,169,,,2.953724842935922,,,,,,,,,,,421.41568428287064,424.38490386388,424.35154034823245,424.8519630367755,424.8519630367755,None,4,1.015971442706359,424.8519630367755,None,424.35154034823245,424.8519630367755,424.8519630367755,None,1060,427.8712299332328,None,425.8861943912234,427.8879143164522,427.8712299332328,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,5,x,#ed1c24,19,15,110,,,,,0,8,8,158,,,3.5832922572917325,,,,,,,,,,,428.8887643609087,432.47518389431207,432.4585009696457,432.9589414525308,432.9589414525308,None,4,0.7668602846624708,432.9589414525308,None,432.4585009696457,432.9589414525308,432.9589414525308,None,1050,435.7279781893867,None,433.74294352250945,435.7446611140531,435.7279781893867,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
50,3,o,#3ced1d,59,53,251,,,,,0,9,9,216,,,2.8080955721841923,,,,,,,,,,,436.7455219517997,439.56460483726005,439.5312524066121,440.03167363660214,440.03167363660214,None,2,1.3300573269516462,440.03167363660214,None,439.5312524066121,440.03167363660214,440.03167363660214,None,1100,443.3845523527034,None,441.39952176977204,443.4012329436864,443.3845523527034,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,5,o,#3ced1d,19,15,111,,,,,0,10,10,145,,,3.972202231452153,,,,,,,,,,,444.4188178372806,448.4055318816263,448.3721692411091,448.8725992224154,448.8725992224154,None,2,1.0580223893666698,448.8725992224154,None,448.3721692411091,448.8725992224154,448.8725992224154,None,1110,451.9419011824775,None,449.95686797415146,451.9585838154326,451.9419011824775,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
50,5,x,#ed1c24,59,55,150,,,,,0,11,11,188,,,2.8993878956711594,,,,,,,,,,,452.95946273923073,455.861933994076,455.84525748704255,456.34568221755944,456.34568221755944,None,2,0.7048472953756573,456.34568221755944,None,455.84525748704255,456.34568221755944,456.34568221755944,None,1060,459.0813650652144,None,457.0963403164933,459.09804623961827,459.0813650652144,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
0,4,o,#3ced1d,9,4,101,,,,,0,12,12,6,,,4.478609315954101,,,,,,,,,,,460.11559321084496,464.6027769091288,464.5860934010416,465.0865236740592,465.0865236740592,None,2,1.162857899638766,465.0865236740592,None,464.5860934010416,465.0865236740592,465.0865236740592,None,1060,468.2725915212577,None,466.2875551041161,468.2892756127676,468.2725915212577,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
0,5,x,#ed1c24,9,5,100,,,,,0,13,13,126,,,4.41225906598619,,,,,,,,,,,469.27345440097815,473.69391690217344,473.67723368579755,474.17766337539433,474.17766337539433,None,2,0.8136372334629414,474.17766337539433,None,473.67723368579755,474.17766337539433,474.17766337539433,None,1060,477.0134329777575,None,475.0283971440367,477.03011444387084,477.0134329777575,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
10,8,x,#ed1c24,19,18,210,,,,,0,14,14,238,,,4.0665661531810375,,,,,,,,,,,478.01429614918743,482.0844554464693,482.0677736886446,482.5682051285039,482.5682051285039,None,4,0.7889836105368886,482.5682051285039,None,482.0677736886446,482.5682051285039,482.5682051285039,None,1050,485.3706141323237,None,483.3855736312362,485.3872923896215,485.3706141323237,None,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1002,Gambling,2020.1.3,59.96553961966104,
