Instruction_Condition,MarkCondition,Type,Letter,CorrectResponse,Condition,RandomizeBlocks.thisRepN,RandomizeBlocks.thisTrialN,RandomizeBlocks.thisN,RandomizeBlocks.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Target_Mapping,Fixation_practice.started,Fixation_practice.stopped,Target_practice.started,Target_practice.stopped,Target_resp_practice.keys,Target_resp_practice.corr,Target_resp_practice.rt,Target_resp_practice.started,Target_resp_practice.stopped,ITI_resp_practice.started,ITI_resp_practice.stopped,ITI_Duration,ITI.started,ITI.stopped,square2.started,square2.stopped,Instr_Repe.started,Instr_Repe.stopped,Trigger_Target,TriggerResp,Fixation.started,Fixation.stopped,Target.started,Target.stopped,Target_resp.keys,Target_resp.corr,Target_resp.rt,Target_resp.started,Target_resp.stopped,ITI_resp.started,ITI_resp.stopped,square1.started,square1.stopped,showReminder,ReminderErrors.started,ReminderErrors.stopped,ReminderErrorsResp.keys,ReminderErrorsResp.started,ReminderErrorsResp.stopped,break_block.started,break_block.stopped,break_block_resp.keys,break_block_resp.rt,SelfReport.started,SelfReport.stopped,anxious.response,anxious.rt,peppy.response,peppy.rt,peeved.response,peeved.rt,happy.response,happy.rt,tired.response,tired.rt,relaxed.response,relaxed.rt,sad.response,sad.rt,calm.response,calm.rt,exhausted.response,exhausted.rt,irritated.response,irritated.rt,break_cond.started,break_cond.stopped,break_cond_resp.keys,break_cond_resp.rt,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,0,0,0,2,,,,,square,56.17413769999985,56.6779832000002,56.66140350000023,56.76139669999975,4,0,0.3458223999996335,56.66140350000023,None,56.76139669999975,None,1,57.042617600000085,None,57.042617600000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,0,1,1,1,,,,,,58.059305400000085,58.56132840000009,58.54475189999994,58.644734499999686,4,1,0.3295914000000266,58.54475189999994,None,58.644734499999686,None,1,58.894847100000334,None,58.894847100000334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,0,2,2,1,,,,,,59.89472260000002,60.39454230000047,60.37797539999974,60.478038899999774,4,1,0.36541639999995823,60.37797539999974,None,60.478038899999774,None,1,60.76175239999975,None,60.76175239999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,1,0,3,0,,,,,,61.7611437000005,62.26123170000028,62.24474579999969,62.34470070000043,4,1,0.337519899999279,62.24474579999969,None,62.34470070000043,None,1,62.610193399999844,None,62.610193399999844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,1,1,4,1,,,,,,63.611260100000436,64.11043570000038,64.09374430000025,64.19462550000026,4,1,0.3979231000002983,64.09374430000025,None,64.19462550000026,None,1,64.51192319999973,None,64.51192319999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,1,2,5,0,,,,,,65.51121130000047,66.01137569999992,65.99474569999984,66.09475829999974,4,1,0.33661709999978484,65.99474569999984,None,66.09475829999974,None,1,66.3603675000004,None,66.3603675000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,2,0,6,2,,,,,,67.36104560000058,67.86120949999986,67.84472430000005,67.9447339999997,None,1,,67.84472430000005,None,67.9447339999997,None,0.9,68.5443307000005,None,68.5443307000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,2,1,7,0,,,,,,69.44440860000032,69.9447067000001,69.92802250000022,70.02805910000006,4,1,0.3073478999995132,69.92802250000022,None,70.02805910000006,None,1,70.2610493000002,None,70.2610493000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,2,2,8,1,,,,,,71.26124400000026,71.76126440000007,71.74481939999987,71.84472939999978,4,1,0.3254598999992595,71.74481939999987,None,71.84472939999978,None,1,72.09517599999981,None,72.09517599999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,3,0,9,1,,,,,,73.09462260000055,73.59466640000028,73.57800360000056,73.67802639999991,4,1,0.358186299999943,73.57800360000056,None,73.67802639999991,None,1,73.96217909999996,None,73.96217909999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,3,1,10,2,,,,,,74.96065799999997,75.46094549999998,75.44434470000033,75.54470459999993,None,1,,75.44434470000033,None,75.54470459999993,None,0.9,76.1445106000001,None,76.1445106000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,3,2,11,0,,,,,,77.04425189999984,77.54462270000022,77.52809679999973,77.6280311999999,4,1,0.3071092000000135,77.52809679999973,None,77.6280311999999,None,1,77.86204550000002,None,77.86204550000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,4,0,12,0,,,,,,78.86124680000012,79.3612321999999,79.34471070000018,79.44468299999971,4,1,0.3485251000001881,79.34471070000018,None,79.44468299999971,None,1,79.71185760000026,None,79.71185760000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,4,1,13,2,,,,,,80.71084229999997,81.21129280000059,81.19460340000023,81.29462059999969,None,1,,81.19460340000023,None,81.29462059999969,None,0.9,81.89433830000053,None,81.89433830000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,4,2,14,2,,,,,,82.79444969999986,83.29466020000018,83.27807130000019,83.37793590000001,None,1,,83.27807130000019,None,83.37793590000001,None,0.9,83.97768309999992,None,83.97768309999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,1,94.13080570000056,None,94.13080570000056,None,84.90441550000014,None,201,211,93.13891039999999,93.64456070000051,93.62805310000022,93.7280467999999,4,1,0.46911999999974796,93.62805310000022,None,93.7280467999999,None,93.62805310000022,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,0,1,1,0,,,,,,,,,,,,,1,96.06401679999999,None,96.06401679999999,None,,,201,211,95.15499610000006,95.66128759999992,95.64456340000015,95.74381559999983,4,1,0.3886099000001195,95.64456340000015,None,95.74381559999983,None,95.64456340000015,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,0,2,2,0,,,,,,,,,,,,,1,97.9482466999998,None,97.9482466999998,None,,,201,211,97.0924630999998,97.59456190000037,97.57800049999969,97.67802440000014,4,1,0.35018659999968804,97.57800049999969,None,97.67802440000014,None,97.57800049999969,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG4EN28,1,0x5FB8,D:\CoScience\Logfiles\,2022_May_27_1010,GoNoGo,2020.1.3,59.95732237796686,
