Instruction_Condition,MarkCondition,Type,Letter,CorrectResponse,Condition,RandomizeBlocks.thisRepN,RandomizeBlocks.thisTrialN,RandomizeBlocks.thisN,RandomizeBlocks.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Target_Mapping,Fixation_practice.started,Fixation_practice.stopped,Target_practice.started,Target_practice.stopped,Target_resp_practice.keys,Target_resp_practice.corr,Target_resp_practice.rt,Target_resp_practice.started,Target_resp_practice.stopped,ITI_resp_practice.started,ITI_resp_practice.stopped,ITI_Duration,ITI.started,ITI.stopped,square2.started,square2.stopped,Instr_Repe.started,Instr_Repe.stopped,Trigger_Target,TriggerResp,Fixation.started,Fixation.stopped,Target.started,Target.stopped,Target_resp.keys,Target_resp.corr,Target_resp.rt,Target_resp.started,Target_resp.stopped,ITI_resp.started,ITI_resp.stopped,square1.started,square1.stopped,showReminder,ReminderErrors.started,ReminderErrors.stopped,ReminderErrorsResp.keys,ReminderErrorsResp.started,ReminderErrorsResp.stopped,break_block.started,break_block.stopped,break_block_resp.keys,break_block_resp.rt,SelfReport.started,SelfReport.stopped,anxious.response,anxious.rt,peppy.response,peppy.rt,peeved.response,peeved.rt,happy.response,happy.rt,tired.response,tired.rt,relaxed.response,relaxed.rt,sad.response,sad.rt,calm.response,calm.rt,exhausted.response,exhausted.rt,irritated.response,irritated.rt,break_cond.started,break_cond.stopped,break_cond_resp.keys,break_cond_resp.rt,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,0,0,0,1,,,,,circle,63.34555209999962,63.84863779999978,63.83217909999985,63.932148199999574,4,1,0.6175677000001087,63.83217909999985,None,63.932148199999574,None,0.9824322999998912,64.46649289999914,None,64.46649289999914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,0,1,1,0,,,,,,65.44823079999969,65.94875579999916,65.93234229999962,66.03220169999986,4,1,0.4724223000002894,65.93234229999962,None,66.03220169999986,None,1,66.43229569999949,None,66.43229569999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,0,2,2,2,,,,,,67.43263789999946,67.93218329999945,67.93218329999945,68.0318002999993,None,1,,67.93218329999945,None,68.0318002999993,None,0.9,68.63154889999987,None,68.63154889999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,0,3,1,,,,,,69.53165439999975,70.03210249999938,70.01551469999958,70.11543289999918,4,1,0.4523922999997012,70.01551469999958,None,70.11543289999918,None,1,70.49871099999928,None,70.49871099999928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,1,4,0,,,,,,71.49870349999946,71.99878079999962,71.98210209999979,72.08208389999982,4,1,0.5146351000003051,71.98210209999979,None,72.08208389999982,None,1,72.51590509999915,None,72.51590509999915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,2,5,1,,,,,,73.51518269999997,74.01544659999945,73.99885919999997,74.09879379999984,4,1,0.4609854999998788,73.99885919999997,None,74.09879379999984,None,1,74.48259869999947,None,74.48259869999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,2,0,6,0,,,,,,75.48172119999981,75.98216749999938,75.96550829999978,76.06554269999924,4,1,0.4053853000004892,75.96550829999978,None,76.06554269999924,None,1,76.39950769999996,None,76.39950769999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,2,1,7,1,,,,,,77.39850419999948,77.89879589999964,77.88225689999945,77.98218519999955,4,1,0.47747119999985443,77.88225689999945,None,77.98218519999955,None,1,78.38272379999944,None,78.38272379999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,2,2,8,1,,,,,,79.38192329999947,79.88203109999995,79.86551099999997,79.96551369999997,4,1,0.48332900000059453,79.86551099999997,None,79.96551369999997,None,1,80.36568279999938,None,80.36568279999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,3,0,9,2,,,,,,81.36485599999924,81.86529949999931,81.84845719999976,81.94886929999939,None,1,,81.84845719999976,None,81.94886929999939,None,0.9,82.54828539999926,None,82.54828539999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AG05AS29,1,0x5FB8,D:\CoScience\Logfiles\,2022_Mar_17_1032,GoNoGo,2020.1.3,59.965088325560025,
