Instruction_Condition,MarkCondition,Type,Letter,CorrectResponse,Condition,RandomizeBlocks.thisRepN,RandomizeBlocks.thisTrialN,RandomizeBlocks.thisN,RandomizeBlocks.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Target_Mapping,Fixation_practice.started,Fixation_practice.stopped,Target_practice.started,Target_practice.stopped,Target_resp_practice.keys,Target_resp_practice.corr,Target_resp_practice.started,Target_resp_practice.stopped,ITI_resp_practice.started,ITI_resp_practice.stopped,ITI_Duration,ITI.started,ITI.stopped,square2.started,square2.stopped,Target_resp_practice.rt,Instr_Repe.started,Instr_Repe.stopped,Trigger_Target,TriggerResp,Fixation.started,Fixation.stopped,Target.started,Target.stopped,Target_resp.keys,Target_resp.corr,Target_resp.rt,Target_resp.started,Target_resp.stopped,ITI_resp.started,ITI_resp.stopped,square1.started,square1.stopped,showReminder,ReminderErrors.started,ReminderErrors.stopped,ReminderErrorsResp.keys,ReminderErrorsResp.started,ReminderErrorsResp.stopped,break_block.started,break_block.stopped,break_block_resp.keys,break_block_resp.rt,SelfReport.started,SelfReport.stopped,anxious.response,anxious.rt,peppy.response,peppy.rt,peeved.response,peeved.rt,happy.response,happy.rt,tired.response,tired.rt,relaxed.response,relaxed.rt,sad.response,sad.rt,calm.response,calm.rt,exhausted.response,exhausted.rt,irritated.response,irritated.rt,break_cond.started,break_cond.stopped,break_cond_resp.keys,break_cond_resp.rt,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,0,0,0,1,,,,,circle,400.53859895539426,401.0390474565247,401.0390474565247,401.13910215178475,None,0,401.0390474565247,None,401.13910215178475,None,0.9,401.73961497454,None,401.73961497454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,0,1,1,0,,,,,,402.64038260428424,403.14081039414305,403.1241491969995,403.22421147667046,4,1,403.1241491969995,None,403.22421147667046,None,1,403.32429738469364,None,403.32429738469364,None,0.1809182094366406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,0,2,2,1,,,,,,404.3251876776703,404.8255769620664,404.80889417852813,404.90898212850516,None,0,404.80889417852813,None,404.90898212850516,None,0.9,405.5094917424758,None,405.5094917424758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,1,0,3,2,,,,,,406.41026724833137,406.9106877454906,406.8940020448754,406.99408678606414,None,1,406.8940020448754,None,406.99408678606414,None,0.9,407.5945999005271,None,407.5945999005271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,1,4,1,,,,,,408.49537044734825,408.9961704566849,408.97949146535393,409.0795744562929,4,1,408.97949146535393,None,409.0795744562929,None,1,409.14629800603143,None,409.14629800603143,None,0.14445586967849522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,2,5,0,,,,,,410.14715329404135,410.6475764165698,410.63089567499264,410.7309809995968,None,0,410.63089567499264,None,410.7309809995968,None,0.9,411.3314932389367,None,411.3314932389367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,2,0,6,2,,,,,,412.23226116038495,412.7326851580401,412.71600295792086,412.8160900327748,4,0,412.71600295792086,None,412.8160900327748,None,1,412.91617506567127,None,412.91617506567127,None,0.1808578258714988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,2,1,7,2,,,,,,413.9170274366006,414.41745230937886,414.4007715678017,414.50085747582125,4,0,414.4007715678017,None,414.50085747582125,None,1,414.6009524267938,None,414.6009524267938,None,0.17606564598099794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,2,2,8,0,,,,,,415.60179458793937,416.1022209192597,416.08553930255584,416.1856249188677,4,1,416.08553930255584,None,416.1856249188677,None,1,416.2857096600601,None,416.2857096600601,None,0.17125158798444318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,3,0,9,0,,,,,,417.2865629061125,417.7869871954754,417.7703067456023,417.87039119508336,None,0,417.7703067456023,None,417.87039119508336,None,0.9,418.4709034344269,None,418.4709034344269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH17AR05b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2021_Oct_12_1635,GoNoGo,2020.1.3,59.95115535989248,
