Instruction_Condition,MarkCondition,Type,Letter,CorrectResponse,Condition,RandomizeBlocks.thisRepN,RandomizeBlocks.thisTrialN,RandomizeBlocks.thisN,RandomizeBlocks.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Target_Mapping,Fixation_practice.started,Fixation_practice.stopped,Target_practice.started,Target_practice.stopped,Target_resp_practice.keys,Target_resp_practice.corr,Target_resp_practice.rt,Target_resp_practice.started,Target_resp_practice.stopped,ITI_resp_practice.started,ITI_resp_practice.stopped,ITI_Duration,ITI.started,ITI.stopped,square2.started,square2.stopped,Instr_Repe.started,Instr_Repe.stopped,Trigger_Target,TriggerResp,Fixation.started,Fixation.stopped,Target.started,Target.stopped,Target_resp.keys,Target_resp.corr,Target_resp.rt,Target_resp.started,Target_resp.stopped,ITI_resp.started,ITI_resp.stopped,square1.started,square1.stopped,showReminder,ReminderErrors.started,ReminderErrors.stopped,ReminderErrorsResp.keys,ReminderErrorsResp.started,ReminderErrorsResp.stopped,break_block.started,break_block.stopped,break_block_resp.keys,break_block_resp.rt,SelfReport.started,SelfReport.stopped,anxious.response,anxious.rt,peppy.response,peppy.rt,peeved.response,peeved.rt,happy.response,happy.rt,tired.response,tired.rt,relaxed.response,relaxed.rt,sad.response,sad.rt,calm.response,calm.rt,exhausted.response,exhausted.rt,irritated.response,irritated.rt,break_cond.started,break_cond.stopped,break_cond_resp.keys,break_cond_resp.rt,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,0,0,0,1,,,,,circle,74.39219955127919,74.8921559809778,74.87545123258496,74.97544384838147,4,1,0.30622747336747125,74.87545123258496,None,74.97544384838147,None,1,75.2087230892148,None,75.2087230892148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,0,1,1,0,,,,,,76.2087230892148,76.7087481115168,76.69207625957551,76.79207622457943,None,0,,76.69207625957551,None,76.79207622457943,None,0.9,77.39202422018843,None,77.39202422018843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,0,2,2,2,,,,,,78.29214569208762,78.79214971665351,78.77548031444803,78.87548272918775,None,1,,78.77548031444803,None,78.87548272918775,None,0.9,79.47534778374211,None,79.47534778374211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,1,0,3,0,,,,,,80.37542341058543,80.87540993703897,80.85875628313534,None,4,1,0.048897426412622735,80.85875628313534,None,None,None,1,80.92544929029464,None,80.92544929029464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,1,1,4,2,,,,,,81.9254044951258,82.4254830616519,82.40877026412727,82.50878212784755,4,0,0.14583347185998718,82.40877026412727,None,82.50878212784755,None,1,82.57534984851918,None,82.57534984851918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,1,2,5,1,,,,,,83.57546148647907,84.07545641202614,84.05876776189689,None,4,1,0.04583175704556197,84.05876776189689,None,None,None,1,84.12545796935865,None,84.12545796935865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,2,0,6,0,,,,,,85.12544957026421,85.62541019951004,85.60874149722986,None,4,1,0.023809682125829568,85.60874149722986,None,None,None,1,85.65881584671115,None,85.65881584671115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,2,1,7,0,,,,,,86.65874410444849,87.15878172539124,87.14211057337525,87.24201394879583,4,1,0.15448068925797998,87.14211057337525,None,87.24201394879583,None,1,87.32537110872636,None,87.32537110872636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,2,2,8,2,,,,,,88.32543165219704,88.82546087404535,88.80879427153832,88.908742092166,4,0,0.08677244159207476,88.80879427153832,None,88.908742092166,None,1,88.92540379520142,None,88.92540379520142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,3,0,9,0,,,,,,89.92549058584063,90.42545086512473,90.40877201393869,90.508767079471,4,1,0.14973905064289283,90.40877201393869,None,90.508767079471,None,1,90.57539464368801,None,90.57539464368801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahsaer12,1,0x0378,C:\Users\admin\Desktop\FINALTasksLogfiles\,2021_Jun_11_1201,GoNoGo,2020.1.3,59.99657756446725,
