"Onset","Duration","Participant","date_time","Target_Mapping","Order_Instruction","Running","Trial","Event","Type","InstructionCondition","Accuracy","RT","Post_Trial","TaskPerf"
74.3921995512792,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",0,"Fixation","Go","speed_accuracy",1,0.306227473367471,NA,84.5238095238095
74.875451232585,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",0,"Target","Go","speed_accuracy",1,0.306227473367471,NA,84.5238095238095
74.9754438483815,1.20622747336747,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",0,"ITI","Go","speed_accuracy",1,0.306227473367471,NA,84.5238095238095
75.1816787059525,0,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",0,"Response","Go","speed_accuracy",1,0.306227473367471,NA,84.5238095238095
76.2087230892148,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",1,"Fixation","Go","speed_accuracy",0,NA,"post_correct_resp",84.5238095238095
76.6920762595755,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",1,"Target","Go","speed_accuracy",0,NA,"post_correct_resp",84.5238095238095
76.7920762245794,1.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",1,"ITI","Go","speed_accuracy",0,NA,"post_correct_resp",84.5238095238095
78.2921456920876,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",2,"Fixation","NoGo","speed_accuracy",1,NA,"post_error_inh",84.5238095238095
78.775480314448,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",2,"Target","NoGo","speed_accuracy",1,NA,"post_error_inh",84.5238095238095
78.8754827291878,1.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",2,"ITI","NoGo","speed_accuracy",1,NA,"post_error_inh",84.5238095238095
80.3754234105854,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",3,"Fixation","Go","speed_accuracy",1,0.0488974264126227,"post_correct_inh",84.5238095238095
80.8587562831353,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",3,"Target","Go","speed_accuracy",1,0.0488974264126227,"post_correct_inh",84.5238095238095
80.9076537095479,0,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",3,"Response","Go","speed_accuracy",1,0.0488974264126227,"post_correct_inh",84.5238095238095
81.9254044951258,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",4,"Fixation","NoGo","speed_accuracy",0,0.145833471859987,"post_correct_resp",84.5238095238095
82.4087702641273,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",4,"Target","NoGo","speed_accuracy",0,0.145833471859987,"post_correct_resp",84.5238095238095
82.5087821278476,1.04583347185999,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",4,"ITI","NoGo","speed_accuracy",0,0.145833471859987,"post_correct_resp",84.5238095238095
82.5546037359873,0,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",4,"Response","NoGo","speed_accuracy",0,0.145833471859987,"post_correct_resp",84.5238095238095
83.5754614864791,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",5,"Fixation","Go","speed_accuracy",1,0.045831757045562,"post_error_resp",84.5238095238095
84.0587677618969,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",5,"Target","Go","speed_accuracy",1,0.045831757045562,"post_error_resp",84.5238095238095
84.1045995189425,0,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",5,"Response","Go","speed_accuracy",1,0.045831757045562,"post_error_resp",84.5238095238095
85.1254495702642,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",6,"Fixation","Go","speed_accuracy",1,0.0238096821258296,"post_correct_resp",84.5238095238095
85.6087414972299,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",6,"Target","Go","speed_accuracy",1,0.0238096821258296,"post_correct_resp",84.5238095238095
85.6325511793557,0,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",6,"Response","Go","speed_accuracy",1,0.0238096821258296,"post_correct_resp",84.5238095238095
86.6587441044485,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",7,"Fixation","Go","speed_accuracy",1,0.15448068925798,"post_correct_resp",84.5238095238095
87.1421105733752,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",7,"Target","Go","speed_accuracy",1,0.15448068925798,"post_correct_resp",84.5238095238095
87.2420139487958,1.05448068925798,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",7,"ITI","Go","speed_accuracy",1,0.15448068925798,"post_correct_resp",84.5238095238095
87.2965912626332,0,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",7,"Response","Go","speed_accuracy",1,0.15448068925798,"post_correct_resp",84.5238095238095
88.325431652197,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",8,"Fixation","NoGo","speed_accuracy",0,0.0867724415920748,"post_correct_resp",84.5238095238095
88.8087942715383,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",8,"Target","NoGo","speed_accuracy",0,0.0867724415920748,"post_correct_resp",84.5238095238095
88.8955667131304,0,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",8,"Response","NoGo","speed_accuracy",0,0.0867724415920748,"post_correct_resp",84.5238095238095
88.908742092166,1.08677244159207,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",8,"ITI","NoGo","speed_accuracy",0,0.0867724415920748,"post_correct_resp",84.5238095238095
89.9254905858406,0.5,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",9,"Fixation","Go","speed_accuracy",1,0.149739050642893,"post_error_resp",84.5238095238095
90.4087720139387,0.1,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",9,"Target","Go","speed_accuracy",1,0.149739050642893,"post_error_resp",84.5238095238095
90.508767079471,1.04973905064289,"ahsaer12","2021_Jun_11_1201","circle","speed_accuracy_first","Practice",9,"ITI","Go","speed_accuracy",1,0.149739050642893,"post_error_resp",84.5238095238095
