Instruction_Condition,MarkCondition,Type,Letter,CorrectResponse,Condition,RandomizeBlocks.thisRepN,RandomizeBlocks.thisTrialN,RandomizeBlocks.thisN,RandomizeBlocks.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Target_Mapping,Fixation_practice.started,Fixation_practice.stopped,Target_practice.started,Target_practice.stopped,Target_resp_practice.keys,Target_resp_practice.corr,Target_resp_practice.started,Target_resp_practice.stopped,ITI_resp_practice.started,ITI_resp_practice.stopped,ITI_Duration,ITI.started,ITI.stopped,square2.started,square2.stopped,Target_resp_practice.rt,Instr_Repe.started,Instr_Repe.stopped,Trigger_Target,TriggerResp,Fixation.started,Fixation.stopped,Target.started,Target.stopped,Target_resp.keys,Target_resp.corr,Target_resp.started,Target_resp.stopped,ITI_resp.started,ITI_resp.stopped,square1.started,square1.stopped,showReminder,ReminderErrors.started,ReminderErrors.stopped,ReminderErrorsResp.keys,ReminderErrorsResp.started,ReminderErrorsResp.stopped,break_block.started,break_block.stopped,break_block_resp.keys,Target_resp.rt,break_block_resp.rt,SelfReport.started,SelfReport.stopped,anxious.response,anxious.rt,peppy.response,peppy.rt,peeved.response,peeved.rt,happy.response,happy.rt,tired.response,tired.rt,relaxed.response,relaxed.rt,sad.response,sad.rt,calm.response,calm.rt,exhausted.response,exhausted.rt,irritated.response,irritated.rt,break_cond.started,break_cond.stopped,break_cond_resp.keys,break_cond_resp.rt,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,0,0,0,1,,,,,circle,116.65026388133629,117.150662357908,117.13398147521548,117.23406589623846,None,0,117.13398147521548,None,117.23406589623846,None,0.9,117.80118907042379,None,117.80118907042379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,0,1,1,1,,,,,,118.70199465819678,119.20242522292392,119.18574258996887,119.28583021980921,4,1,119.18574258996887,None,119.28583021980921,None,0.9592441313667223,119.8530044433337,None,119.8530044433337,None,0.6407558686332777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,0,2,2,2,,,,,,120.82048397109065,121.32090957673972,121.30422840233587,121.40431428191368,None,1,121.30422840233587,None,121.40431428191368,None,0.9,122.00483130963948,None,122.00483130963948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,0,3,1,,,,,,122.90560539267608,123.40603449885202,123.38935274102914,123.4894380371843,4,1,123.38935274102914,None,123.4894380371843,None,1,123.68962554870632,None,123.68962554870632,None,0.2691012048799166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,1,4,1,,,,,,124.69085102460303,125.19128013077898,125.17460974966525,125.27469271213704,4,1,125.17460974966525,None,125.27469271213704,None,1,125.47485805365977,None,125.47485805365977,None,0.2728336409909389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,1,2,5,0,,,,,,126.47574397851167,126.97614566389711,126.95946507291592,127.05955036907108,4,1,126.95946507291592,None,127.05955036907108,None,1,127.35980946635573,None,127.35980946635573,None,0.3789380920261465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,2,0,6,2,,,,,,128.3606703041023,128.86109853514608,128.84441852758573,128.94450615742608,None,1,128.84441852758573,None,128.94450615742608,None,0.9,129.54502376857272,None,129.54502376857272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,2,1,7,2,,,,,,130.44579435108426,130.94622549923224,130.92954228285635,131.02962670388115,None,1,130.92954228285635,None,131.02962670388115,None,0.9,131.63014343989744,None,131.63014343989744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,2,2,8,0,,,,,,132.5309169395132,133.0313469208195,133.01466545470612,133.11475016744225,4,1,133.01466545470612,None,133.11475016744225,None,1,133.2482001460885,None,133.2482001460885,None,0.20366936829486804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,3,0,9,1,,,,,,134.24906040041242,134.74948921487885,134.73280833218632,134.83289362834148,4,1,134.73280833218632,None,134.83289362834148,None,1,134.96634302356688,None,134.96634302356688,None,0.21550960661079444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,3,1,10,2,,,,,,135.96722223907636,136.46763471775193,136.45094916769085,136.5510356306895,None,1,136.45094916769085,None,136.5510356306895,None,0.9,137.15155207499447,None,137.15155207499447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,3,2,11,0,,,,,,138.05234949487385,138.55275613933918,138.53607379809364,138.63616084451314,4,1,138.53607379809364,None,138.63616084451314,None,1,138.76962219987035,None,138.76962219987035,None,0.21118908209246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,4,0,12,0,,,,,,139.7704707857738,140.27090222563493,140.2542163838625,140.35430576396539,4,1,140.2542163838625,None,140.35430576396539,None,1,140.57115578041885,None,140.57115578041885,None,0.2910255841798062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,0,0,0,0,0,4,1,13,0,,,,,,141.57201545132193,142.07244834973426,142.05576279967318,142.15584955438317,4,1,142.05576279967318,None,142.15584955438317,None,1,142.30597808203856,None,142.30597808203856,None,0.21944944889946782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,0,0,0,0,0,4,2,14,2,,,,,,143.30683862807382,143.80726860938012,143.7906075630035,143.89067681508095,None,1,143.7906075630035,None,143.89067681508095,None,0.9,144.4911929676764,None,144.4911929676764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,2,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,0.9,156.8017794925163,None,156.8017794925163,None,,145.42532969123022,None,102,0,155.63409786771263,156.13452230652,156.10115995771412,156.2012627565,None,1,156.10115995771412,None,156.2012627565,None,156.10115995771412,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,1,158.4870019626287,None,158.4870019626287,None,,,,101,111,157.71921228824613,158.21964897889666,158.20296809620413,158.30305047525508,4,1,158.20296809620413,None,158.30305047525508,None,158.20296809620413,None,False,None,None,None,None,None,None,None,None,0.2370506782863231,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,1,160.2718890823253,None,160.2718890823253,None,,,,101,111,159.48740102261945,159.9878327541901,159.97115128807673,160.07123833449623,4,1,159.97115128807673,None,160.07123833449623,None,159.97115128807673,None,False,None,None,None,None,None,None,None,None,0.26583112994740077,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,1,0,3,0,,,,,,,,,,,,1,162.09011492227546,None,162.09011492227546,None,,,,101,111,161.2722691811323,161.77270587178282,161.75601827974788,161.85610328419352,4,1,161.75601827974788,None,161.85610328419352,None,161.75601827974788,None,False,None,None,None,None,None,None,None,None,0.291944472319301,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,1,1,4,1,,,,,,,,,,,,1,163.82491184508035,None,163.82491184508035,None,,,,101,111,163.09049706305814,163.59092558581324,163.5742458699624,163.67432999927587,4,1,163.5742458699624,None,163.67432999927587,None,163.5742458699624,None,False,None,None,None,None,None,None,None,None,0.20970165014841768,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,NoGo,nogo,None,2,0,0,0,0,,,,,1,2,5,2,,,,,,,,,,,,1,165.55976419288345,None,165.55976419288345,None,,,,102,120,164.82532199007255,165.3257656817732,165.30906875500295,165.4091566765528,4,0,165.30906875500295,None,165.4091566765528,None,165.30906875500295,None,False,None,None,None,None,None,None,None,None,0.2048548798502452,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,2,0,6,1,,,,,,,,,,,,1,167.2779038615463,None,167.2779038615463,None,,,,101,111,166.5601437082696,167.0605722310247,167.04389105662085,167.14397810304035,4,1,167.04389105662085,None,167.14397810304035,None,167.04389105662085,None,False,None,None,None,None,None,None,None,None,0.19000331383176672,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,2,1,7,1,,,,,,,,,,,,1,169.0627702697966,None,169.0627702697966,None,,,,101,111,168.2782877525915,168.7787191924508,168.76203510094274,168.86212185565273,4,1,168.76203510094274,None,168.86212185565273,None,168.76203510094274,None,False,None,None,None,None,None,None,None,None,0.25283455112730735,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,2,2,8,0,,,,,,,,,,,,1,170.99776753938568,None,170.99776753938568,None,,,,101,111,170.06315182715844,170.56358064162305,170.5469009257722,170.64701189245352,4,1,170.5469009257722,None,170.64701189245352,None,170.5469009257722,None,False,None,None,None,None,None,None,None,None,0.4129392868726427,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,3,0,9,0,,,,,,,,,,,,1,172.84936331261815,None,172.84936331261815,None,,,,101,111,171.99814617964148,172.49858082831815,172.4818944031249,172.58198378322777,4,1,172.4818944031249,None,172.58198378322777,None,172.4818944031249,None,False,None,None,None,None,None,None,None,None,0.33191435612570785,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,3,1,10,1,,,,,,,,,,,,1,174.66758185980507,None,174.66758185980507,None,,,,101,111,173.84972649221527,174.3501856445746,174.33348463385664,174.43357168027615,4,1,174.33348463385664,None,174.43357168027615,None,174.33348463385664,None,False,None,None,None,None,None,None,None,None,0.29131262733062613,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
IN DIESEM BLOCK KÖNNEN SIE EINFACH ENTSPANNT AN DIE AUFGABE HERANGEHEN. SIE SOLLEN SICH NICHT VERAUSGABEN.,100,Go,go,4,1,0,0,0,0,,,,,3,2,11,0,,,,,,,,,,,,0.9,176.8523405101896,None,176.8523405101896,None,,,,101,0,175.6679637088764,176.1683933984732,176.15171222407116,176.25179781193765,None,0,176.15171222407116,None,176.25179781193765,None,176.15171222407116,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_0938,GoNoGo,2020.1.3,59.94645477052368,
