Instruction_Condition,MarkCondition,Type,Letter,CorrectResponse,Condition,RandomizeBlocks.thisRepN,RandomizeBlocks.thisTrialN,RandomizeBlocks.thisN,RandomizeBlocks.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Target_Mapping,Fixation_practice.started,Fixation_practice.stopped,Target_practice.started,Target_practice.stopped,Target_resp_practice.keys,Target_resp_practice.corr,Target_resp_practice.rt,Target_resp_practice.started,Target_resp_practice.stopped,ITI_resp_practice.started,ITI_resp_practice.stopped,ITI_Duration,ITI.started,ITI.stopped,square2.started,square2.stopped,Instr_Repe.started,Instr_Repe.stopped,Trigger_Target,TriggerResp,Fixation.started,Fixation.stopped,Target.started,Target.stopped,Target_resp.keys,Target_resp.corr,Target_resp.rt,Target_resp.started,Target_resp.stopped,ITI_resp.started,ITI_resp.stopped,square1.started,square1.stopped,showReminder,ReminderErrors.started,ReminderErrors.stopped,ReminderErrorsResp.keys,ReminderErrorsResp.started,ReminderErrorsResp.stopped,break_block.started,break_block.stopped,break_block_resp.keys,break_block_resp.rt,SelfReport.started,SelfReport.stopped,anxious.response,anxious.rt,peppy.response,peppy.rt,peeved.response,peeved.rt,happy.response,happy.rt,tired.response,tired.rt,relaxed.response,relaxed.rt,sad.response,sad.rt,calm.response,calm.rt,exhausted.response,exhausted.rt,irritated.response,irritated.rt,break_cond.started,break_cond.stopped,break_cond_resp.keys,break_cond_resp.rt,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,0,0,0,2,,,,,square,88.4891801118647,88.9975292947247,88.96359823147395,89.06531792577243,4,0,0.35884420122511074,88.96359823147395,None,89.06531792577243,None,1,89.35452750203149,None,89.35452750203149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,0,1,1,0,,,,,,90.37054123442522,90.87944196424814,90.84577806690413,90.94834858695049,None,0,,90.84577806690413,None,90.94834858695049,None,0.9,91.55715943381983,None,91.55715943381983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,0,2,2,2,,,,,,92.47263270978056,92.9811398085476,92.96433715873809,93.06653291818293,None,1,,92.96433715873809,None,93.04986103731153,93.65886224402766,0.9,93.67584134913795,None,93.67584134913795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,1,0,3,1,,,,,,94.59145764327877,95.10127342460692,95.08283500436119,95.18492747289838,None,0,,95.08283500436119,None,95.16828307005744,95.7775127085888,0.9,95.7945219402136,None,95.7945219402136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,1,1,4,2,,,,,,96.7097654601157,97.21981033538032,97.20292823102682,97.3033269935222,None,1,,97.20292823102682,None,97.28658161719795,97.89618071936093,0.9,97.91316776992608,None,97.91316776992608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,1,2,5,2,,,,,,98.82844207846483,99.33821051812629,99.30460852911438,99.40500464312481,None,1,,99.30460852911438,None,99.40500464312481,None,0.9,100.01484343316406,None,100.01484343316406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,2,0,6,1,,,,,,100.93014422655142,101.43987095257671,101.40643614916917,101.5066839480296,None,0,,101.40643614916917,None,101.5066839480296,None,0.9,102.1166117933717,None,102.1166117933717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,2,1,7,0,,,,,,103.03190033751616,103.54151086127058,103.50812505483191,103.60841721581346,4,1,0.19864728637912776,103.50812505483191,None,103.60841721581346,None,1,103.72683494477042,None,103.72683494477042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,2,2,8,2,,,,,,104.72687798264906,105.23535627914316,105.2183847884271,105.32010448272558,4,0,0.17363400257181638,105.2183847884271,None,105.32010448272558,None,1,105.42191720505343,None,105.42191720505343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,3,0,9,0,,,,,,106.42222873308037,106.93031008791331,106.91328099265229,107.01498314073888,None,0,,106.91328099265229,None,107.01498314073888,None,0.9,107.62573433379839,None,107.62573433379839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER05EL09,1,0xE000,C:\Users\Administrator\Desktop\Labor\ExperimenteVARIO\Variotest\Hamburg\HamburgTasks\Logfiles\,2022_Feb_28_1049,GoNoGo,2020.1.3,58.930160055610145,
