SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,Response.rt,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,1.023517663601854,1.3915143389415305,130.50834500000929,None,130.50834500000929,None,131.5537164999987,132.9489065000089,132.9489065000089,133.94984919999843,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,1.1661892393073399,1.4324066045776038,133.96814680000534,None,133.96814680000534,None,135.1502513000014,136.58557490000385,136.56865450000623,None,4,1,0.8762415000092005,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,1.3580755644995388,1.2496220993811913,137.47146610000345,None,137.47146610000345,None,138.8536829000077,140.1051875000121,140.08815080000204,141.0889700000116,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,1.207914844752979,1.4404890330489004,141.10642260000168,None,141.10642260000168,None,142.32996490001096,143.77452520000224,143.77452520000224,None,2,1,0.7555126999941422,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,0,4,3,,,,,,,,,1.13189704870537,1.3354000184215478,144.56085560000793,None,144.56085560000793,None,145.70651309999812,147.04428030000417,147.02721510000993,148.02798020000046,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,1,5,0,,,,,,,,,1.4967331670552857,1.0187921581411814,148.04509430000326,None,148.04509430000326,None,149.54995020000206,150.58057520000148,150.56355760000588,None,4,1,0.9476422000007005,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,2,6,1,,,,,,,,,1.251732381156341,1.154896507468914,151.54383249999955,None,151.54383249999955,None,152.80733650000184,153.9666683000105,153.9497054000094,None,2,1,0.43610459999763407,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,3,7,2,,,,,,,,,1.3942606241049644,1.116805009534724,154.41891980000946,None,154.41891980000946,None,155.82174620000296,156.95252120000077,156.9355993000063,157.93629969999893,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,0,8,3,,,,,,,,,1.3371351465209471,1.4188638218681349,157.95372270001099,None,157.95372270001099,None,159.31849859999784,160.73884910000197,160.72197959999903,None,3,1,0.44492999999783933,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,1,9,0,,,,,,,,,1.3922323494139226,1.255570499418776,161.19104010000592,None,161.19104010000592,None,162.5943671999994,163.85841430000437,163.84130130000995,164.84219609999855,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
