SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,Trigger_Picture,Trigger_Target,Trigger_Response,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,1.167955085311913,1.3064309424688758,44.21880116741522,None,44.21880116741522,None,45.43649763643589,46.75428263884896,46.720921447396904,None,3,1,0.755729510790843,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,1.050943385288879,1.108605942938554,47.50493263731914,None,47.50493263731914,None,48.572499515035815,49.69011532677905,49.67343283495029,None,1,1,0.44813999652978964,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,1.1018114776535535,1.1430686948030102,50.14049884994165,None,50.14049884994165,None,51.27480152913449,52.425774740124325,52.39241384037996,None,4,1,0.37012851198232966,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,1.175354491690245,1.1396610358249566,52.79275484709433,None,52.79275484709433,None,54.01046152589515,55.16143327834652,55.128074712267335,None,2,1,0.2873896067339956,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,0,4,0,,,,,,,,,1.117313266452102,1.2347527831936584,55.4450120110796,None,55.4450120110796,None,56.56263249015137,57.797012034416184,57.797012034416184,None,4,1,0.7714047347126325,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,1,5,1,,,,,,,,,1.1615465404260998,1.3534802586899333,58.59769375613541,None,58.59769375613541,None,59.765357626780315,61.13318222856287,61.116509363098885,None,2,1,0.317838968403521,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,2,6,2,,,,,,,,,1.4298173051869014,1.0698103919666484,61.466801144079,None,61.466801144079,None,62.901365631249064,63.98561937641534,63.96892930017748,None,1,1,0.29634329370492196,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,3,7,3,,,,,,,,,1.3390420663596585,1.4923314558762628,64.28586922436261,None,64.28586922436261,None,65.63701833531013,67.13829266193898,67.12161192035819,None,3,1,0.28558043339035066,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,0,8,0,,,,,,,,,1.1179123707508578,1.0547462268454626,67.43854892746276,None,67.43854892746276,None,68.5561729070323,69.62374299353723,69.60706050170847,None,4,1,0.46708905992636574,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,1,9,2,,,,,,,,,1.2963652815245799,1.3518347138329925,70.0908087168209,None,70.0908087168209,None,71.39191618644327,72.74306150518532,72.74306150518532,None,1,1,0.4840720110496477,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
