SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,Trigger_Picture,Trigger_Target,Trigger_Response,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,Response.rt,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,1.243606122956046,1.3650700249040955,74.04459378726642,None,74.04459378726642,None,75.34572013992874,76.71352334967742,76.69682496435416,None,1,1,0.5168494913741597,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,1.4572660660112244,1.4614423408433301,77.23063683907094,None,77.23063683907094,None,78.73192970009768,80.19986312942456,80.16649115417022,81.16734644941607,None,0,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,1.1087076212493174,1.0784761513987016,81.1840273321086,None,81.1840273321086,None,82.33507037224626,83.41927786477208,83.40259581523787,None,2,1,0.6709899138168112,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,1.158437262172931,1.4633981198339372,84.10319959767367,None,84.10319959767367,None,85.30423511167828,86.77215716429419,86.75548065725889,None,3,1,0.2540652778134245,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,0,4,0,,,,,,,,,1.0982070733497502,1.0049726041246216,87.03905303764077,None,87.03905303764077,None,88.14000354719974,89.15753943342861,89.14085680047174,90.14171676308615,None,0,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,1,5,3,,,,,,,,,1.2263357119617309,1.17229649036623,90.15841135617484,None,90.15841135617484,None,91.39279463346065,92.57714109687913,92.5604602141866,93.56131988508969,None,0,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,2,6,2,,,,,,,,,1.141541173601414,1.0753952521563481,93.57799989265004,None,93.57799989265004,None,94.7289927585789,95.81325188386654,95.7965747934104,None,1,1,0.27185115995780507,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,1,3,7,1,,,,,,,,,1.0788278118627663,1.4011144246682163,96.09683272385337,None,96.09683272385337,None,97.18109593308873,98.58229883059175,98.58229883059175,None,2,1,0.6870975853380514,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,0,8,3,,,,,,,,,1.0603455692902302,1.120394783245836,99.29958407914091,None,99.29958407914091,None,100.36716786423676,101.50147051273416,101.48479167201549,102.48565250976026,None,0,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,1,9,1,,,,,,,,,1.1716769128816142,1.2484251679258183,102.50232872508604,None,102.50232872508604,None,103.68668277297729,104.93775247545636,104.93775247545636,None,2,1,0.744559598791966,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,2,10,2,,,,,,,,,1.2369743224926026,1.3122434873501718,105.70511771102974,None,105.70511771102974,None,106.95617837048121,108.2739494337311,108.25726855103858,None,1,1,0.5730107676172338,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,3,11,0,,,,,,,,,1.3648061282711608,1.1633259924311345,108.85778499534536,None,108.85778499534536,None,110.22563079483007,111.39329404187083,111.37661257575746,None,4,1,0.7646106131287524,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,0,12,2,,,,,,,,,1.3339721435301484,1.0052902131686339,112.16062368876192,None,112.16062368876192,None,113.49510597259905,114.51266052830033,114.49596068442406,None,1,1,0.8122253545443527,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,1,13,3,,,,,,,,,1.28720758024349,1.1936681538541278,115.33001094497922,None,115.33001094497922,None,116.63113146342948,117.83215793441013,117.81547559316459,None,3,1,0.8846923737546604,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,2,14,0,,,,,,,,,1.368770102230476,1.2407408531418482,118.73293143402589,None,118.73293143402589,None,120.10077548324807,121.35184839454269,121.33516897040136,None,4,1,0.7499206547381618,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,3,15,1,,,,,,,,,1.2549647747128945,1.15141971603388,122.10249161624051,None,122.10249161624051,None,123.37024920246404,124.5212344839183,124.5212344839183,125.52210057245247,None,0,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,0,16,1,,,,,,,,,1.2555504783798326,1.1292107063840078,125.5387747458044,None,125.5387747458044,None,126.80653670768515,127.94083760592002,127.92415643151799,None,2,1,0.5337952472182224,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,1,17,3,,,,,,,,,1.4224477956003403,1.339246073033729,128.47462847748102,None,128.47462847748102,None,129.9091998497115,131.26035543176658,131.24367571591574,132.24454063761004,None,0,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,2,18,2,,,,,,,,,1.2475085961165808,1.0692798944412947,132.2612127689863,None,132.2612127689863,None,133.51229122278164,134.59655384859616,134.57987238248097,None,1,1,0.4690250100920821,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,3,19,0,,,,,,,,,1.412788500669045,1.2184684617999832,135.08029798813186,None,135.08029798813186,None,136.49818731082632,137.7158905805518,137.7158905805518,None,4,1,0.7269992088804429,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/woman_25.png,erotic_woman,Stimuli/woman_24.png,blue,4,7,72,0,0,0,0,,,,,0,0,0,71,,,,,1.3360785789473602,1.2699633330758964,142.8369641569443,None,142.8369641569443,None,,,,,,,,space,4.022098238769104,72,99,0,144.27153640430697,145.55596174624952,145.52259939744363,146.5234576097937,None,0,1.2747929147026298,2.275647918237155,145.52259939744363,146.5234576097937,False,None,None,None,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_15.png,neutral_man_woman,Stimuli/neutral_11.png,green,1,4,41,0,0,0,0,,,,,0,1,1,18,,,,,1.3744468354622417,1.0816906614616113,146.5401393676184,None,146.5401393676184,None,,,,,,,,,,41,99,1,147.99141175056684,149.07565074782906,149.05897103197822,None,1,1,1.0959119395938615,None,149.05897103197822,None,False,None,None,None,0.5547607740354579,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/positiv_25.png,positive_man_woman,Stimuli/positiv_24.png,blue,4,6,62,0,0,0,0,,,,,0,2,2,85,,,,,1.0133564864268376,1.182888933582897,149.64280746872282,None,149.64280746872282,None,,,,,,,,,,62,99,1,150.74375476946807,151.92810269143774,151.91141830822016,None,4,1,1.1843326946836896,None,151.91141830822016,None,False,None,None,None,0.6752596807054942,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/tree_85.png,tree,Stimuli/tree_81.png,green,1,1,18,0,0,0,0,,,,,0,3,3,63,,,,,1.082574527954311,1.4745530959389201,152.61201859012908,None,152.61201859012908,None,,,,,,,,,,18,99,1,153.76301028921444,155.24761935044262,155.23093525893455,None,1,1,1.4814765278060804,None,155.23093525893455,None,False,None,None,None,0.4587089592478151,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/woman_65.png,erotic_woman,Stimuli/woman_63.png,yellow,3,7,76,0,0,0,0,,,,,0,4,4,39,,,,,1.0713712740166048,1.0387375047228684,155.71468844149604,None,155.71468844149604,None,,,,,,,,,,76,99,1,156.8656737229503,157.91657691706314,157.8832169019406,None,3,1,1.0472683351727028,None,157.8832169019406,None,False,None,None,None,0.7084149150414305,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_couple_75.png,neutral_couple,Stimuli/neutral_couple_74.png,blue,4,5,57,0,0,0,0,,,,,0,5,5,68,,,,,1.1405678348181787,1.1224359293027089,158.61717690726255,None,158.61717690726255,None,,,,,,,,,,57,99,1,159.83489359567102,160.9692012032483,160.9525141946342,None,4,1,1.1380468113711686,None,160.9525141946342,None,False,None,None,None,0.619069233407572,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/positiv_75.png,positive_man_woman,Stimuli/positiv_72.png,red,2,6,67,0,0,0,0,,,,,0,6,6,47,,,,,1.1916026547554939,1.1570702101626584,161.6030896228076,None,161.6030896228076,None,,,,,,,,,,67,99,1,162.870836415741,164.03849907936274,164.00513585542467,None,2,1,1.1561699983903964,None,164.00513585542467,None,False,None,None,None,0.7494168706707569,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/man_55.png,erotic_man,Stimuli/man_51.png,green,1,3,35,0,0,0,0,,,,,0,7,7,5,,,,,1.056875195968626,1.3378022115380286,164.77246287691923,None,164.77246287691923,None,,,,,,,,,,35,99,1,165.92344582469013,167.27460869950846,167.257931317341,None,1,1,1.3449342134445033,None,167.257931317341,None,False,None,None,None,0.2735658343972318,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_couple_65.png,neutral_couple,Stimuli/neutral_couple_62.png,red,2,5,56,0,0,0,0,,,,,0,8,8,44,,,,,1.1104129723317373,1.265902048841302,167.55818574725708,None,167.55818574725708,None,,,,,,,,,,56,99,2,168.74253892001798,170.01029446426764,170.01029446426764,None,4,0,1.2807061786625127,None,170.01029446426764,None,False,None,None,None,0.6421893341303075,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/woman_85.png,erotic_woman,Stimuli/woman_84.png,blue,4,7,78,0,0,0,0,,,,,0,9,9,81,,,,,1.2144405259059934,1.439731087895622,170.67755310881694,None,170.67755310881694,None,,,,,,,,,,78,99,1,171.9619653237878,173.41321699528817,173.39653640430697,None,4,1,1.4495173065988638,None,173.39653640430697,None,False,None,None,None,0.5938601936486521,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/woman_45.png,erotic_woman,Stimuli/woman_42.png,red,2,7,74,0,0,0,0,,,,,0,10,10,36,,,,,1.0505859488286613,1.0847120072284522,174.01375123393518,None,174.01375123393518,None,,,,,,,,,,74,99,1,175.13136278987258,176.2156277493723,176.19894453299457,None,2,1,1.0950166800084844,None,176.19894453299457,None,False,None,None,None,0.5774339742401935,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_15.png,neutral_man_woman,Stimuli/neutral_14.png,blue,4,4,41,0,0,0,0,,,,,0,11,11,35,,,,,1.4848795463313775,1.452506091359837,176.79946097730135,None,176.79946097730135,None,,,,,,,,,,41,99,2,178.33411210318627,179.80205253356507,179.76867676607435,None,3,0,1.4584721486480703,None,179.76867676607435,None,False,None,None,None,0.6986449462892779,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/couple_65.png,erotic_couple,Stimuli/couple_63.png,yellow,3,2,26,0,0,0,0,,,,,0,12,12,17,,,,,1.0187941880706088,1.1914632479633447,180.48596084778183,None,180.48596084778183,None,,,,,,,,,,26,99,1,181.58690581484188,182.78793666147794,182.7545748960929,None,3,1,1.193316124357807,None,182.7545748960929,None,False,None,None,None,0.6537235681098537,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/man_85.png,erotic_man,Stimuli/man_82.png,red,2,3,38,0,0,0,0,,,,,0,13,13,22,,,,,1.0875668428008636,1.053281499158599,183.43849662899265,None,183.43849662899265,None,,,,,,,,,,38,99,2,184.622846592938,185.69042775263915,185.6570659872541,None,4,0,1.0648454400979972,None,185.6570659872541,None,False,None,None,None,0.6732159567982308,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_55.png,neutral_man_woman,Stimuli/neutral_51.png,green,1,4,45,0,0,0,0,,,,,0,14,14,88,,,,,1.21024769156336,1.114601883242953,186.35766831113688,None,186.35766831113688,None,,,,,,,,,,45,99,1,187.64210561321124,188.75973087954299,188.74304853829744,None,1,1,1.1213555146132421,None,188.74304853829744,None,False,None,None,None,0.47416465775313554,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/tree_85.png,tree,Stimuli/tree_84.png,blue,4,1,18,0,0,0,0,,,,,0,15,15,20,,,,,1.2799755108458952,1.1581053458486072,189.2435012730257,None,189.2435012730257,None,,,,,,,,,,18,99,1,190.57796080344087,191.74562521732514,191.71226549391213,None,4,1,1.1618328872118582,None,191.71226549391213,None,False,None,None,None,0.6589241832680273,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/tree_35.png,tree,Stimuli/tree_31.png,green,1,1,13,0,0,0,0,,,,,0,16,16,33,,,,,1.270417662423521,1.2317176697901826,192.3961872268137,None,192.3961872268137,None,,,,,,,,,,13,99,1,193.76402952577155,194.99842126266412,194.98174796444437,None,1,1,1.2352626386491465,None,194.98174796444437,None,False,None,None,None,0.5474009176032268,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_45.png,neutral_man_woman,Stimuli/neutral_41.png,green,1,4,44,0,0,0,0,,,,,0,17,17,11,,,,,1.4551150017155696,1.4757353942712257,195.54889272520631,None,195.54889272520631,None,,,,,,,,,,44,99,1,197.08354618477642,198.56815145376822,198.5514731964704,None,1,1,1.4865603712405573,None,198.5514731964704,None,False,None,None,None,0.3676340176480153,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/man_55.png,erotic_man,Stimuli/man_51.png,green,1,3,35,0,0,0,0,,,,,0,18,18,3,,,,,1.0583626231833754,1.1387785082765178,198.95181583964768,None,198.95181583964768,None,,,,,,,,,,35,99,1,200.0360863416463,201.18707629046912,201.17038986527587,None,1,1,1.1392732790845912,None,201.17038986527587,None,False,None,None,None,0.4916623299031926,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/positiv_65.png,positive_man_woman,Stimuli/positiv_62.png,red,2,6,66,0,0,0,0,,,,,0,19,19,54,,,,,1.1733920514839171,1.4591146281987764,201.68749897901398,None,201.68749897901398,None,,,,,,,,,,66,99,1,202.93857509912414,204.4065006522651,204.38981976957257,None,2,1,1.4662556562689133,None,204.38981976957257,None,False,None,None,None,0.5821830215136288,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/man_25.png,erotic_man,Stimuli/man_24.png,blue,4,3,32,0,0,0,0,,,,,0,20,20,19,,,,,1.3630232102731727,1.1088520091635847,204.99034554861464,None,204.99034554861464,None,,,,,,,,,,32,99,1,206.40822116091476,207.52584526040482,207.50916379429145,None,4,1,1.1098766181166866,None,207.50916379429145,None,False,None,None,None,0.6818027476801944,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/positiv_25.png,positive_man_woman,Stimuli/positiv_23.png,yellow,3,6,62,0,0,0,0,,,,,0,21,21,73,,,,,1.41037965032783,1.354995701741066,208.20976611817423,None,208.20976611817423,None,,,,,,,,,,62,99,1,209.69437401256073,211.06221572809773,211.04553367856352,None,3,1,1.3685043359855626,None,211.04553367856352,None,False,None,None,None,0.6693875479286362,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/woman_35.png,erotic_woman,Stimuli/woman_33.png,yellow,3,7,73,0,0,0,0,,,,,0,22,22,52,,,,,1.1753257603905842,1.1372092730671546,211.74613571073496,None,211.74613571073496,None,,,,,,,,,,73,99,1,212.99721241426596,214.1481985708524,214.1148166774401,None,3,1,1.1429111718134664,None,214.1148166774401,None,False,None,None,None,0.38708527515336755,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_couple_25.png,neutral_couple,Stimuli/neutral_couple_21.png,green,1,5,52,0,0,0,0,,,,,0,23,23,96,,,,,1.1989675741944281,1.0586426793791972,214.5318612064675,None,214.5318612064675,None,,,,,,,,,,52,99,1,215.7996170424285,216.86719936897134,216.85051906969966,None,1,1,1.068858414213537,None,216.85051906969966,None,False,None,None,None,0.4713382745212584,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_couple_15.png,neutral_couple,Stimuli/neutral_couple_11.png,green,1,5,51,0,0,0,0,,,,,0,24,24,62,,,,,1.2460576418015243,1.3741728966736533,217.35094438363922,None,217.35094438363922,None,,,,,,,,,,51,99,1,218.6520783207743,220.03658662519047,220.0199066176283,None,1,1,1.3836939069842629,None,220.0199066176283,None,False,None,None,None,0.6568638318622106,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_85.png,neutral_man_woman,Stimuli/neutral_83.png,yellow,3,4,48,0,0,0,0,,,,,0,25,25,10,,,,,1.4718831695265733,1.0063529123350277,220.70382835052988,None,220.70382835052988,None,,,,,,,,,,48,99,1,222.2718418252207,223.2893820871068,223.2560211968539,None,3,1,1.0109519214402098,None,223.2560211968539,None,False,None,None,None,0.43076425822800957,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/tree_15.png,tree,Stimuli/tree_12.png,red,2,1,11,0,0,0,0,,,,,0,26,26,25,,,,,1.2082024069238249,1.4163151045985416,223.70640648810877,None,223.70640648810877,None,,,,,,,,,,11,99,1,224.99084408189447,226.40872669524651,226.39204668768616,None,2,1,1.4258572497055866,None,226.39204668768616,None,False,None,None,None,0.4516974051766738,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/neutral_55.png,neutral_man_woman,Stimuli/neutral_54.png,blue,4,4,45,0,0,0,0,,,,,0,27,27,6,,,,,1.4463526866176988,1.2933893762620952,226.87579461945825,None,226.87579461945825,None,,,,,,,,,,45,99,1,228.37708456337896,229.67820128959465,229.6448395242096,None,4,1,1.2935868608910823,None,229.6448395242096,None,False,None,None,None,0.39886425425902416,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/man_85.png,erotic_man,Stimuli/man_83.png,yellow,3,3,38,0,0,0,0,,,,,0,28,28,28,,,,,1.202890848529656,1.4946639325853412,230.0618645086306,None,230.0618645086306,None,,,,,,,,,,38,99,1,231.32962967932872,232.83090795482894,232.8142282389781,None,3,1,1.4982074971940165,None,232.8142282389781,None,False,None,None,None,0.538436069888121,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
Subset1,5,,,,,,Stimuli/man_25.png,erotic_man,Stimuli/man_21.png,green,1,3,32,0,0,0,0,,,,,0,29,29,101,,,,,1.138232469178014,1.0795950032557937,233.38138204276765,None,233.38138204276765,None,,,,,,,,,,32,99,2,234.58241434795673,235.6666763903504,235.6499957993692,None,2,0,1.085370892425999,None,235.6499957993692,None,False,None,None,None,0.4286222278751666,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1114,Stroop,2020.1.3,59.94823690726359,
