InstructionText,Offertype,OfferSelf,OfferOther,ConditionTrigger,ProposerLoop.thisRepN,ProposerLoop.thisTrialN,ProposerLoop.thisN,ProposerLoop.thisIndex,InstrReceiverLoop.thisRepN,InstrReceiverLoop.thisTrialN,InstrReceiverLoop.thisN,InstrReceiverLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response_accept,response_reject,color_subject,color_other,OfferProposers.started,OfferProposers.stopped,proposer_resp.keys,proposer_resp.rt,proposer_resp.started,proposer_resp.stopped,example.started,example.stopped,fixduration,fixationcross.started,fixationcross.stopped,Presented_Offer,offerSlide_pract.started,offerSlide_pract.stopped,choiceprac.keys,choiceprac.rt,choiceprac.started,choiceprac.stopped,FB_tooSlow_pract.started,FB_tooSlow_pract.stopped,feedback_slide_pract.started,feedback_slide_pract.stopped,MoneyWon,offerSlide.started,offerSlide.stopped,choice.keys,choice.rt,choice.started,choice.stopped,Square.started,Square.stopped,tooSlowSlide.started,tooSlowSlide.stopped,feedback_slide.started,feedback_slide.stopped,Square2.started,Square2.stopped,break_slide.started,break_slide.stopped,break_response.keys,break_response.started,break_response.stopped,break_response.rt,FeedbackMoney.started,FeedbackMoney.stopped,Amount.started,Amount.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
"







Bitte Teilen Sie nun den Betrag von 10 Credits auf, wie Sie ihn aufteilen würden, wenn der/die Empfänger/in darüber entscheiden kann, ob die Aufteilung zugeteilt wird.
Dabei haben Sie nur eine Aufteilung des Betrages, bis der/die Empfänger/in endgültig darüber entscheidet.
Dieses Angebot wird jedem/r Empfänger/in nur einmal vorgelegt.

Se können drei verschiedene Angebote machen:
(1) Sie bieten 1, und behalten 9 Credits.
(2) Sie bieten 5, und behalten 5 Credits.
(3) Sie bieten 3, und behalten 7 Credits.

Sie wählen Ihr Angebot mit der entsprechenden Taste (1, 2, 3) auf der Tastatur.




Weiter mit Taste 1.






",,,,,0,0,0,0,,,,,,,,,,,,,2,4,blau,rot,109.34755790000781,None,2,36.82423120000749,109.45521070000541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
"Bitte wählen Sie Ihr erstes von drei Angeboten mit der Taste 1, 2 oder 3.",,,,,0,1,1,1,,,,,,,,,,,,,,,,,146.3329068000021,None,2,6.144668700013426,146.5026399000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
"Bitte wählen Sie Ihr zweites von drei Angeboten mit der Taste 1, 2 oder 3.",,,,,0,2,2,2,,,,,,,,,,,,,,,,,152.70045550000214,None,2,2.910648900011438,152.87284710000677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
"Bitte wählen Sie Ihr drittes und letzes Angebot mit der Taste 1, 2 oder 3.",,,,,0,3,3,3,,,,,,,,,,,,,,,,,155.84566430000996,None,2,8.059152799993171,156.02837349999754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
,Offer2,5,5,2,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,264.99413130000175,None,0.6454499107257179,296.293875000003,None,5_5_V1.png,296.9531253000023,None,4,0.5490092999971239,296.9531253000023,None,None,None,297.5358494000102,None,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
,Offer3,3,7,3,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,0.5128218843454012,298.54672640000354,None,7_3_V1.png,299.0685738000029,None,4,0.3197743999917293,299.0685738000029,None,None,None,299.42322460000287,None,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
,Offer1,1,9,1,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,0.5499844841338823,300.43197269999655,None,9_1_V1.png,301.0027790000022,None,2,0.3533671999903163,301.0027790000022,None,None,None,301.38589770000544,None,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
,Offer1,1,9,1,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,0.5117154319180658,302.3997345000098,None,9_1_V1.png,302.92029210001056,None,4,0.3359978000080446,302.92029210001056,None,None,None,303.28833670000313,None,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
,Offer3,3,7,3,,,,,,,,,1,1,4,2,,,,,,,,,,,,,,,,,0.57422122217111,304.30174969999644,None,7_3_V1.png,304.88571650000813,None,2,0.2989357999904314,304.88571650000813,None,None,None,305.214275300008,None,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
,Offer2,5,5,2,,,,,,,,,1,2,5,1,,,,,,,,,,,,,,,,,0.522770585545845,306.2197776999965,None,5_5_V1.png,306.7640035000077,None,2,0.3046436000004178,306.7640035000077,None,None,None,307.093498000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1247,UltimatumGame,2020.1.3,60.09005095049733,
