InstructionText,Offertype,OfferSelf,OfferOther,ConditionTrigger,ProposerLoop.thisRepN,ProposerLoop.thisTrialN,ProposerLoop.thisN,ProposerLoop.thisIndex,InstrReceiverLoop.thisRepN,InstrReceiverLoop.thisTrialN,InstrReceiverLoop.thisN,InstrReceiverLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response_accept,response_reject,color_subject,color_other,OfferProposers.started,OfferProposers.stopped,proposer_resp.keys,proposer_resp.rt,proposer_resp.started,proposer_resp.stopped,example.started,example.stopped,fixduration,fixationcross.started,fixationcross.stopped,Presented_Offer,offerSlide_pract.started,offerSlide_pract.stopped,choiceprac.keys,choiceprac.rt,choiceprac.started,choiceprac.stopped,FB_tooSlow_pract.started,FB_tooSlow_pract.stopped,feedback_slide_pract.started,feedback_slide_pract.stopped,MoneyWon,offerSlide.started,offerSlide.stopped,choice.keys,choice.rt,choice.started,choice.stopped,Square.started,Square.stopped,tooSlowSlide.started,tooSlowSlide.stopped,feedback_slide.started,feedback_slide.stopped,Square2.started,Square2.stopped,break_slide.started,break_slide.stopped,break_response.keys,break_response.started,break_response.stopped,break_response.rt,FeedbackMoney.started,FeedbackMoney.stopped,Amount.started,Amount.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
"







Bitte Teilen Sie nun den Betrag von 10 Credits auf, wie Sie ihn aufteilen würden, wenn der/die Empfänger/in darüber entscheiden kann, ob die Aufteilung zugeteilt wird.
Dabei haben Sie nur eine Aufteilung des Betrages, bis der/die Empfänger/in endgültig darüber entscheidet.
Dieses Angebot wird jedem/r Empfänger/in nur einmal vorgelegt.

Se können drei verschiedene Angebote machen:
(1) Sie bieten 1, und behalten 9 Credits.
(2) Sie bieten 5, und behalten 5 Credits.
(3) Sie bieten 3, und behalten 7 Credits.

Sie wählen Ihr Angebot mit der entsprechenden Taste (1, 2, 3) auf der Tastatur.




Weiter mit Taste 1.






",,,,,0,0,0,0,,,,,,,,,,,,,4,2,blau,rot,105.78625413313785,None,2,54.9977623075265,105.91969656528272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
"Bitte wählen Sie Ihr erstes von drei Angeboten mit der Taste 1, 2 oder 3.",,,,,0,1,1,1,,,,,,,,,,,,,,,,,160.96652795948648,None,2,4.487315221180324,161.15001611686966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
"Bitte wählen Sie Ihr zweites von drei Angeboten mit der Taste 1, 2 oder 3.",,,,,0,2,2,2,,,,,,,,,,,,,,,,,165.67052975640945,None,2,14.358980305330988,165.85401849720802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
"Bitte wählen Sie Ihr drittes und letzes Angebot mit der Taste 1, 2 oder 3.",,,,,0,3,3,3,,,,,,,,,,,,,,,,,180.2495991202086,None,2,3.6438171748959576,180.4330849439266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer1,1,9,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,254.49609592527486,None,0.6314145163691045,259.4002709967808,None,9_1_V1.png,260.03414763636283,None,4,1.717345981795006,260.03414763636283,None,None,None,261.78563133644457,None,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer1,1,9,1,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,0.5900682200666066,262.7864790400472,None,9_1_V1.png,263.38701024041075,None,4,0.7744419989594462,263.38701024041075,None,None,None,264.1876730011063,None,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,0.616610572047739,265.1885253720375,None,5_5_V1.png,265.82240405357516,None,4,0.6969905938749434,265.82240405357516,None,None,None,266.5396750664004,None,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,1,0,3,2,,,,,,,,,,,,,,,,,0.5412066876485541,267.54052364512427,None,7_3_V1.png,268.09100095242684,None,4,0.6173332924954593,268.09100095242684,None,None,None,268.7248673822269,None,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,1,1,4,1,,,,,,,,,,,,,,,,,0.5267862939325195,269.7257162526603,None,5_5_V1.png,270.2595069842191,None,4,0.4538108010729047,270.2595069842191,None,None,None,270.7265686235896,None,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,1,2,5,2,,,,,,,,,,,,,,,,,0.6314852289544306,271.72745074874183,None,7_3_V1.png,272.36129238335707,None,4,0.54395792403011,272.36129238335707,None,None,None,272.9284419727046,None,,,,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,0.5497844182131696,284.73886936875715,None,5_5_V1.png,,,,,,,,,,,5,285.30601633273363,None,4,0.4329825543991319,285.30601633273363,None,285.30601633273363,None,None,None,285.7730791389349,None,285.7730791389349,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
