InstructionText,Offertype,OfferSelf,OfferOther,ConditionTrigger,ProposerLoop.thisRepN,ProposerLoop.thisTrialN,ProposerLoop.thisN,ProposerLoop.thisIndex,InstrReceiverLoop.thisRepN,InstrReceiverLoop.thisTrialN,InstrReceiverLoop.thisN,InstrReceiverLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response_accept,response_reject,color_subject,color_other,OfferProposers.started,OfferProposers.stopped,proposer_resp.keys,proposer_resp.rt,proposer_resp.started,proposer_resp.stopped,example.started,example.stopped,fixduration,fixationcross.started,fixationcross.stopped,Presented_Offer,offerSlide_pract.started,offerSlide_pract.stopped,choiceprac.keys,choiceprac.rt,choiceprac.started,choiceprac.stopped,FB_tooSlow_pract.started,FB_tooSlow_pract.stopped,feedback_slide_pract.started,feedback_slide_pract.stopped,MoneyWon,offerSlide.started,offerSlide.stopped,choice.keys,choice.rt,choice.started,choice.stopped,Square.started,Square.stopped,tooSlowSlide.started,tooSlowSlide.stopped,feedback_slide.started,feedback_slide.stopped,Square2.started,Square2.stopped,break_slide.started,break_slide.stopped,break_response.keys,break_response.started,break_response.stopped,break_response.rt,FeedbackMoney.started,FeedbackMoney.stopped,Amount.started,Amount.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
"







Bitte Teilen Sie nun den Betrag von 10 Credits auf, wie Sie ihn aufteilen würden, wenn der/die Empfänger/in darüber entscheiden kann, ob die Aufteilung zugeteilt wird.
Dabei haben Sie nur eine Aufteilung des Betrages, bis der/die Empfänger/in endgültig darüber entscheidet.
Dieses Angebot wird jedem/r Empfänger/in nur einmal vorgelegt.

Se können drei verschiedene Angebote machen:
(1) Sie bieten 1, und behalten 9 Credits.
(2) Sie bieten 5, und behalten 5 Credits.
(3) Sie bieten 3, und behalten 7 Credits.

Sie wählen Ihr Angebot mit der entsprechenden Taste (1, 2, 3) auf der Tastatur.




Weiter mit Taste 1.






",,,,,0,0,0,0,,,,,,,,,,,,,4,2,rot,blau,127.62470828948062,None,1,48.88141996513514,127.75815155878445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
"Bitte wählen Sie Ihr erstes von drei Angeboten mit der Taste 1, 2 oder 3.",,,,,0,1,1,1,,,,,,,,,,,,,,,,,176.68350633711816,None,2,10.748453350821364,176.86699604673777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
"Bitte wählen Sie Ihr zweites von drei Angeboten mit der Taste 1, 2 oder 3.",,,,,0,2,2,2,,,,,,,,,,,,,,,,,187.65960241022913,None,2,16.028136646542407,187.8430903695844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
"Bitte wählen Sie Ihr drittes und letzes Angebot mit der Taste 1, 2 oder 3.",,,,,0,3,3,3,,,,,,,,,,,,,,,,,203.90689037751872,None,3,4.980775984990032,204.0903754197716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,322.9090989178694,None,0.6484974747756033,328.2804108217606,None,7_3_V2.png,329.03104295845696,None,4,2.1537740340281744,329.03104295845696,None,None,None,331.2162336321235,None,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0.5854456618543532,332.2170924278944,None,5_5_V2.png,332.81761820693646,None,4,1.0241696751727432,332.81761820693646,None,None,None,333.868510607761,None,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,0.5625870674225745,334.8693694035319,None,9_1_V2.png,335.4365296249525,None,2,0.9122365562288905,335.4365296249525,None,None,None,336.3706578889032,None,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,1,0,3,2,,,,,,,,,,,,,,,,,0.6781821370476273,337.3715146427021,None,7_3_V2.png,338.0554404595496,None,4,0.7743009449077363,338.0554404595496,None,None,None,338.85614470708606,None,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,1,1,4,1,,,,,,,,,,,,,,,,,0.6324377047885812,339.8569868753584,None,5_5_V2.png,340.4908639182104,None,4,0.5188427493631025,340.4908639182104,None,None,None,341.0246556648999,None,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,1,2,5,0,,,,,,,,,,,,,,,,,0.6860610441382521,342.0255153358048,None,9_1_V2.png,342.72612116021264,None,2,2.5515262877852365,342.72612116021264,None,None,None,345.294990513572,None,,,,,,,,,,,,,,,,,,,,,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
